Class,1x,1y,1z,2x,2y,2z,3x,3y,3z,4x,4y,4z,5x,5y,5z,6x,6y,6z,7x,7y,7z,8x,8y,8z,9x,9y,9z,10x,10y,10z,11x,11y,11z,12x,12y,12z,13x,13y,13z,14x,14y,14z,15x,15y,15z,16x,16y,16z,17x,17y,17z,18x,18y,18z,19x,19y,19z,20x,20y,20z,21x,21y,21z,22x,22y,22z,23x,23y,23z,24x,24y,24z,25x,25y,25z,26x,26y,26z,27x,27y,27z,28x,28y,28z,29x,29y,29z,30x,30y,30z,31x,31y,31z,32x,32y,32z,33x,33y,33z
A_sharp,0.556102931,0.385452867,-0.654373348,0.584491491,0.319486856,-0.610409856,0.597856343,0.321053028,-0.610466778,0.61155802,0.323046327,-0.610945344,0.543896616,0.313411713,-0.617215395,0.528432369,0.310299158,-0.615923941,0.512987256,0.306787848,-0.616110563,0.62556839,0.345586419,-0.249822304,0.482789516,0.313643813,-0.259341955,0.571905494,0.469124675,-0.517378449,0.521070123,0.458984375,-0.519545317,0.693276703,0.655626059,-0.031362727,0.338790596,0.610293031,-0.157213047,0.648320079,1.264280319,0.160175309,0.23167491,1.006957889,-0.147441655,0.652014434,1.651438713,0.033954311,0.182631433,1.591006756,-0.479507536,0.670884371,1.772397399,-0.028680626,0.140435487,1.683539271,-0.567892671,0.661347866,1.767893434,-0.116979562,0.156518131,1.692588091,-0.656063914,0.639132261,1.733146191,-0.020726321,0.189329132,1.66996479,-0.531954348,0.576321959,1.668724775,-0.017869001,0.32124266,1.610826731,0.022089247,0.537669539,2.639349461,-0.235346168,0.302362442,2.597308397,-0.134948775,0.516096234,3.585959911,0.167883679,0.278968632,3.54952693,-0.05950458,0.51507616,3.699120045,0.172978073,0.263639212,3.667480707,-0.062833883,0.480180502,3.853916168,-0.4207623,0.307003736,3.820148706,-0.736562252
A_sharp,0.600310028,0.216100186,-0.954415679,0.638005495,0.099283494,-0.927799046,0.662823796,0.100783996,-0.927292943,0.686281562,0.10095825,-0.927151561,0.568554401,0.072600409,-0.948633194,0.542275965,0.056635346,-0.947865844,0.517661512,0.040672489,-0.947879493,0.699386477,0.09465687,-0.61286509,0.468170255,0.030173097,-0.69109416,0.619441628,0.317534149,-0.823034585,0.547749817,0.296817631,-0.843654513,0.712174058,0.373505652,-0.228947923,0.318366706,0.442753464,-0.539411366,0.650547445,0.785080552,0.548379302,0.195114076,0.986170769,-0.553221881,0.685465693,0.80970329,1.105729103,0.199224383,1.569632292,-0.784042358,0.727406144,0.836387575,1.177690864,0.166730791,1.689658999,-0.852958202,0.724736273,0.824478745,1.131686211,0.207605153,1.683116198,-0.935594201,0.694883049,0.817087531,1.091063857,0.233607575,1.626906991,-0.827266037,0.579163253,1.483060241,0.068399422,0.314933717,1.470846415,-0.065537989,0.556981921,2.389942646,0.033425506,0.320472062,2.44379282,-0.025043035,0.539544821,3.24344039,0.52204293,0.294778168,3.261613369,0.336226255,0.522866845,3.369805813,0.533713996,0.267023683,3.390189171,0.354096949,0.567019641,3.530971527,0.084634945,0.382182509,3.527215242,-0.229364112
A_sharp,0.611434281,0.152536333,-1.017106295,0.645168662,0.027671494,-0.983740151,0.669134796,0.024077527,-0.983419538,0.692534268,0.02094336,-0.983411789,0.574089944,0.016921027,-1.011317492,0.544097781,0.005145559,-1.01074326,0.517640293,-0.007218539,-1.010803938,0.707030416,0.016501796,-0.645443797,0.455673218,-0.024115607,-0.757815957,0.63395679,0.246872142,-0.8764202,0.556537926,0.238532722,-0.907454133,0.716354489,0.323012322,-0.264829755,0.302310854,0.406659544,-0.567577541,0.656228542,0.754381537,0.458745331,0.199161232,0.966329873,-0.574245691,0.684386611,0.692788482,0.966206074,0.227916315,1.54598248,-0.754446864,0.720568299,0.691007376,1.030105233,0.205488116,1.690172791,-0.807552636,0.721267641,0.670550048,1.013964415,0.242047474,1.6743083,-0.889180303,0.692633331,0.673718214,0.964395523,0.264560759,1.603438854,-0.794828057,0.587442696,1.421312094,0.066356614,0.315558612,1.421998143,-0.063837491,0.579328775,2.32172966,0.064524189,0.348753005,2.379615545,0.073902734,0.580720365,3.154148579,0.601451755,0.345828116,3.166236401,0.521519244,0.562428832,3.272794485,0.621937156,0.323266238,3.282898664,0.550791681,0.610330641,3.437523842,0.171589673,0.422307581,3.428437233,-0.016836362
A_sharp,0.606683493,0.199229807,-1.017172694,0.642413139,0.096251003,-0.996701062,0.66663754,0.095184773,-0.996288002,0.690550923,0.093370892,-0.996239305,0.574911714,0.082739562,-1.011283278,0.546529233,0.071389012,-1.010673046,0.519777715,0.057816364,-1.010715127,0.712033033,0.080836982,-0.684198439,0.457443476,0.029107219,-0.740252018,0.628872514,0.293067485,-0.883440375,0.554221034,0.279944599,-0.898459256,0.722808778,0.331720233,-0.280214727,0.304325998,0.390164524,-0.531144619,0.673117638,0.757019877,0.41427955,0.205430955,0.96838814,-0.539361179,0.694919467,0.594536781,0.989540935,0.230912447,1.547800303,-0.710667253,0.726036191,0.544193447,1.078103185,0.204941109,1.713920593,-0.749992728,0.731003046,0.532093406,1.084801555,0.241161317,1.692267537,-0.82996434,0.703040719,0.553911746,0.99927175,0.265764177,1.606289625,-0.749105871,0.593620896,1.389109492,0.066217728,0.324158967,1.386133075,-0.064059928,0.574806988,2.29010582,0.038972411,0.343746543,2.33178544,0.009502958,0.570355296,3.127328157,0.487697452,0.335008353,3.125524998,0.282415211,0.560531974,3.245285988,0.500354052,0.314526647,3.23148489,0.293963343,0.58406055,3.407343626,0.054961674,0.403215647,3.401569366,-0.297660917
A_sharp,0.602890551,0.220299989,-1.227257848,0.637718081,0.127643615,-1.21390605,0.660221696,0.127418727,-1.213510752,0.682495892,0.126454219,-1.213583827,0.573784173,0.114922881,-1.230158091,0.546374798,0.105134964,-1.229951143,0.51976788,0.093370356,-1.230157614,0.701187372,0.120769292,-0.891210437,0.458187342,0.076112591,-0.953074157,0.623801768,0.315307409,-1.089058399,0.55251801,0.302139014,-1.10520947,0.721997023,0.383114189,-0.50686264,0.311546862,0.423097819,-0.695021927,0.678825557,0.846268475,0.112245955,0.21309869,0.937603414,-0.604459286,0.693678439,0.922599375,0.611320913,0.257187605,1.420108557,-0.708642602,0.721562743,0.841554582,0.88320291,0.23863253,1.557145238,-0.739987075,0.723203301,0.861383498,0.870059788,0.265114486,1.510534048,-0.817576528,0.696904838,0.907826304,0.630311966,0.285656124,1.450478315,-0.74042362,0.59559834,1.410877228,0.041390054,0.326508671,1.387662053,-0.041783474,0.57288307,2.304011345,0.020511879,0.335827619,2.307738781,-0.006200882,0.553804755,3.141033649,0.510586917,0.328552276,3.107095003,0.242128164,0.54523164,3.243963003,0.525200725,0.310365885,3.201466799,0.252395809,0.546488047,3.425207138,0.02720806,0.368227869,3.390879631,-0.358745158
A_sharp,0.601093113,0.207688928,-1.143078089,0.637305021,0.112356313,-1.131857991,0.662302613,0.109753005,-1.131434083,0.686576962,0.105382115,-1.131527543,0.572916627,0.097103976,-1.141955256,0.545245469,0.082979724,-1.141386747,0.517158866,0.065547287,-1.141595602,0.707043529,0.087784514,-0.819857955,0.452603817,0.040800028,-0.848529994,0.622271001,0.307872802,-1.006600976,0.551287889,0.294978142,-1.013702989,0.730748892,0.35166958,-0.429120243,0.31248337,0.394126981,-0.599976897,0.697829366,0.787727714,0.156828374,0.207508892,0.928623855,-0.562278688,0.709668934,0.777316391,0.784116745,0.243063927,1.420512557,-0.731053412,0.734145582,0.777732849,0.885461926,0.221503764,1.557291865,-0.771236479,0.738759935,0.756959796,0.866089046,0.255818486,1.516822457,-0.847088158,0.714723349,0.762892067,0.788212419,0.276520789,1.460001469,-0.766240954,0.608342767,1.350619912,0.026168337,0.331163317,1.331152797,-0.026066786,0.582169712,2.240844965,0.016677279,0.337545574,2.253347397,0.048112847,0.564166307,3.062402964,0.531479061,0.33130905,3.039634228,0.38020578,0.555598497,3.163734198,0.548442543,0.319833189,3.135464191,0.400322258,0.549758792,3.356436729,0.051749211,0.36986658,3.329123497,-0.191892192
A_sharp,0.599824488,0.272048116,-1.068811536,0.635473788,0.179126799,-1.061329246,0.659662724,0.177956626,-1.060817719,0.683497071,0.175907627,-1.060833693,0.5722543,0.163600191,-1.072994947,0.545030832,0.149991646,-1.072303414,0.517150283,0.132306635,-1.072388172,0.704857349,0.154506192,-0.785876155,0.453726709,0.093367986,-0.831226647,0.620425522,0.376723856,-0.949002624,0.550766408,0.355542123,-0.960145175,0.727589965,0.41240862,-0.489677846,0.307458997,0.410285324,-0.591353059,0.700182498,0.846619189,-0.041812472,0.208304614,0.933415234,-0.49850136,0.706126869,1.406094074,0.183398202,0.237331718,1.445307374,-0.656287253,0.727967381,1.560284734,0.182363361,0.193947464,1.607393265,-0.683148026,0.713831544,1.563783288,0.12696068,0.232368872,1.606844783,-0.785909653,0.689908862,1.504551411,0.157068342,0.264688939,1.542481184,-0.701127291,0.608112514,1.397333145,0.005353892,0.331718951,1.371455669,-0.004571746,0.568583667,2.283011675,-0.003443402,0.325731337,2.2795434,0.08341074,0.527794063,3.11429739,0.485451132,0.302851617,3.073365688,0.413782418,0.517398119,3.219205618,0.499912888,0.295355529,3.175712824,0.430924833,0.507152319,3.396146536,-0.017812412,0.325772136,3.344407797,-0.173822254
A_sharp,0.586938202,0.278940678,-1.051458597,0.622626901,0.183753908,-1.039378881,0.646189392,0.182083219,-1.038918614,0.669465482,0.179578915,-1.038891315,0.559180081,0.171344265,-1.049595475,0.532213986,0.159193456,-1.0489645,0.505196154,0.142953709,-1.0491364,0.689588368,0.157816947,-0.744773507,0.445728362,0.10902679,-0.778217852,0.605501473,0.383394063,-0.928092778,0.536624789,0.363844126,-0.936454892,0.723614693,0.415646791,-0.417251766,0.304203659,0.421433121,-0.567656517,0.7066589,0.838219523,0.125865296,0.205329135,0.932640433,-0.47496748,0.709098995,1.2601161,0.60185504,0.235346347,1.460560918,-0.612654805,0.735669017,1.385004759,0.65980196,0.188244075,1.635004163,-0.645597935,0.72724092,1.375197053,0.604700506,0.231967211,1.635357976,-0.740899682,0.703249454,1.33311677,0.583452106,0.261019856,1.568830729,-0.655303597,0.606456459,1.416820049,0.002083806,0.332509667,1.384431362,-0.00068952,0.574530602,2.305242777,-0.015466973,0.332359761,2.303554535,0.063674182,0.553180933,3.128444433,0.496531188,0.332207859,3.085700035,0.396855831,0.547231793,3.23264432,0.512341917,0.327571273,3.180403948,0.416553497,0.538636088,3.39440918,0.002263471,0.364422709,3.352236271,-0.182332724
A_sharp,0.563483,0.314600557,-1.221146107,0.602062106,0.219226182,-1.224892497,0.625894308,0.216682598,-1.224375844,0.64977777,0.212455705,-1.224499941,0.535619438,0.203321114,-1.22499311,0.509855986,0.188634574,-1.224537611,0.486703634,0.170549735,-1.224569798,0.679889083,0.178830057,-0.937713027,0.437086195,0.122706711,-0.922156334,0.585474372,0.416560054,-1.092686653,0.514140725,0.39207229,-1.0866189,0.722742021,0.421545148,-0.595376134,0.295569479,0.442755342,-0.625177503,0.703297496,0.860180318,-0.13896513,0.202838659,0.935688376,-0.463780254,0.700677395,1.391619563,0.043821078,0.228130728,1.501036406,-0.613379359,0.722319543,1.516579986,0.046755668,0.179357618,1.663500786,-0.650788903,0.708319426,1.510444641,-0.01102626,0.214368626,1.658581018,-0.745372653,0.687290847,1.464118242,0.018452583,0.245111018,1.59691906,-0.656821132,0.605373085,1.426667452,-0.030004477,0.332644492,1.396127343,0.031701297,0.573241591,2.301127195,-0.016077947,0.331657916,2.293551922,0.150153026,0.552186251,3.10613513,0.507270992,0.329360425,3.063764334,0.551783442,0.546747565,3.209629536,0.529997289,0.32432887,3.158032656,0.579319775,0.531362355,3.373914242,0.014951805,0.363351524,3.334975243,-0.029966572
A_sharp,0.558116138,0.392854422,-1.122772455,0.594931245,0.307262868,-1.115445614,0.615655839,0.307419866,-1.114988923,0.636275947,0.305744559,-1.115037203,0.532131791,0.285468966,-1.123766065,0.507118821,0.270350844,-1.123220444,0.484342486,0.255433053,-1.123277307,0.660536885,0.291856587,-0.821203887,0.437020004,0.233362854,-0.852770627,0.578067422,0.50182575,-0.994599164,0.509253621,0.473765939,-0.999952495,0.714198232,0.529218137,-0.504372954,0.285355657,0.559103906,-0.6170187,0.702725291,0.880984843,-0.102963544,0.202878952,0.986543715,-0.458017766,0.691463411,1.487535477,0.052965574,0.213690951,1.541276574,-0.544255137,0.708833277,1.6238271,0.051198833,0.166194528,1.681819677,-0.574874043,0.68617028,1.621409893,-0.002558234,0.199168667,1.679595828,-0.659305692,0.667279422,1.573759913,0.025909256,0.22933273,1.626126766,-0.582000494,0.604690909,1.523953915,-0.026245167,0.332580715,1.51082778,0.028269315,0.573042452,2.363103151,-0.017350057,0.331378102,2.355174541,-0.001952759,0.55148381,3.121444702,0.406721205,0.328231663,3.065790415,0.182767794,0.546223342,3.21100235,0.418609947,0.322679996,3.173416853,0.186774954,0.529984772,3.386309862,-0.049706332,0.362473786,3.364024162,-0.387977958
