Class,1x,1y,1z,2x,2y,2z,3x,3y,3z,4x,4y,4z,5x,5y,5z,6x,6y,6z,7x,7y,7z,8x,8y,8z,9x,9y,9z,10x,10y,10z,11x,11y,11z,12x,12y,12z,13x,13y,13z,14x,14y,14z,15x,15y,15z,16x,16y,16z,17x,17y,17z,18x,18y,18z,19x,19y,19z,20x,20y,20z,21x,21y,21z,22x,22y,22z,23x,23y,23z,24x,24y,24z,25x,25y,25z,26x,26y,26z,27x,27y,27z,28x,28y,28z,29x,29y,29z,30x,30y,30z,31x,31y,31z,32x,32y,32z,33x,33y,33z
B,0.43214497,0.701701522,-0.433190405,0.44118318,0.711384177,-0.446798265,0.441368669,0.712462008,-0.446787357,0.438394725,0.717433572,-0.446846187,0.434331119,0.693616211,-0.44354409,0.433333308,0.688529015,-0.443588257,0.432330281,0.683396697,-0.443660438,0.438548028,0.724722564,-0.418067157,0.429717064,0.675016522,-0.401828766,0.431308448,0.707608461,-0.411584318,0.427901179,0.691250026,-0.40731591,0.433890671,0.747822881,-0.305039734,0.418411493,0.637721598,-0.288178384,0.409440458,0.770879984,-0.213872999,0.427303493,0.598183215,-0.16362381,0.398350388,0.775528312,-0.159432128,0.437347502,0.572696865,-0.130512372,0.398051739,0.788726568,-0.180160061,0.43978256,0.561446786,-0.145065486,0.39986825,0.77804178,-0.191978395,0.440555185,0.560687184,-0.163738444,0.39839077,0.76839143,-0.163498402,0.439997017,0.568271756,-0.135614455,0.453471124,0.673716187,-0.011796763,0.441939741,0.625882983,0.011908285,0.438604534,0.709955394,0.207764894,0.421439707,0.651551068,0.229896024,0.446323305,0.71932584,0.498032957,0.420112312,0.658123314,0.532347918,0.450596154,0.719113052,0.528836966,0.421196878,0.654964566,0.565121233,0.437131822,0.735494375,0.50525701,0.411721289,0.678224444,0.547391832
B,0.420898438,0.701847911,-0.624272168,0.438402593,0.706440449,-0.644663692,0.439359426,0.707759738,-0.644615769,0.43839258,0.715769768,-0.644638896,0.425106823,0.689944863,-0.643903136,0.424313873,0.68468821,-0.643953681,0.423572004,0.679394543,-0.643895626,0.438180506,0.715789735,-0.595882893,0.425522983,0.664535403,-0.590028048,0.423328966,0.707279742,-0.587238133,0.418995947,0.691226125,-0.58598572,0.4433164,0.747018278,-0.446210921,0.410712242,0.620468795,-0.441990554,0.418055385,0.805501997,-0.328731,0.384002566,0.561570168,-0.303812683,0.397244692,0.755257726,-0.258913934,0.40786463,0.536055446,-0.277324975,0.390102595,0.753611684,-0.282059938,0.413377106,0.528939068,-0.302516758,0.395167738,0.736568689,-0.28399089,0.41743651,0.526504397,-0.311508715,0.394932866,0.734182298,-0.256845027,0.415575743,0.534127116,-0.276931554,0.460177481,0.663495064,-0.007384258,0.444192588,0.61521256,0.007375722,0.451497972,0.674062967,0.377728969,0.435913175,0.630412221,0.393728167,0.451166958,0.651391506,0.81011802,0.44373551,0.620724082,0.842170417,0.454871237,0.642417669,0.860651135,0.446743667,0.610764623,0.893724442,0.442395151,0.653213859,0.934559047,0.444527477,0.638988078,0.965727687
B,0.423967302,0.68737638,-0.624660552,0.437694848,0.692046225,-0.638927877,0.439481884,0.696687698,-0.638882816,0.439477921,0.698878407,-0.638926566,0.427397788,0.672052801,-0.638397515,0.426500171,0.667231083,-0.638465762,0.425619692,0.66234684,-0.63840729,0.439605087,0.698840737,-0.572985768,0.426066458,0.651339412,-0.568873286,0.425118595,0.694271743,-0.583101213,0.421130717,0.679900169,-0.582532346,0.4440988,0.729118347,-0.407688618,0.411599636,0.618983567,-0.404626608,0.423768044,0.758777261,-0.267908633,0.389094651,0.572896421,-0.245938942,0.403041929,0.683377266,-0.210096598,0.4067747,0.548675716,-0.187191337,0.392992407,0.676113486,-0.234133691,0.41065678,0.554897845,-0.203129441,0.40026179,0.661363304,-0.222186208,0.41404748,0.550033748,-0.22553739,0.400792122,0.662862659,-0.254570574,0.412782133,0.554059267,-0.189177722,0.463547558,0.646260142,-0.008038605,0.447470337,0.605424047,0.008062576,0.465939373,0.654560089,0.331626624,0.441178858,0.615558326,0.369088262,0.459657252,0.622214139,0.732105076,0.443226993,0.598225594,0.77030319,0.46018514,0.614659131,0.778291047,0.444140047,0.590448856,0.816125751,0.454384893,0.615902781,0.82882154,0.445171744,0.609823465,0.861367226
B,0.424634457,0.691351473,-0.593746066,0.432031304,0.696338773,-0.608013511,0.433574051,0.704884648,-0.607966304,0.429930508,0.701250136,-0.607997119,0.427487195,0.686995983,-0.608305097,0.427060604,0.683629632,-0.608369708,0.426511854,0.680129409,-0.608345032,0.432230055,0.704854131,-0.549761951,0.426168114,0.668231845,-0.548319459,0.424865872,0.697018027,-0.556922078,0.422082126,0.680047214,-0.55692929,0.439554363,0.731324852,-0.379559249,0.419120938,0.622419655,-0.416116953,0.410571039,0.731304109,-0.200335577,0.390196383,0.561313331,-0.25192064,0.402248204,0.697906911,-0.094892189,0.411959946,0.524371743,-0.200223133,0.397405922,0.701973557,-0.114600554,0.41232118,0.510882676,-0.230352446,0.400931925,0.691406488,-0.132516965,0.411913335,0.516444027,-0.249402612,0.400601953,0.684798121,-0.102237627,0.413220942,0.524047911,-0.20596604,0.461472988,0.639211416,0.004304123,0.455639601,0.604300261,-0.004338563,0.460055411,0.64903909,0.347405106,0.443882942,0.605083406,0.342681587,0.464964956,0.629000843,0.75777787,0.450829834,0.588848054,0.752124786,0.467187345,0.625570953,0.804558754,0.451246113,0.583913684,0.797988236,0.460955292,0.627669692,0.814756095,0.449667066,0.585957468,0.802235246
B,0.425081432,0.702094793,-0.564363301,0.433341891,0.699851632,-0.57421571,0.434835017,0.70999819,-0.57415843,0.431737512,0.712003767,-0.574188888,0.428032398,0.693651736,-0.574684978,0.427364975,0.689192355,-0.574742675,0.426627725,0.684695363,-0.574733973,0.432290852,0.710505366,-0.510055721,0.423096478,0.663302422,-0.510012567,0.425256789,0.703828335,-0.527437806,0.422319114,0.688149035,-0.528011262,0.441053957,0.734019458,-0.353461206,0.416053593,0.616626382,-0.380626023,0.410657734,0.731313169,-0.182038069,0.400423676,0.556473076,-0.221613079,0.398102939,0.707684219,-0.099104017,0.405013621,0.534631729,-0.154527947,0.395309776,0.714135826,-0.115353741,0.404721171,0.522836447,-0.179084063,0.39698416,0.701775134,-0.134036034,0.407144845,0.527328968,-0.1997132,0.396143466,0.693635225,-0.104993068,0.409206927,0.534586728,-0.159897357,0.460498631,0.639796972,0.007465654,0.452214867,0.595815122,-0.007513002,0.459643602,0.661807656,0.31806618,0.43850857,0.605332434,0.312880665,0.469111621,0.637829363,0.692675054,0.444691479,0.583980918,0.663573384,0.472726882,0.631288767,0.735415339,0.446038246,0.577154398,0.704666674,0.463543952,0.64130199,0.745250762,0.440358877,0.586387396,0.708868384
B,0.423989773,0.707828224,-0.571521819,0.432817221,0.707901061,-0.583442509,0.434276164,0.715918422,-0.58340013,0.43144235,0.721924603,-0.583444715,0.426486075,0.69868505,-0.582613647,0.425455809,0.693382978,-0.582678497,0.424385935,0.688062608,-0.582712412,0.433270782,0.722693443,-0.524637103,0.416152716,0.664076924,-0.518045306,0.423837006,0.709638536,-0.53647697,0.420391649,0.693019807,-0.534994185,0.44030562,0.738267183,-0.355230838,0.408403099,0.617103636,-0.385559052,0.409954071,0.742716908,-0.201399237,0.399942011,0.558163524,-0.221330717,0.396644384,0.717822969,-0.161466569,0.404584169,0.539913774,-0.154829115,0.394725412,0.723447084,-0.18481648,0.404924214,0.529400826,-0.179908529,0.395400226,0.711271226,-0.20613642,0.407627881,0.533691943,-0.201130748,0.394228756,0.70349133,-0.169982001,0.409531027,0.54060638,-0.161869317,0.461471707,0.644453526,0.004227735,0.451413721,0.587406695,-0.004262757,0.456367195,0.663504303,0.295242697,0.437074035,0.603928328,0.296554893,0.464621127,0.641452849,0.660666823,0.440891325,0.592290938,0.667118728,0.468450785,0.634983718,0.701672018,0.442086518,0.587323904,0.710651994,0.458064556,0.649573147,0.707062364,0.437027514,0.599360764,0.721664786
B,0.423711389,0.705611885,-0.540322304,0.42803216,0.707923651,-0.553355217,0.428469598,0.71540314,-0.553327441,0.428206295,0.721214831,-0.553373694,0.425845444,0.697951317,-0.551865458,0.425209105,0.692724168,-0.551930308,0.424498618,0.687461793,-0.551965714,0.430943549,0.722726583,-0.503887773,0.41740045,0.667446613,-0.495515168,0.423638046,0.706730485,-0.509006917,0.421126038,0.690939009,-0.50683558,0.438024044,0.737827957,-0.345158547,0.416779429,0.616995633,-0.372248232,0.407946646,0.740451574,-0.189013273,0.421108425,0.556520462,-0.215692073,0.396689594,0.72175175,-0.100526236,0.417595208,0.54399085,-0.15421173,0.397647083,0.72926873,-0.118082799,0.415244043,0.532758772,-0.178090706,0.396614343,0.717105627,-0.138691723,0.41302973,0.540356398,-0.200123399,0.394524843,0.709018648,-0.107418731,0.415932238,0.545792758,-0.161497325,0.462064832,0.631637216,0.00505837,0.454241663,0.581336498,-0.00498301,0.455294371,0.650385439,0.301228732,0.43517369,0.591760159,0.289781868,0.454660565,0.638347983,0.666502893,0.432561159,0.589506686,0.653215408,0.457314581,0.634507298,0.706465125,0.432322919,0.587966383,0.694019735,0.444856167,0.645057201,0.691666007,0.424383312,0.594790757,0.687625825
B,0.424105108,0.710643947,-0.541899085,0.429034621,0.715969145,-0.5557971,0.430075347,0.72127229,-0.555781782,0.429680109,0.724973917,-0.555850148,0.425796837,0.701637387,-0.554025233,0.424857229,0.696090937,-0.554101288,0.423844039,0.690529168,-0.554119468,0.431582212,0.72465533,-0.508933544,0.415352345,0.668389916,-0.498722255,0.424162954,0.710971177,-0.511190295,0.421348035,0.695233822,-0.508648038,0.44059357,0.736810386,-0.345690399,0.411530495,0.615653932,-0.372840017,0.416588843,0.723746181,-0.175090581,0.402175039,0.561147511,-0.201385662,0.401630491,0.702255607,-0.068771519,0.394185483,0.585368812,-0.110597216,0.403018624,0.709444404,-0.079976887,0.389600575,0.585272074,-0.127883151,0.401983559,0.697577894,-0.100554325,0.392683387,0.594566405,-0.145097271,0.399780214,0.689959109,-0.074327566,0.3957268,0.596836925,-0.114838146,0.462133825,0.621725917,0.003349948,0.452775955,0.569745898,-0.003259006,0.453903049,0.648791611,0.29743287,0.428135544,0.577735662,0.289144278,0.454603732,0.629976571,0.668020248,0.418310642,0.57316941,0.656665325,0.457314104,0.624223053,0.709391952,0.417395264,0.569819033,0.699138343,0.445059061,0.640203655,0.705477834,0.41056174,0.584798276,0.699401915
B,0.415898174,0.710252881,-0.503978133,0.426216513,0.717361689,-0.515742779,0.427335441,0.721323729,-0.515766263,0.42914167,0.725703776,-0.515857935,0.417399496,0.701103747,-0.516971767,0.416122735,0.695291162,-0.51706171,0.414812505,0.689498663,-0.517110109,0.432058632,0.726654232,-0.466494411,0.414800882,0.668463051,-0.470877469,0.419166893,0.710801303,-0.473302126,0.414665788,0.695082068,-0.475043595,0.447589159,0.736607134,-0.323669702,0.411753982,0.605177581,-0.349777877,0.442992777,0.730484784,-0.160568789,0.404290199,0.541202605,-0.188711017,0.429635912,0.709922612,-0.064117253,0.396276295,0.558877289,-0.120529652,0.434492409,0.729458511,-0.076907173,0.39271751,0.552846253,-0.139449388,0.430447161,0.713071346,-0.095901653,0.394272447,0.569012463,-0.157658964,0.426842391,0.701042175,-0.069201209,0.397179097,0.576577425,-0.125602171,0.465167999,0.614388466,0.002079742,0.452773809,0.562116027,-0.001996536,0.452937543,0.63141793,0.26428932,0.42722249,0.57240057,0.273615062,0.45799917,0.614377439,0.610248744,0.417492211,0.567079306,0.607860386,0.462508827,0.609177947,0.648440003,0.418274552,0.56295675,0.645419955,0.447721958,0.622434378,0.634807885,0.406041384,0.580696762,0.630659878
B,0.416661739,0.702984214,-0.526815951,0.42717734,0.716564417,-0.526388586,0.427121252,0.71839118,-0.526441216,0.42736274,0.722457707,-0.526568472,0.424987942,0.700353563,-0.527751207,0.422774136,0.694830477,-0.527868271,0.423635155,0.688891113,-0.527932525,0.429328114,0.722826719,-0.46895963,0.426637083,0.670879066,-0.466424078,0.420638084,0.700314462,-0.490287691,0.419675678,0.669231892,-0.490835667,0.437088341,0.723989725,-0.316083312,0.42032975,0.605851769,-0.347984791,0.421177536,0.709092259,-0.160178155,0.408916235,0.536576629,-0.185164481,0.425253868,0.690230727,-0.044434465,0.402249038,0.554882407,-0.087173089,0.428679317,0.699988544,-0.048124284,0.401623547,0.55209291,-0.09798111,0.425584614,0.687254131,-0.065934494,0.403399378,0.564561605,-0.117604673,0.421497107,0.679659486,-0.048843935,0.405281156,0.572543681,-0.092487253,0.463609844,0.59914124,0.001373923,0.455413669,0.554016888,-0.001308021,0.435303062,0.632970572,0.235144809,0.427357763,0.579618096,0.230977625,0.432391644,0.621301055,0.553255439,0.412914842,0.583370388,0.546639502,0.434633642,0.616986394,0.587160945,0.41020757,0.578898609,0.581697166,0.425810963,0.631574094,0.562002122,0.405485213,0.595980883,0.559170187
