Class,1x,1y,1z,2x,2y,2z,3x,3y,3z,4x,4y,4z,5x,5y,5z,6x,6y,6z,7x,7y,7z,8x,8y,8z,9x,9y,9z,10x,10y,10z,11x,11y,11z,12x,12y,12z,13x,13y,13z,14x,14y,14z,15x,15y,15z,16x,16y,16z,17x,17y,17z,18x,18y,18z,19x,19y,19z,20x,20y,20z,21x,21y,21z,22x,22y,22z,23x,23y,23z,24x,24y,24z,25x,25y,25z,26x,26y,26z,27x,27y,27z,28x,28y,28z,29x,29y,29z,30x,30y,30z,31x,31y,31z,32x,32y,32z,33x,33y,33z
B_flat,0.469673812,0.327340454,-0.081411846,0.474691927,0.312296242,-0.057238482,0.478109419,0.31159091,-0.05723393,0.481497824,0.310745776,-0.057270057,0.464891285,0.314345032,-0.060326468,0.461723238,0.315251499,-0.060347408,0.458662897,0.316011757,-0.060379278,0.487472445,0.313977808,0.039902959,0.457248747,0.321937233,0.029245919,0.477609545,0.340499729,-0.047961272,0.465632588,0.34275347,-0.051195364,0.509601176,0.395581901,0.038461108,0.440507591,0.398096383,-0.001609429,0.528110027,0.308353782,-0.071945488,0.425420761,0.279614866,-0.127551377,0.476980299,0.257235885,-0.126708373,0.443854004,0.168065161,-0.124010883,0.465338886,0.249098763,-0.159809142,0.452641398,0.141628325,-0.153019056,0.462859094,0.244431198,-0.143760338,0.455024332,0.141350627,-0.141425729,0.465390503,0.247559547,-0.126974612,0.452301919,0.149541378,-0.125418916,0.505084217,0.633747578,0.008997026,0.456677854,0.636957109,-0.008930896,0.502641082,0.827736259,-0.014416401,0.467369169,0.82784307,-0.031263016,0.499296486,0.978772759,0.084486902,0.477941096,0.986082196,0.04880514,0.494314253,0.9807266,0.087853454,0.475462824,0.983646929,0.049981777,0.503539443,1.043675542,-0.033565193,0.485754102,1.068829656,-0.079260275
B_flat,0.469361126,0.32748419,-0.047849402,0.47436437,0.312286347,-0.023170171,0.477895588,0.311572462,-0.023157069,0.481374919,0.310731113,-0.023223968,0.464415789,0.314344227,-0.026842106,0.461284488,0.315235823,-0.026847968,0.458239943,0.31597662,-0.026833337,0.487412751,0.314025462,0.079266511,0.456915706,0.32196784,0.06473051,0.477335125,0.340969503,-0.011945446,0.465419441,0.343019217,-0.016230417,0.509616971,0.395780146,0.087957501,0.440507472,0.398461491,0.044991862,0.528796792,0.308082521,0.031068716,0.426171213,0.276355445,-0.051349301,0.476596922,0.25983429,0.044627286,0.445351779,0.167743847,-0.014034176,0.464108855,0.258284479,0.015901454,0.454498678,0.141548619,-0.043377515,0.461483151,0.258738399,0.032171667,0.457466125,0.140925571,-0.035015974,0.464575917,0.256301582,0.045249831,0.454649508,0.149068296,-0.017887603,0.504773438,0.63378644,0.009015811,0.456040055,0.637488961,-0.008936814,0.505782485,0.83002919,-0.014350779,0.467462599,0.835529089,-0.03245556,0.507837415,0.980979383,0.098294184,0.477998972,0.989148259,0.069029368,0.50242722,0.981739044,0.103648737,0.476371527,0.985765159,0.07318119,0.513584495,1.048064113,-0.018893216,0.486178815,1.071380854,-0.057074416
B_flat,0.468119234,0.327481627,-0.069437675,0.47304219,0.312240422,-0.046729393,0.47666043,0.311490327,-0.04672534,0.480233908,0.310623497,-0.046794869,0.463425219,0.314333469,-0.049684852,0.460498154,0.315211177,-0.049678735,0.457617521,0.315939575,-0.049711894,0.486500919,0.313988745,0.054647379,0.456594795,0.321951777,0.042739823,0.475928605,0.340861082,-0.033033837,0.464424312,0.34284541,-0.036584675,0.509430289,0.395407617,0.073109291,0.439972639,0.398440421,0.035857953,0.529093623,0.308142334,-0.00294662,0.426035583,0.276407212,-0.083158419,0.47654742,0.262421191,-0.012854198,0.445526063,0.167775795,-0.05774631,0.464032978,0.262992829,-0.041204732,0.45468998,0.141500562,-0.085437208,0.461240202,0.264385164,-0.026599731,0.457969666,0.140158966,-0.077570513,0.464372009,0.260512501,-0.012617402,0.455201715,0.148268163,-0.060992219,0.504512072,0.632381976,0.010329973,0.455683708,0.637210131,-0.010197567,0.510498285,0.823744118,-0.012956436,0.467467308,0.833554268,-0.03303868,0.516884565,0.976918817,0.095889792,0.478009224,0.984736025,0.066233195,0.510968447,0.978059113,0.100730374,0.47694096,0.982152462,0.069050118,0.524178982,1.039608359,-0.021672716,0.487671196,1.06707263,-0.061453335
B_flat,0.466983974,0.327859253,-0.059530955,0.472256005,0.312578619,-0.034862377,0.47599569,0.311988652,-0.034851611,0.479678482,0.311351776,-0.034917686,0.462694734,0.314343452,-0.03809049,0.45985961,0.315180749,-0.038086362,0.457077742,0.315803796,-0.038102094,0.486050546,0.316213667,0.067992911,0.456077397,0.321878016,0.055775266,0.474195957,0.341448367,-0.023310399,0.462952197,0.342953563,-0.027041931,0.508119226,0.395666331,0.081220061,0.438096374,0.398081899,0.038055569,0.529099882,0.309217602,0.016028579,0.42612806,0.274065286,-0.0609142,0.47623533,0.26243794,0.007603547,0.445801586,0.165842667,-0.031464998,0.463386208,0.261810869,-0.022462597,0.454823256,0.139852181,-0.06052094,0.460589111,0.262042046,-0.006006003,0.458204985,0.137715176,-0.053692766,0.463813066,0.259445727,0.008146069,0.45546332,0.145823851,-0.035460133,0.503489733,0.63125807,0.010297491,0.454719871,0.637085199,-0.01014767,0.515520394,0.812880695,-0.022271087,0.46719116,0.833190858,-0.035902027,0.526695669,0.97652632,0.086300865,0.478016794,0.982639372,0.06328322,0.521544576,0.978181541,0.0906481,0.477609336,0.980949461,0.065549724,0.535529912,1.033374906,-0.036978982,0.487629116,1.062903285,-0.062724546
B_flat,0.466088682,0.328009129,-0.040013112,0.472029448,0.312805891,-0.014624898,0.475867748,0.312450618,-0.014615035,0.479606152,0.312161267,-0.014691027,0.462205082,0.314284444,-0.017837314,0.45931381,0.314902008,-0.017855845,0.456515163,0.31520921,-0.017873196,0.486033678,0.318867356,0.085838675,0.455515236,0.32122308,0.07419233,0.472956747,0.342106819,-0.004951855,0.461465508,0.342960358,-0.008698082,0.507522047,0.396571338,0.094136126,0.43635264,0.398037136,0.049125828,0.529109597,0.30962193,0.039821975,0.425892204,0.272410125,-0.04207436,0.475099891,0.261632919,0.053132199,0.445534468,0.164458439,-0.002349705,0.461896509,0.257052571,0.02670756,0.454122782,0.138644189,-0.029979721,0.459344238,0.255504549,0.044934519,0.457708448,0.136228576,-0.024068885,0.462495387,0.257705122,0.055061381,0.455127329,0.144510269,-0.006698445,0.502955556,0.634661496,0.010955216,0.453956753,0.640183926,-0.010810381,0.524024069,0.81387043,-0.025688505,0.466539621,0.839914799,-0.03568127,0.542830467,0.977880955,0.083725825,0.476603568,0.9827106,0.069109082,0.538046777,0.983369887,0.088027999,0.477315336,0.981010675,0.072687507,0.56274116,1.03828001,-0.039784499,0.47904554,1.063231945,-0.05696968
B_flat,0.465822995,0.328420639,-0.073371351,0.472006083,0.313127756,-0.051295646,0.475857198,0.312911004,-0.051298469,0.479593188,0.312806785,-0.051377732,0.462039232,0.314301461,-0.055700749,0.459069669,0.31488654,-0.055774845,0.456208706,0.315113127,-0.055835009,0.485965669,0.320254803,0.047849234,0.455209166,0.320992351,0.028333018,0.472519398,0.342789918,-0.037427686,0.460823834,0.343083292,-0.043666378,0.506946325,0.397129774,0.084347785,0.435570568,0.398031026,0.002845074,0.529079676,0.30967623,0.04019874,0.425763309,0.270808965,-0.066078864,0.47385174,0.260617673,0.065239653,0.443992674,0.163385928,0.002851713,0.460380405,0.253878742,0.046524085,0.452179343,0.137541056,-0.015766215,0.458212316,0.251483947,0.06400232,0.455951035,0.135045558,-0.009067372,0.460959852,0.252053648,0.067998797,0.453418106,0.1437224,0.00061448,0.502977133,0.640303493,0.026575441,0.453989208,0.643994629,-0.026507219,0.535166085,0.814982593,0.015670877,0.465603888,0.845218718,-0.040477879,0.558672309,0.978220463,0.11997328,0.475798041,0.98412621,0.067024566,0.549909651,0.98829937,0.124897122,0.47614041,0.981587708,0.069102764,0.596782923,1.017809272,0.021716194,0.479029804,1.065653682,-0.058688693
B_flat,0.465891302,0.329578966,-0.127010122,0.472103506,0.31389302,-0.105748095,0.475979865,0.313796908,-0.105758235,0.479697645,0.313855499,-0.105819598,0.462066263,0.314658731,-0.110633872,0.459076464,0.315062642,-0.110711493,0.456176698,0.315194398,-0.11075528,0.485969216,0.32160154,-0.002878236,0.455028534,0.321017951,-0.024959244,0.472664207,0.344459563,-0.089346781,0.460777223,0.344042927,-0.096216738,0.505649924,0.398175299,0.041435294,0.435228914,0.397987962,-0.038312715,0.528906941,0.309672326,0.015838398,0.425787866,0.269306958,-0.083982557,0.472935289,0.260169685,0.019409072,0.443009943,0.162804231,-0.007987811,0.459378541,0.252664208,-0.001063839,0.450316995,0.136695445,-0.025512656,0.457518727,0.250295609,0.014366431,0.454232544,0.134175941,-0.018214369,0.460150182,0.250026882,0.021034699,0.452130467,0.143138096,-0.009351616,0.502811313,0.643893182,0.034023013,0.454017937,0.648101747,-0.033995979,0.543595016,0.816188216,0.039057866,0.464819759,0.846193552,-0.040110447,0.579922974,0.968827307,0.140885189,0.475004196,0.990627885,0.064683706,0.574715555,0.988219619,0.14587836,0.470787585,1.01683414,0.068121009,0.622347414,0.98668611,0.047247153,0.477949798,1.066217422,-0.060958661
B_flat,0.465909719,0.329775274,-0.136773378,0.472603023,0.314222753,-0.115461767,0.476489455,0.314328969,-0.115469158,0.480170488,0.314632744,-0.115535118,0.462255806,0.314665437,-0.119964525,0.459192753,0.315033436,-0.120033994,0.456239074,0.315076828,-0.120066106,0.48621273,0.323118091,-0.013604079,0.45504266,0.320861757,-0.033837974,0.472771019,0.34504354,-0.09979412,0.460812479,0.344155669,-0.10623356,0.505458415,0.398250759,0.034119166,0.434809029,0.39532423,-0.041799333,0.528831124,0.309697181,0.020253841,0.425786108,0.265733272,-0.074595645,0.472052038,0.260134131,0.036518939,0.441360176,0.162755311,0.029321644,0.458715588,0.252503663,0.021194797,0.44851166,0.13649793,0.014695646,0.456945956,0.250234932,0.034051623,0.452680349,0.13393122,0.023507515,0.459491432,0.251319051,0.037911452,0.450596482,0.143146738,0.029323008,0.502811074,0.644146383,0.036215495,0.454001009,0.649644971,-0.036200162,0.55046618,0.808092475,0.046322398,0.464564621,0.845116079,-0.041236892,0.598989666,0.94164139,0.147171468,0.474805295,0.993286967,0.053218473,0.599077523,0.974268913,0.15289709,0.471092999,1.012275219,0.056720745,0.642465711,0.955813169,0.062349431,0.479803622,1.066776991,-0.064229071
B_flat,0.465057999,0.329788625,-0.204860732,0.472315252,0.314228714,-0.18474479,0.476252407,0.314345837,-0.184737176,0.479953825,0.314660877,-0.18481715,0.461824477,0.314568847,-0.188847438,0.458754867,0.31478256,-0.188909501,0.455798566,0.314669758,-0.188955694,0.48598367,0.323081255,-0.080936633,0.454820931,0.320097446,-0.098833233,0.471674502,0.345078588,-0.166651532,0.459599167,0.344147176,-0.172407284,0.505069196,0.398312122,-0.033884544,0.433183283,0.393116295,-0.098513916,0.5283674,0.309688359,-0.065039866,0.425026327,0.263874143,-0.157199264,0.471766055,0.260007173,-0.072868392,0.440442622,0.162051439,-0.09627866,0.458626896,0.251767427,-0.091935202,0.44786483,0.135676116,-0.118565299,0.456823051,0.249332592,-0.076464489,0.451940358,0.133212402,-0.106476799,0.459328562,0.251498967,-0.07087592,0.449812323,0.142729223,-0.096260265,0.502810478,0.644793689,0.031816989,0.453688562,0.654721737,-0.031784438,0.558719456,0.795467913,0.032373004,0.464572489,0.848751485,-0.037815891,0.617270052,0.920655131,0.145974427,0.474398911,0.997099042,0.063417807,0.618528962,0.955457211,0.152999356,0.471418858,1.022908807,0.067722492,0.663130522,0.928966165,0.056936312,0.478654623,1.068574667,-0.054554701
B_flat,0.463855445,0.329653621,-0.187918872,0.470484555,0.313948959,-0.16644828,0.474469841,0.313819408,-0.166441992,0.478221655,0.313790917,-0.166506678,0.460235208,0.314484119,-0.170710504,0.457302034,0.314691126,-0.170764357,0.454474777,0.314591885,-0.170810252,0.484104782,0.319845617,-0.060505442,0.453786075,0.319665462,-0.078258283,0.470804155,0.344311535,-0.149158031,0.458944559,0.343888074,-0.154821128,0.504600406,0.397345424,-0.00745287,0.4327209,0.390951663,-0.09038496,0.527933955,0.309658587,-0.040832724,0.423829615,0.263229936,-0.16519776,0.471228898,0.259932011,-0.052393802,0.439915836,0.160606563,-0.119968757,0.457851738,0.250246793,-0.085469082,0.447009146,0.134372398,-0.143694744,0.45603618,0.247565761,-0.074474953,0.450556755,0.131561413,-0.132584453,0.458781958,0.251508355,-0.051986314,0.44838506,0.141269445,-0.120288514,0.502671421,0.644658089,0.033192448,0.453560293,0.654117405,-0.033224482,0.563608944,0.775041938,0.019449774,0.466290623,0.851092458,-0.056888849,0.625699759,0.90046525,0.092951261,0.472301185,1.015243292,-0.00154557,0.630177379,0.935748637,0.096285984,0.471605361,1.039660811,-0.002271183,0.674948752,0.901940942,0.012653446,0.478986651,1.077740192,-0.125104874
