Class,1x,1y,1z,2x,2y,2z,3x,3y,3z,4x,4y,4z,5x,5y,5z,6x,6y,6z,7x,7y,7z,8x,8y,8z,9x,9y,9z,10x,10y,10z,11x,11y,11z,12x,12y,12z,13x,13y,13z,14x,14y,14z,15x,15y,15z,16x,16y,16z,17x,17y,17z,18x,18y,18z,19x,19y,19z,20x,20y,20z,21x,21y,21z,22x,22y,22z,23x,23y,23z,24x,24y,24z,25x,25y,25z,26x,26y,26z,27x,27y,27z,28x,28y,28z,29x,29y,29z,30x,30y,30z,31x,31y,31z,32x,32y,32z,33x,33y,33z
B_sharp,0.51415807,0.310195804,-0.151651666,0.522663295,0.296324462,-0.130851254,0.526334226,0.297599524,-0.130845368,0.530053914,0.298898667,-0.130913988,0.513196647,0.292396903,-0.127392456,0.510601521,0.29110387,-0.127442196,0.508035421,0.289937466,-0.12743403,0.537658334,0.306761414,-0.028939683,0.508002877,0.29535374,-0.008770889,0.519100308,0.327712715,-0.114705756,0.508330524,0.323427945,-0.10908179,0.555496573,0.390316188,-0.012447853,0.485334307,0.36921823,0.009024437,0.577335,0.292759478,-0.062301613,0.48595947,0.247933239,-0.04240549,0.524868429,0.236424863,-0.019658521,0.490050077,0.133216321,-0.057846427,0.509457171,0.200711235,-0.045255296,0.494838059,0.093370795,-0.093044788,0.507175446,0.193325937,-0.035210662,0.498184144,0.092938542,-0.094896071,0.510954082,0.213500559,-0.019510549,0.496496975,0.104876637,-0.065753005,0.516259909,0.654234111,-0.012989121,0.462661445,0.627033532,0.013075826,0.506231189,0.868044734,-0.046518389,0.390701711,0.791321635,0.023829348,0.495393127,1.074618816,0.053820349,0.326677144,0.928448677,0.152191982,0.48810038,1.097793221,0.0559434,0.323813647,0.949630737,0.15751946,0.495081812,1.1384902,-0.082451731,0.285161138,0.955066323,0.032867037
B_sharp,0.514181376,0.309572101,-0.161844835,0.522705197,0.295852929,-0.141419023,0.526405811,0.297066867,-0.14141202,0.530185819,0.298291445,-0.141458601,0.513207972,0.292033017,-0.139976233,0.5106107,0.290746301,-0.140026301,0.508046985,0.289529532,-0.140023768,0.537751317,0.305514067,-0.038893811,0.508094549,0.294438064,-0.028480658,0.519282877,0.327078998,-0.124393418,0.508395314,0.322906226,-0.121444248,0.55549705,0.390241295,-0.024509415,0.485182911,0.368880928,-0.01699698,0.577845454,0.292899281,-0.098224044,0.48590225,0.247895494,-0.086280294,0.524876177,0.2364925,-0.086485818,0.4903211,0.139441893,-0.096097283,0.509456873,0.209642544,-0.11523883,0.495141327,0.095097288,-0.127160937,0.507236242,0.204480886,-0.102380618,0.498400301,0.098726615,-0.12945196,0.510954261,0.215497404,-0.086043343,0.496674716,0.109408736,-0.102882266,0.51643312,0.654429913,-0.012564721,0.462717593,0.627226949,0.012641837,0.506377816,0.867486238,-0.0503648,0.391375661,0.787568569,-0.001238914,0.497938097,1.07255888,0.048334785,0.326876432,0.924076915,0.092171103,0.491071522,1.095978498,0.050403576,0.32381472,0.944147408,0.094119787,0.49727267,1.135597348,-0.082744956,0.286901027,0.954529643,-0.028387209
B_sharp,0.514134526,0.309438825,-0.160946578,0.52270472,0.295759559,-0.14040263,0.526414871,0.296955943,-0.140397981,0.530234635,0.298163235,-0.140448302,0.513194501,0.291987509,-0.138642296,0.510602415,0.290712267,-0.138692945,0.508046091,0.289497346,-0.138689876,0.537844896,0.305275321,-0.037848942,0.508286297,0.294326037,-0.02555353,0.519287109,0.327036411,-0.123530827,0.508378208,0.322871357,-0.120159902,0.555518746,0.390495211,-0.023623988,0.485095322,0.368876606,-0.013036406,0.578125834,0.294045299,-0.102594912,0.485949934,0.2483477,-0.078145877,0.525018513,0.237103522,-0.098285988,0.490654647,0.140353024,-0.089177787,0.509783268,0.216361493,-0.128501266,0.495490789,0.095500939,-0.121149205,0.507775605,0.211251944,-0.114927635,0.498890102,0.099980131,-0.123509422,0.511193991,0.218089193,-0.097795933,0.497254848,0.110354774,-0.096251443,0.516437411,0.654779255,-0.012442101,0.462716967,0.62767154,0.012518185,0.506420016,0.866384864,-0.050952274,0.391577005,0.786288261,-0.005734768,0.499331534,1.071339488,0.048702944,0.327078432,0.9223575,0.091874674,0.49245435,1.095026255,0.051159345,0.323825419,0.942723095,0.094151981,0.499556601,1.133648038,-0.079613693,0.287916183,0.954511166,-0.030765519
B_sharp,0.514392436,0.309553802,-0.164813295,0.522975862,0.295964748,-0.143835053,0.526749253,0.297148496,-0.143829316,0.53064239,0.298341662,-0.143878624,0.513488948,0.292197555,-0.142985493,0.510893822,0.29090485,-0.143036693,0.508351326,0.289663494,-0.14303109,0.538121223,0.30529958,-0.039267395,0.508649886,0.294321954,-0.031242171,0.519632936,0.327122927,-0.126530051,0.508607388,0.322945297,-0.124415182,0.55561167,0.390859067,-0.024302253,0.485095918,0.368872076,-0.018144678,0.578580499,0.294611454,-0.096096657,0.48629126,0.248343959,-0.085118279,0.525295556,0.237497076,-0.087548517,0.49121052,0.140467674,-0.093553983,0.509911656,0.21818772,-0.117653653,0.496386588,0.095889091,-0.125353843,0.50799948,0.213358015,-0.10521505,0.499719292,0.099875197,-0.128021449,0.51128757,0.218921676,-0.087538913,0.4980371,0.110574901,-0.100597098,0.516447067,0.654959798,-0.011940654,0.462730885,0.627958,0.012018398,0.506453931,0.865855634,-0.050303765,0.391668379,0.786351264,-0.008242193,0.499331415,1.069145083,0.055240672,0.327592015,0.922527671,0.089837313,0.492429346,1.092629194,0.058318246,0.323949784,0.942944348,0.092088617,0.499552548,1.130851626,-0.071712211,0.287944138,0.954529822,-0.034914322
B_sharp,0.514498353,0.309552878,-0.164512157,0.523067474,0.295980453,-0.143589616,0.526863456,0.297164589,-0.143581018,0.530788541,0.298357129,-0.143612415,0.513679862,0.292215019,-0.14149043,0.511128306,0.290922582,-0.141542107,0.508636594,0.289676398,-0.141536564,0.538246274,0.305305004,-0.038551003,0.509061217,0.294291973,-0.028645452,0.519785345,0.327124506,-0.126403213,0.508811176,0.322944582,-0.122694314,0.555647254,0.391011208,-0.023352511,0.485250086,0.368765295,-0.017536728,0.579519928,0.29509303,-0.092718735,0.487172782,0.247829199,-0.085134186,0.526115119,0.238895223,-0.080080912,0.492215782,0.140426636,-0.091268614,0.510217011,0.220400959,-0.10943611,0.497313827,0.095887937,-0.122348666,0.508354008,0.215666786,-0.097383119,0.500729322,0.100408427,-0.125333175,0.511556506,0.224796563,-0.08025486,0.498856783,0.110521898,-0.098358512,0.516487837,0.654949546,-0.011807081,0.462798536,0.627957225,0.011881959,0.506616414,0.863078535,-0.053852528,0.392616332,0.7850703,-0.014224462,0.499612898,1.065977335,0.04696884,0.328365743,0.922681928,0.069819942,0.492739737,1.089494467,0.049398825,0.324359208,0.943428814,0.070679128,0.499898255,1.126802683,-0.077982366,0.288023263,0.954524815,-0.054058053
B_sharp,0.514430881,0.309524924,-0.155390844,0.523049712,0.295980603,-0.133790463,0.52685231,0.297163129,-0.133788496,0.530786574,0.298354268,-0.133824527,0.513686776,0.292224973,-0.13271603,0.511161506,0.290940821,-0.13276729,0.508713841,0.289697021,-0.132763714,0.538267612,0.305310041,-0.029526278,0.509408057,0.29428795,-0.022703065,0.519763291,0.327106655,-0.117745027,0.508812726,0.322919577,-0.11539837,0.555703282,0.391090721,-0.018642489,0.485303253,0.368755043,-0.016398627,0.579659879,0.296112746,-0.089842081,0.487368017,0.24757801,-0.078466818,0.52640444,0.239024401,-0.07964012,0.492205858,0.137064233,-0.087217316,0.510525227,0.220010042,-0.110045888,0.497435808,0.095908284,-0.119106516,0.508865952,0.214831799,-0.097453073,0.500803113,0.100029863,-0.121940717,0.511860728,0.224340245,-0.079673335,0.498955309,0.110494033,-0.094473727,0.516607761,0.654992998,-0.011743787,0.462894678,0.628067374,0.011820653,0.506665528,0.862558424,-0.053340234,0.393028557,0.785169065,-0.012090693,0.500204563,1.065073013,0.05071016,0.329009145,0.922795892,0.081955925,0.493313223,1.088662744,0.053564738,0.32463938,0.943639219,0.083884135,0.50079143,1.125792742,-0.073995516,0.288623065,0.954740286,-0.042254902
B_sharp,0.514303327,0.30934599,-0.150534794,0.522971272,0.295901567,-0.128956497,0.526774466,0.297075391,-0.128955632,0.530727565,0.298260659,-0.128997162,0.513688505,0.292201132,-0.12809667,0.511197746,0.290933996,-0.128147438,0.508814156,0.28969571,-0.128148049,0.538246512,0.305278033,-0.025506526,0.509738207,0.294286907,-0.019043405,0.519647121,0.327016205,-0.113153853,0.508812308,0.322807252,-0.111116193,0.555712402,0.391094714,-0.01478188,0.485325158,0.36867696,-0.013463171,0.579671204,0.296546131,-0.084489331,0.487576634,0.247400999,-0.075693958,0.526343405,0.238945916,-0.076579005,0.492194593,0.135869086,-0.085132442,0.510559022,0.219240442,-0.105083108,0.497543007,0.096086331,-0.11738912,0.508990347,0.213966414,-0.093086384,0.500690877,0.099853672,-0.120144285,0.511890769,0.224043578,-0.076231919,0.498948425,0.110698424,-0.092472717,0.516834915,0.655002832,-0.011658965,0.463054657,0.628089011,0.011736976,0.506857157,0.860342503,-0.05186813,0.393835753,0.784896255,-0.011241296,0.500961363,1.062574148,0.054711688,0.330560774,0.92289716,0.085751429,0.494074404,1.0860852,0.057765819,0.325698584,0.943798006,0.087912336,0.501857638,1.123201609,-0.070105448,0.289658546,0.954800069,-0.038095437
B_sharp,0.514302671,0.30851236,-0.141606987,0.522911966,0.29503876,-0.120246947,0.526708007,0.296079576,-0.120249867,0.53067404,0.29715538,-0.120288633,0.513699532,0.291793048,-0.118966654,0.511261821,0.290661991,-0.11901249,0.508958578,0.289517313,-0.119014189,0.538245082,0.303905666,-0.018598057,0.510145307,0.294067204,-0.009218642,0.519680083,0.326138496,-0.104928315,0.50903523,0.322260946,-0.102229252,0.555841565,0.390996605,-0.012590213,0.485660136,0.36845535,-0.004917982,0.578415215,0.296511978,-0.090102538,0.48784858,0.247377202,-0.073767804,0.526305437,0.238272518,-0.088884771,0.492901415,0.138913289,-0.08620505,0.510567784,0.214101687,-0.119998775,0.497893333,0.096682027,-0.118843675,0.509119928,0.21330221,-0.107382633,0.500808656,0.102041565,-0.121316217,0.511946201,0.222941294,-0.088977739,0.499042332,0.111652903,-0.093489364,0.516863942,0.655010104,-0.011968854,0.463098526,0.628083706,0.012042865,0.506879926,0.859858871,-0.051026464,0.394120574,0.784793794,-0.008564057,0.501039624,1.061730742,0.056648541,0.330850601,0.922994375,0.091062114,0.494270265,1.085466266,0.059698682,0.325832874,0.943930566,0.093483612,0.501921535,1.121517658,-0.068897575,0.289860755,0.954800725,-0.031846054
B_sharp,0.514336705,0.308131695,-0.135990605,0.522924304,0.294717014,-0.114682771,0.526717305,0.295788229,-0.114682838,0.53068924,0.296909302,-0.114716746,0.513914764,0.291518509,-0.113317631,0.511622548,0.290428579,-0.113364384,0.509468555,0.289312243,-0.113369524,0.538337588,0.303741634,-0.013386088,0.511078417,0.293801129,-0.003269089,0.519756079,0.325965941,-0.099384651,0.509388328,0.322005302,-0.096574299,0.556061387,0.390923917,-0.009289618,0.485866547,0.368192554,-0.001002396,0.577589393,0.296187758,-0.09316694,0.488094658,0.246588618,-0.076337412,0.526268721,0.23762925,-0.094603293,0.493044317,0.139542937,-0.097876355,0.510614038,0.211403891,-0.125983372,0.497895658,0.096864067,-0.131749853,0.509281039,0.212860554,-0.11320734,0.500795305,0.101707786,-0.133376867,0.512008548,0.221850097,-0.094825819,0.499049842,0.111852378,-0.105007932,0.517001808,0.655012548,-0.0120112,0.463147938,0.628078401,0.012081565,0.506921291,0.859238267,-0.049834136,0.394294471,0.784289658,-0.007240663,0.501112819,1.061376333,0.057557352,0.331010401,0.922739565,0.0927746,0.494404465,1.085231066,0.060489766,0.326130509,0.944042027,0.095202565,0.501912236,1.121157527,-0.069101468,0.290741414,0.955057025,-0.02983422
B_sharp,0.514339983,0.30655697,-0.137331754,0.522910953,0.293338239,-0.116345264,0.526667297,0.294449538,-0.116344273,0.530615449,0.295640528,-0.116376378,0.514065862,0.290367365,-0.114980951,0.511904478,0.289433241,-0.115029655,0.509882689,0.288437009,-0.115039028,0.53826201,0.302853107,-0.015375321,0.511707544,0.293075413,-0.005065266,0.51974833,0.324742436,-0.100785211,0.509560168,0.320716113,-0.098008141,0.556079149,0.390214592,-0.009853235,0.485934198,0.366847724,-0.001745378,0.576779485,0.293963075,-0.093746059,0.488506466,0.245246574,-0.08622475,0.525923133,0.236577287,-0.091573842,0.493090719,0.139532626,-0.113683641,0.510627031,0.207843289,-0.122167565,0.497890413,0.096967496,-0.147832423,0.509403348,0.212558851,-0.110075176,0.500773609,0.102210648,-0.149439678,0.512030005,0.219991937,-0.092004403,0.499043643,0.111871898,-0.120787285,0.51701957,0.654990911,-0.012014547,0.463166416,0.628071249,0.012083498,0.506966949,0.858708084,-0.047724597,0.394518942,0.783757508,-0.005565439,0.501235962,1.06109941,0.057942539,0.331130534,0.922151506,0.097307995,0.494677365,1.084991336,0.060738731,0.326254547,0.942429841,0.100310601,0.501832604,1.121045113,-0.06932921,0.291454852,0.955013812,-0.02220715
