Class,1x,1y,1z,2x,2y,2z,3x,3y,3z,4x,4y,4z,5x,5y,5z,6x,6y,6z,7x,7y,7z,8x,8y,8z,9x,9y,9z,10x,10y,10z,11x,11y,11z,12x,12y,12z,13x,13y,13z,14x,14y,14z,15x,15y,15z,16x,16y,16z,17x,17y,17z,18x,18y,18z,19x,19y,19z,20x,20y,20z,21x,21y,21z,22x,22y,22z,23x,23y,23z,24x,24y,24z,25x,25y,25z,26x,26y,26z,27x,27y,27z,28x,28y,28z,29x,29y,29z,30x,30y,30z,31x,31y,31z,32x,32y,32z,33x,33y,33z
C,0.543934107,0.512156487,-0.278664351,0.562005758,0.498090118,-0.237815812,0.566969156,0.505095363,-0.237621695,0.571279883,0.511587977,-0.237471253,0.545406401,0.475956738,-0.26218608,0.538196027,0.466707051,-0.262122869,0.53096354,0.456587017,-0.262328506,0.56800437,0.527733982,-0.042492129,0.51084435,0.454427093,-0.150806084,0.539472222,0.550294399,-0.210334927,0.518714786,0.523925185,-0.24250789,0.551296294,0.707018614,0.082371995,0.424985975,0.522226453,-0.208747268,0.6593104,0.828921199,0.130489305,0.489520073,0.306148112,-0.346555799,0.772108614,0.775408685,0.052483607,0.604057491,0.190853357,-0.237528637,0.808354735,0.757956803,0.029047329,0.638264716,0.18956095,-0.266311258,0.809800744,0.739686489,0.007393899,0.648506761,0.204721689,-0.240693614,0.796849191,0.746946394,0.031838126,0.638267756,0.209430337,-0.2338783,0.466013014,1.077676296,0.046268754,0.360591143,0.990318716,-0.045105394,0.426467478,1.425968647,0.05829566,0.326345265,1.387629867,-0.07259658,0.371279836,1.759940028,0.279512018,0.275549531,1.71307826,0.029263059,0.359861672,1.804297924,0.290846258,0.25820604,1.753837705,0.031197231,0.362786412,1.876102328,0.095775023,0.289091587,1.812464952,-0.22810182
C,0.543138623,0.512411118,-0.320684403,0.562028766,0.498721391,-0.280246288,0.567184567,0.506087899,-0.280005097,0.571957409,0.513504982,-0.279808193,0.54457438,0.475921214,-0.304677933,0.537212431,0.466594309,-0.304482579,0.529755354,0.456476599,-0.304605007,0.569191992,0.532909095,-0.065389752,0.510829329,0.453364342,-0.174753025,0.538647771,0.551469088,-0.243260384,0.517303467,0.524624169,-0.275668651,0.551765084,0.707107604,0.081360534,0.424866736,0.524174929,-0.236485526,0.659476101,0.831789136,0.131514549,0.489802063,0.303126365,-0.433403879,0.772140682,0.775385261,0.054479551,0.60411793,0.196547493,-0.398851812,0.807036042,0.758983672,0.029510979,0.638056815,0.191514105,-0.448628962,0.809292912,0.739993811,0.006395423,0.647901535,0.205007687,-0.418289363,0.796504438,0.746727407,0.032428797,0.63782078,0.210565701,-0.396086335,0.465935856,1.093497753,0.045997769,0.360243618,0.999337256,-0.044722747,0.4224464,1.461943269,0.037300415,0.315582454,1.417716026,-0.087273575,0.359502256,1.815055132,0.257742196,0.254590839,1.764484882,-0.000749269,0.347589314,1.858892798,0.267283201,0.23713319,1.809589863,-0.000642931,0.343410164,1.937310576,0.04916849,0.259308785,1.862006426,-0.285019636
C,0.542853892,0.512818575,-0.303438008,0.562109351,0.499559879,-0.26018247,0.567467511,0.507265151,-0.259937793,0.572511792,0.515305877,-0.259731352,0.544179559,0.475903839,-0.286253214,0.536744177,0.466471314,-0.2859568,0.5291785,0.456287861,-0.285974205,0.56964463,0.535911083,-0.034340642,0.510792017,0.452474296,-0.148702726,0.538164675,0.552573621,-0.220130518,0.516531706,0.525052309,-0.254312903,0.551764607,0.707323432,0.10678605,0.423838198,0.526617765,-0.225755721,0.659308612,0.835020125,0.162419528,0.49021554,0.301131129,-0.426467329,0.772295356,0.775382638,0.099294402,0.60419935,0.20404315,-0.416176647,0.806925416,0.759928048,0.074483968,0.637961805,0.19625935,-0.471951783,0.809292316,0.740454435,0.040122811,0.647713304,0.208800301,-0.437813103,0.796506047,0.746678352,0.073698722,0.637701273,0.216157869,-0.412703812,0.465596199,1.105613589,0.046014376,0.359964013,1.00369072,-0.044725381,0.41963172,1.477580428,0.033262569,0.311156094,1.430089116,-0.09280397,0.355050862,1.834251523,0.247478247,0.250780106,1.783342481,-0.018176783,0.342863977,1.878336787,0.256396234,0.233024314,1.828000546,-0.019133547,0.339735359,1.956388474,0.041150112,0.256565928,1.884436727,-0.298181325
C,0.542848349,0.514026701,-0.335419834,0.562447429,0.500873268,-0.294191241,0.568227768,0.508828163,-0.293958992,0.573493838,0.517083287,-0.293788284,0.543902338,0.476162761,-0.319843531,0.536311924,0.466613084,-0.319612324,0.52854985,0.456467986,-0.319719762,0.570471764,0.537543714,-0.067840785,0.51070416,0.452457964,-0.182993025,0.538165927,0.554533124,-0.252918333,0.516353488,0.526543796,-0.286973178,0.551769793,0.707689941,0.088666558,0.423859596,0.528649867,-0.254412085,0.658883214,0.838104606,0.132442027,0.492561758,0.301164299,-0.492213964,0.772254229,0.776313245,0.062367439,0.60751307,0.212101698,-0.497360855,0.806049645,0.761881769,0.03824608,0.641311407,0.204083607,-0.554857671,0.808860183,0.741462946,0.003138031,0.65041101,0.216408566,-0.520117283,0.796098351,0.746881723,0.037077423,0.640108049,0.22439158,-0.493353039,0.462788731,1.108783245,0.046097971,0.358199745,1.003801107,-0.044787105,0.414955914,1.480214596,0.036467254,0.306428224,1.429076672,-0.091306746,0.348816961,1.834308505,0.250775874,0.245194316,1.778866053,-0.008314472,0.337081254,1.877133131,0.260435879,0.228270322,1.821816206,-0.008191967,0.329984128,1.955662847,0.051959522,0.247100785,1.879090428,-0.284651667
C,0.542768121,0.514877081,-0.326190889,0.562503457,0.50195384,-0.284803033,0.568362117,0.510225356,-0.284577429,0.57368052,0.518868387,-0.284401119,0.543773413,0.476290256,-0.309890687,0.536206365,0.466680557,-0.309690982,0.528420746,0.456535369,-0.309815615,0.570594013,0.539681137,-0.064524606,0.510757327,0.452507854,-0.177576542,0.538062751,0.556085706,-0.246709391,0.516082525,0.527243495,-0.280102432,0.551792443,0.708388209,0.087017216,0.42356205,0.533371031,-0.248589203,0.658995807,0.842412591,0.130398512,0.493564457,0.301198423,-0.485044897,0.772254825,0.778036475,0.062337995,0.611035287,0.217749089,-0.482339293,0.805484951,0.764875293,0.038224306,0.646021008,0.211085916,-0.537054956,0.808515072,0.743762612,0.003606293,0.654737115,0.223218933,-0.503707767,0.795797884,0.748043299,0.037337694,0.643787801,0.231016859,-0.478605658,0.462571859,1.114179611,0.045602929,0.357103109,1.008091927,-0.044200718,0.413889945,1.485636234,0.037864134,0.304712713,1.433954,-0.089917473,0.349022567,1.839904308,0.253979385,0.245666027,1.784159541,-0.004085329,0.337601602,1.883017302,0.264145076,0.229525968,1.827155948,-0.003647085,0.329856396,1.960826755,0.052879315,0.246851996,1.885128736,-0.278287083
C,0.542595267,0.516345024,-0.306658685,0.562528551,0.503273129,-0.264818549,0.568473279,0.5117594,-0.264661133,0.573877335,0.520639062,-0.264503449,0.543582439,0.476659685,-0.288066924,0.536064446,0.466961622,-0.287813693,0.528280079,0.456827641,-0.287923574,0.57086575,0.541527808,-0.042420782,0.510759234,0.452604979,-0.147280574,0.537938833,0.557939649,-0.225072175,0.515896142,0.528548241,-0.25625509,0.551836967,0.708642602,0.099324606,0.42377606,0.533855915,-0.232085153,0.658962369,0.845507145,0.138292804,0.496788442,0.302506775,-0.466676056,0.77234602,0.780568242,0.07789512,0.616121054,0.223053679,-0.474398911,0.805535018,0.769640088,0.054403357,0.650558233,0.216235802,-0.532276094,0.808584332,0.747559786,0.021401333,0.659039497,0.228589699,-0.499462605,0.795862913,0.75056076,0.053568847,0.648269296,0.236733645,-0.471743971,0.462489039,1.119227052,0.044202764,0.357062876,1.014624238,-0.042672552,0.413682401,1.492867708,0.031409021,0.303962409,1.440404415,-0.090470538,0.349515498,1.849092484,0.250366151,0.246333241,1.79468143,-0.007237685,0.338008881,1.893490434,0.260080755,0.230123952,1.838867545,-0.007453726,0.331447691,1.968420744,0.041515555,0.249391109,1.896114945,-0.287574708
C,0.543220639,0.518764675,-0.315438658,0.563285649,0.505201995,-0.274481267,0.569323897,0.513951123,-0.27430293,0.574492097,0.522683501,-0.274133503,0.543857455,0.477260381,-0.299691498,0.536431253,0.467323333,-0.299474448,0.528645575,0.456938505,-0.299589336,0.571097791,0.542467475,-0.050252188,0.511309266,0.452496469,-0.163776129,0.538243592,0.560125411,-0.233148977,0.516252875,0.530192554,-0.266552418,0.551921248,0.708649158,0.098082103,0.423898399,0.533766687,-0.24337633,0.659023285,0.846327364,0.142172977,0.498330832,0.303720683,-0.481525242,0.772294879,0.782488823,0.075521097,0.618730783,0.226848394,-0.483963311,0.804911733,0.772229016,0.051893435,0.6529212,0.219889298,-0.540367842,0.80851078,0.749590814,0.020714771,0.661263824,0.231318265,-0.508809268,0.795841575,0.752102137,0.051768862,0.650468946,0.239196926,-0.480944097,0.462467492,1.118548632,0.047071796,0.356996953,1.01452446,-0.045546893,0.412818432,1.491470218,0.032904379,0.302116811,1.44062376,-0.093918249,0.346148193,1.847123504,0.252721101,0.239786655,1.794839859,-0.011844551,0.333668739,1.890991926,0.262726843,0.222100228,1.839317203,-0.012079781,0.329685748,1.968854427,0.047451787,0.243854493,1.895932317,-0.293470502
C,0.544798493,0.521007121,-0.314889967,0.564623475,0.506711602,-0.274059922,0.570817769,0.515458524,-0.27386117,0.57564038,0.523771942,-0.273683459,0.544372678,0.478133023,-0.299778551,0.536944807,0.468077689,-0.299573272,0.529061377,0.457468361,-0.299686491,0.571753263,0.542643964,-0.051276494,0.511570632,0.45251143,-0.167634934,0.539897919,0.562048972,-0.233477995,0.517455578,0.531986475,-0.267544746,0.551980972,0.708799124,0.103832319,0.424170643,0.533972859,-0.250797123,0.658631027,0.847038925,0.169687703,0.49982509,0.30509159,-0.492713034,0.772500217,0.783801436,0.113338269,0.620918274,0.22876136,-0.490488291,0.804951489,0.774536669,0.093776375,0.6548509,0.221815914,-0.546828151,0.808751285,0.751530051,0.057184547,0.66340816,0.233362064,-0.514212012,0.796144247,0.75369668,0.087929711,0.652763009,0.240806416,-0.486987591,0.46159929,1.117960572,0.055149782,0.356836855,1.01622045,-0.053669591,0.411148131,1.488397241,0.046871934,0.299904525,1.439946175,-0.099837914,0.342940509,1.842865705,0.260550141,0.235780239,1.793127656,-0.02059176,0.32927072,1.887096882,0.269229472,0.216644689,1.837894559,-0.021073889,0.329526663,1.965897083,0.055041254,0.242287591,1.89500761,-0.300613284
C,0.545042217,0.521948457,-0.281930178,0.565050483,0.507607758,-0.239863545,0.571399093,0.51644522,-0.239683032,0.576208174,0.524689972,-0.239512801,0.544475973,0.478738159,-0.265044004,0.537066698,0.468654662,-0.264846027,0.529152632,0.457967162,-0.264970958,0.572340608,0.543284416,-0.019406486,0.511715233,0.452776462,-0.131238356,0.540269315,0.56307894,-0.201748803,0.517835975,0.533219516,-0.234920353,0.552284479,0.709196329,0.131459624,0.424288601,0.534458101,-0.223864362,0.658667386,0.847703576,0.193808645,0.50034219,0.305455089,-0.473405838,0.772518277,0.784563303,0.145289391,0.621036112,0.227990359,-0.468885571,0.804964364,0.775278926,0.126178145,0.65497756,0.221814841,-0.526936769,0.808786392,0.752397597,0.089646459,0.663405895,0.233176872,-0.492900312,0.796183586,0.754430056,0.120102502,0.652783036,0.24034822,-0.465564311,0.461096674,1.118273616,0.056058716,0.356526852,1.015634537,-0.054582007,0.411249399,1.488819361,0.04685507,0.300356328,1.441294312,-0.101476967,0.343649685,1.84483099,0.259417802,0.237030104,1.797616601,-0.028644446,0.329787195,1.890184164,0.267955363,0.217114285,1.844046354,-0.029919758,0.330817044,1.968789458,0.055228792,0.245244622,1.900190592,-0.307666659
C,0.545050144,0.521910608,-0.267021358,0.565273345,0.507580519,-0.224735618,0.571811557,0.51639545,-0.224546999,0.576786399,0.524617374,-0.224386096,0.544490576,0.478732884,-0.25072059,0.537081838,0.468658775,-0.250536621,0.529166043,0.457980096,-0.250638664,0.573179662,0.543429971,-0.006931002,0.51179415,0.452816904,-0.122623764,0.540413022,0.563082755,-0.188406169,0.517952561,0.533376098,-0.222729474,0.55253166,0.709916174,0.144509807,0.424309433,0.536468029,-0.212062359,0.658837914,0.848820746,0.210787863,0.500332952,0.304435432,-0.443994105,0.772543192,0.78451854,0.15843761,0.621474862,0.227046609,-0.400800794,0.804943562,0.775054336,0.136908606,0.655359507,0.221530005,-0.454143524,0.808735967,0.752289593,0.102482237,0.663417697,0.232670337,-0.416850805,0.796107471,0.754386306,0.133445531,0.652953625,0.239764452,-0.395469695,0.461110175,1.119305968,0.059340548,0.354558408,1.049218416,-0.0578961,0.41146031,1.490336061,0.049756669,0.300528824,1.445640683,-0.105525687,0.344179571,1.847818017,0.259180486,0.236725613,1.801477432,-0.035997741,0.330110371,1.893624187,0.267418355,0.216071159,1.847843885,-0.037470214,0.331175745,1.974404573,0.055995952,0.246679932,1.906443477,-0.315541804
