Class,1x,1y,1z,2x,2y,2z,3x,3y,3z,4x,4y,4z,5x,5y,5z,6x,6y,6z,7x,7y,7z,8x,8y,8z,9x,9y,9z,10x,10y,10z,11x,11y,11z,12x,12y,12z,13x,13y,13z,14x,14y,14z,15x,15y,15z,16x,16y,16z,17x,17y,17z,18x,18y,18z,19x,19y,19z,20x,20y,20z,21x,21y,21z,22x,22y,22z,23x,23y,23z,24x,24y,24z,25x,25y,25z,26x,26y,26z,27x,27y,27z,28x,28y,28z,29x,29y,29z,30x,30y,30z,31x,31y,31z,32x,32y,32z,33x,33y,33z
C_flat,0.435008109,0.317630231,-0.17220591,0.443141878,0.305280179,-0.143920049,0.445563614,0.307308137,-0.143933654,0.447894514,0.30938524,-0.144065619,0.434354246,0.298018575,-0.164359823,0.430942148,0.295032144,-0.164393827,0.42736429,0.291962713,-0.164411008,0.44554767,0.319116294,0.004538629,0.416856289,0.291908592,-0.089414872,0.432402998,0.341631353,-0.116109654,0.42240867,0.329907089,-0.143931463,0.43397516,0.430465102,0.123570338,0.369424701,0.329627573,-0.11698582,0.471372694,0.547415495,0.192182839,0.388393402,0.195492804,-0.25574103,0.544174492,0.541790545,0.13453567,0.451231897,0.121287577,-0.252634853,0.560357094,0.548081994,0.127824247,0.467389435,0.116734207,-0.288568199,0.565289319,0.534356534,0.095723413,0.473499119,0.122274399,-0.261796743,0.557813346,0.533432782,0.117603302,0.468675792,0.125252485,-0.246930093,0.405199856,0.657399774,0.068441324,0.351469159,0.680645764,-0.068231657,0.470576435,0.797663689,0.028376391,0.370495558,0.921407938,-0.104989931,0.541851819,0.966671526,0.189728081,0.377909601,1.110900283,0.007929701,0.543807805,0.990342975,0.203676894,0.381884664,1.135286093,0.015155727,0.592066169,0.963343978,0.125484705,0.390157521,1.177968025,-0.113619469
C_flat,0.434421778,0.316239327,-0.181862324,0.442620367,0.30315429,-0.153697774,0.445170343,0.305701375,-0.153724521,0.447548479,0.308222145,-0.153862938,0.432886422,0.294039041,-0.171436653,0.428958356,0.290160894,-0.17148295,0.424758285,0.285965472,-0.171466798,0.444279045,0.318583369,-0.006933582,0.413470209,0.284922272,-0.091381863,0.432203472,0.340186,-0.127121314,0.421359837,0.328065544,-0.151877016,0.432769448,0.430653453,0.109624684,0.366737187,0.328914315,-0.12097428,0.469264328,0.544464529,0.185311079,0.388290584,0.191193879,-0.276632011,0.544607103,0.538456321,0.127004474,0.450546801,0.120111391,-0.288719237,0.56141293,0.544815123,0.119420931,0.467391402,0.116579816,-0.331206411,0.565821171,0.52935338,0.08013697,0.473520279,0.12227197,-0.299218893,0.558501244,0.528102934,0.107723102,0.468682617,0.125340328,-0.282520801,0.405684948,0.658858001,0.068608113,0.35146457,0.682144523,-0.068378128,0.470576674,0.793683469,0.028412202,0.370366424,0.921417892,-0.103214182,0.541688025,0.968477488,0.190053076,0.378146708,1.113912344,-4.0167e-05,0.542808354,0.990371168,0.203944132,0.382229209,1.136333227,0.0051835,0.592298746,0.965162218,0.123080269,0.395847648,1.188102484,-0.132867277
C_flat,0.432377994,0.315585732,-0.181088373,0.440596491,0.302369982,-0.15252991,0.443491042,0.305202901,-0.152553633,0.446037948,0.307930261,-0.152690575,0.430029958,0.292664677,-0.170645684,0.42567724,0.288648129,-0.170692772,0.421280861,0.284401536,-0.170667633,0.442679077,0.318565518,-0.009061656,0.410691828,0.28376326,-0.088860586,0.430986345,0.339662075,-0.125890702,0.419091225,0.327488065,-0.151762009,0.432260275,0.431010723,0.104708992,0.36488542,0.328889132,-0.115157999,0.468414247,0.540744543,0.183240741,0.38829273,0.18729578,-0.221083313,0.544635177,0.533719182,0.122938894,0.449932575,0.118880704,-0.165457949,0.561492741,0.538987815,0.114403807,0.467256695,0.116192691,-0.200771809,0.56583935,0.523524404,0.072780631,0.473415315,0.122194588,-0.171441436,0.558505237,0.523688316,0.10227219,0.468487352,0.125338286,-0.159416765,0.405915409,0.659789085,0.067596063,0.351423651,0.682623625,-0.067317933,0.471007049,0.793140948,0.036844395,0.370286345,0.921307802,-0.103238381,0.541786492,0.969909608,0.222784832,0.378538996,1.113862395,-0.000304532,0.542598605,0.99188596,0.239085838,0.382861555,1.1356107,0.005327464,0.592354834,0.965632558,0.160184503,0.396392733,1.1892277,-0.130934685
C_flat,0.428987205,0.31457743,-0.18961826,0.437353909,0.301112294,-0.161709145,0.440546274,0.304011166,-0.161739662,0.443334043,0.306809306,-0.16188626,0.426408231,0.291343331,-0.177680761,0.421833336,0.287321419,-0.177724585,0.417537838,0.28318432,-0.177714184,0.440306127,0.317637771,-0.016209651,0.40753898,0.2827124,-0.090365231,0.428161949,0.338434577,-0.134789035,0.415828705,0.326602101,-0.157426342,0.430620909,0.430690676,0.10454686,0.363172203,0.326934695,-0.116586551,0.467284441,0.53466779,0.183931828,0.387026459,0.182381094,-0.223827004,0.544399202,0.527181625,0.124027707,0.448969305,0.118858516,-0.168063074,0.561510205,0.531569898,0.115941688,0.466976702,0.116208121,-0.201802686,0.565839708,0.515406191,0.075816758,0.472948939,0.122312739,-0.173491925,0.558493972,0.516446829,0.103856348,0.467844486,0.125753298,-0.161714792,0.405766189,0.659668028,0.067636535,0.351127326,0.682166219,-0.067350119,0.470500708,0.779591143,0.008985424,0.370192885,0.920912743,-0.107192479,0.541299164,0.966444492,0.170540959,0.38037616,1.113811851,-0.008566666,0.541800439,0.990633547,0.183821633,0.385245502,1.135095358,-0.003662021,0.592694402,0.962619126,0.091762468,0.398644924,1.189014316,-0.147493571
C_flat,0.427902877,0.312726498,-0.189057365,0.435976595,0.299049795,-0.161404222,0.439177692,0.30208832,-0.16143772,0.441943586,0.304984748,-0.161583871,0.424936056,0.288644731,-0.177936912,0.420257866,0.284319133,-0.177975804,0.415896952,0.28012988,-0.177958831,0.438293308,0.31558907,-0.015833477,0.405069739,0.28007862,-0.092510052,0.427144766,0.336243838,-0.134369701,0.41475004,0.324572206,-0.157588348,0.428160518,0.427060097,0.106658086,0.361590981,0.325883985,-0.121407524,0.465034425,0.528232217,0.195799902,0.384177417,0.17972219,-0.22803697,0.543148339,0.52184552,0.136568934,0.448294014,0.118917122,-0.16521506,0.560893416,0.525361121,0.129342288,0.466434568,0.116433114,-0.196826905,0.565297306,0.510439813,0.087354578,0.472026587,0.122751132,-0.169086963,0.55782342,0.511604965,0.115641579,0.466739357,0.126511604,-0.158378512,0.405548722,0.659655571,0.069893315,0.350884378,0.682160318,-0.069592394,0.470755011,0.777760088,0.03230647,0.370221823,0.920593083,-0.109502494,0.54130286,0.964574099,0.195245013,0.380701631,1.113805056,-0.026003068,0.541812181,0.99031353,0.208636254,0.385379642,1.135057807,-0.022386806,0.593682766,0.958678663,0.123759292,0.40016669,1.18955195,-0.163107499
C_flat,0.425788015,0.311543584,-0.195910364,0.433864534,0.298177749,-0.16928044,0.437189758,0.301171064,-0.169312268,0.440072954,0.303982228,-0.169457212,0.422780097,0.287861049,-0.184996247,0.41798836,0.283581316,-0.185028031,0.413636386,0.279496312,-0.185006797,0.436817706,0.313906431,-0.025003951,0.402719557,0.2792705,-0.09880174,0.425097048,0.334380537,-0.141626731,0.41266799,0.323155493,-0.163753986,0.427388817,0.424524814,0.100183412,0.358586371,0.324666947,-0.123227142,0.464020073,0.527071178,0.195619911,0.383954495,0.177252576,-0.20908317,0.542660594,0.519830942,0.137251541,0.448009819,0.119441405,-0.112746716,0.560400724,0.523508549,0.130297393,0.466175407,0.117570169,-0.140041083,0.564884424,0.508977532,0.088432014,0.471155077,0.123952582,-0.11380364,0.557492316,0.509780943,0.116575852,0.465943396,0.127875865,-0.105984464,0.405588388,0.659688711,0.070104554,0.350813687,0.682376862,-0.069803618,0.471415937,0.777444184,0.042492032,0.370248884,0.919829309,-0.109168671,0.541504025,0.962141752,0.216425627,0.381409794,1.113898158,-0.024832807,0.541864097,0.990297079,0.231440663,0.385784686,1.135058403,-0.020995583,0.596046686,0.955601335,0.153724313,0.402307928,1.191023827,-0.158987314
C_flat,0.425178379,0.310898721,-0.201419756,0.433313668,0.297506511,-0.174330354,0.436668217,0.300437123,-0.174358472,0.439579427,0.303136587,-0.174497247,0.422001511,0.287321001,-0.189819083,0.41718179,0.283091843,-0.189855069,0.412755728,0.279074788,-0.189836681,0.436384588,0.312853575,-0.029052347,0.401682138,0.27877143,-0.102125943,0.424481213,0.333568841,-0.146767288,0.411738724,0.322632223,-0.168516085,0.427422851,0.424148977,0.094866723,0.358069122,0.323907793,-0.131814212,0.464093536,0.527962804,0.179056197,0.383871734,0.176254541,-0.251338899,0.542434275,0.520197272,0.124973796,0.44780159,0.119884223,-0.199253589,0.560346663,0.523141503,0.119364247,0.466068566,0.118349828,-0.232952476,0.564825177,0.508758605,0.079765186,0.471071899,0.124820963,-0.203053907,0.557391822,0.509601951,0.105764791,0.465860516,0.128877729,-0.19206278,0.405507147,0.659630299,0.070162192,0.350655973,0.682458699,-0.06986732,0.471666485,0.774489701,0.015199885,0.370270014,0.91672653,-0.106647789,0.541605353,0.959985197,0.156491891,0.381519288,1.11122787,-0.014803579,0.542023182,0.988743782,0.168031856,0.385813922,1.131590962,-0.010696264,0.597583652,0.952850103,0.081821471,0.402464718,1.188547373,-0.14749217
C_flat,0.424457788,0.309966773,-0.205051899,0.432680458,0.296678126,-0.177765191,0.436104685,0.299652636,-0.17779626,0.439080894,0.302359551,-0.177938029,0.421246052,0.286447883,-0.193623394,0.416532934,0.28224656,-0.193654642,0.412217945,0.278281152,-0.193629727,0.436041772,0.312389612,-0.030606354,0.401488364,0.278302014,-0.105750695,0.423850924,0.332734108,-0.149706572,0.411189407,0.321944505,-0.17206116,0.427304655,0.423904955,0.093581036,0.35784173,0.323674619,-0.135665253,0.464156628,0.528521419,0.177486002,0.383900493,0.174840555,-0.262026221,0.542445004,0.520064294,0.122770049,0.447774231,0.122094125,-0.214293629,0.560343385,0.522675335,0.116568387,0.466034085,0.121113397,-0.248733848,0.564682126,0.508758664,0.077232167,0.470843703,0.12666814,-0.218004793,0.557327747,0.509654641,0.103612922,0.465347439,0.131091654,-0.206869394,0.405562878,0.660016716,0.071491554,0.350562245,0.682888865,-0.071212932,0.472184896,0.77564019,0.03849512,0.370292276,0.916768789,-0.108524762,0.542437136,0.959709585,0.211772159,0.381490499,1.111141324,-0.019049415,0.543293715,0.98786664,0.226874232,0.385668486,1.131161451,-0.014514665,0.598994493,0.952249408,0.151151359,0.402636111,1.189019799,-0.149733245
C_flat,0.424022287,0.309318274,-0.213277027,0.43240276,0.29614079,-0.185869142,0.435790539,0.299114108,-0.185900256,0.438741863,0.301790208,-0.186042622,0.420988709,0.285721987,-0.202303857,0.416384071,0.281459153,-0.202330872,0.412108362,0.277402818,-0.202295378,0.435432345,0.311565131,-0.035685442,0.401487023,0.277253091,-0.114011191,0.423209667,0.331644028,-0.156458363,0.410839736,0.321133494,-0.179731697,0.427215338,0.422539741,0.092074215,0.357517987,0.323134273,-0.146429896,0.464369148,0.528942227,0.177690968,0.384175599,0.174166143,-0.29559508,0.542684674,0.520723641,0.121825829,0.449441731,0.124899536,-0.277060211,0.56035912,0.523650408,0.115338251,0.467520475,0.124404803,-0.31460315,0.564659119,0.509636343,0.076757334,0.471387535,0.130169526,-0.284770012,0.557344973,0.51038003,0.103130355,0.465828985,0.134738147,-0.270035535,0.405582815,0.660197973,0.072968312,0.350505561,0.683570683,-0.072718762,0.472555339,0.776158571,0.055159193,0.370442778,0.917837083,-0.108410358,0.542978406,0.958654642,0.246145606,0.381736279,1.11092484,-0.017023744,0.543749928,0.987558484,0.263189316,0.385815203,1.130489826,-0.012299542,0.59974438,0.949757695,0.193323046,0.402801126,1.189258456,-0.147231027
C_flat,0.423078775,0.307445377,-0.208335161,0.431635469,0.294969231,-0.181052163,0.435094267,0.298159331,-0.181081653,0.438096136,0.301012725,-0.181221619,0.420304388,0.284090072,-0.197566614,0.415838003,0.279770285,-0.19759801,0.411715508,0.275762558,-0.197569162,0.435026348,0.311237812,-0.032733697,0.401306719,0.276193589,-0.111085713,0.422350466,0.330045074,-0.152292341,0.410077959,0.319471478,-0.17558077,0.427148581,0.422376901,0.093429111,0.357550591,0.322988093,-0.144427389,0.464495271,0.529313743,0.176684305,0.384527653,0.174694836,-0.30363813,0.542694211,0.521188557,0.12251921,0.449552715,0.125991896,-0.311431348,0.560288787,0.524301946,0.116057947,0.467660517,0.126260385,-0.352112025,0.564432979,0.510241926,0.077676088,0.471523583,0.132588997,-0.322081387,0.557253838,0.510906577,0.10387931,0.465913594,0.137004256,-0.305112422,0.40558356,0.660272181,0.072879203,0.350400299,0.68381393,-0.072626166,0.472646534,0.775511444,0.034908678,0.370446116,0.918064892,-0.104075074,0.543571293,0.95850879,0.187755987,0.381756395,1.108587503,0.000605373,0.544895768,0.98754096,0.200836137,0.385869622,1.127781868,0.00702798,0.600713849,0.94887948,0.124166034,0.402517319,1.185739398,-0.119574465
