Class,1x,1y,1z,2x,2y,2z,3x,3y,3z,4x,4y,4z,5x,5y,5z,6x,6y,6z,7x,7y,7z,8x,8y,8z,9x,9y,9z,10x,10y,10z,11x,11y,11z,12x,12y,12z,13x,13y,13z,14x,14y,14z,15x,15y,15z,16x,16y,16z,17x,17y,17z,18x,18y,18z,19x,19y,19z,20x,20y,20z,21x,21y,21z,22x,22y,22z,23x,23y,23z,24x,24y,24z,25x,25y,25z,26x,26y,26z,27x,27y,27z,28x,28y,28z,29x,29y,29z,30x,30y,30z,31x,31y,31z,32x,32y,32z,33x,33y,33z
D,0.445216566,0.624713421,-0.511104286,0.458191246,0.605530739,-0.499335229,0.464862734,0.607538939,-0.499146283,0.471647441,0.610529304,-0.499125898,0.43857345,0.601069152,-0.490779698,0.432450861,0.599610329,-0.49086529,0.427996695,0.598502517,-0.490760803,0.483821481,0.625751555,-0.400651634,0.421967596,0.60637629,-0.360998362,0.454980552,0.651486635,-0.471519172,0.434164703,0.648346663,-0.460302651,0.506382406,0.716487527,-0.336617678,0.397040099,0.724556565,-0.243796065,0.500726104,0.648237586,-0.374010563,0.360753745,0.631946862,-0.235846639,0.492981046,0.537076712,-0.336906582,0.409019649,0.534119844,-0.181307495,0.496722281,0.507619083,-0.351961136,0.417204916,0.501916587,-0.197831169,0.488034189,0.489655226,-0.340648979,0.42435652,0.517118692,-0.164252147,0.486679703,0.526597381,-0.333047569,0.424748808,0.532325029,-0.173300549,0.484948725,0.927856624,-0.012247847,0.423182249,0.93519938,0.012503308,0.503091097,1.026814699,-0.054927837,0.418139517,1.044593573,-0.024409253,0.488634109,1.118831754,0.299952835,0.415141493,1.175365448,0.247823149,0.48114723,1.133783221,0.333778977,0.420068562,1.199146509,0.271558821,0.491187185,1.194104433,0.27017808,0.411815792,1.241913795,0.172538012
D,0.445029646,0.625778556,-0.404436737,0.457880557,0.605749369,-0.389886916,0.464443028,0.607589364,-0.389716864,0.471052974,0.61051935,-0.389696568,0.438244432,0.602102637,-0.383686483,0.432250738,0.600835741,-0.38372916,0.42782864,0.599862337,-0.383650303,0.484303474,0.626131594,-0.292246938,0.421942532,0.608981848,-0.261690259,0.455124855,0.656607628,-0.365724802,0.434011519,0.653657556,-0.357219219,0.507374942,0.716801882,-0.255384982,0.397853851,0.724682271,-0.161198735,0.499511242,0.632642269,-0.307482332,0.360864103,0.561702013,-0.160714731,0.492709875,0.532555282,-0.272406697,0.435005337,0.511970341,-0.087502562,0.494059503,0.487745911,-0.293047845,0.454345524,0.491832614,-0.107152656,0.489550114,0.485950053,-0.278124571,0.470766008,0.494371742,-0.06698148,0.486679971,0.523670852,-0.269658536,0.460036457,0.520619631,-0.077661037,0.494212449,0.949583709,-0.025876626,0.423404604,0.954486251,0.026051641,0.511100173,1.052749395,-0.098490782,0.409502655,1.071461439,-0.062753811,0.505248487,1.181912422,0.174612433,0.4183622,1.199170709,0.169212669,0.500493169,1.209056258,0.198049754,0.428569227,1.22317934,0.187862009,0.50781405,1.239393473,0.127401546,0.409959406,1.256168246,0.107359327
D,0.445021152,0.626066148,-0.415267557,0.45786953,0.605653226,-0.398871094,0.46443215,0.607241213,-0.398675889,0.471020162,0.609703958,-0.398634821,0.438236773,0.602192998,-0.393501192,0.432251155,0.601001024,-0.393572241,0.427822262,0.600108564,-0.39348954,0.484817684,0.625530779,-0.29270786,0.421858728,0.61051327,-0.265694439,0.45559749,0.657866418,-0.37401396,0.433995545,0.655641437,-0.366454154,0.509639084,0.716952324,-0.251819551,0.3979339,0.726152539,-0.161987096,0.525373936,0.617627323,-0.325002968,0.360685706,0.551087379,-0.168644473,0.503079236,0.52776885,-0.301102936,0.437922239,0.48685658,-0.09586598,0.501723349,0.491424859,-0.31731835,0.464254797,0.476085126,-0.120239317,0.498996824,0.481981874,-0.305021495,0.472886264,0.478151441,-0.076908953,0.493337452,0.522523642,-0.29730466,0.458960712,0.501347244,-0.085746519,0.49918136,0.956370771,-0.029825365,0.423959345,0.965248346,0.030125197,0.514800668,1.102528811,-0.0824994,0.410755247,1.102921009,-0.068749435,0.510129094,1.242263079,0.196161836,0.423733532,1.258684158,0.152352899,0.506208062,1.271645665,0.218554452,0.434129804,1.287755013,0.168967038,0.509847879,1.303668499,0.126715153,0.414143503,1.322388053,0.063244209
D,0.445071399,0.626644015,-0.405306011,0.458031237,0.605711341,-0.386616319,0.46465984,0.607244372,-0.386399418,0.471237659,0.609639883,-0.386333406,0.438137114,0.602461219,-0.384184539,0.432207108,0.601269841,-0.384287775,0.427780688,0.600339115,-0.38426882,0.485430956,0.624982297,-0.270186752,0.421794713,0.610804141,-0.256148458,0.456545204,0.66007638,-0.360971749,0.434016526,0.657378197,-0.357444227,0.511814475,0.718280256,-0.230525941,0.395946532,0.728577435,-0.16547963,0.540178418,0.603013635,-0.334368885,0.357843578,0.550482035,-0.207780927,0.50883621,0.514019549,-0.310132593,0.438472509,0.477552682,-0.16694507,0.506477177,0.483058453,-0.318763793,0.465862095,0.467063606,-0.2004309,0.505201995,0.473235816,-0.311657876,0.47476238,0.468721092,-0.136128753,0.498317301,0.51134479,-0.306871593,0.464227498,0.480163395,-0.151202708,0.500190973,0.968591988,-0.028838566,0.422694385,0.974499524,0.029221963,0.513914943,1.168555379,-0.039277468,0.410849571,1.154738069,-0.062123962,0.506878853,1.320792556,0.215067774,0.426706016,1.327946067,0.135017142,0.504287124,1.351142406,0.234551907,0.434053481,1.360305309,0.149926409,0.506497085,1.390626669,0.117817901,0.427334934,1.392745376,0.022513719
D,0.44548592,0.626858532,-0.409073204,0.458453327,0.605717838,-0.387954295,0.46502623,0.607224584,-0.387775928,0.471549809,0.609494567,-0.387741268,0.438292831,0.602644324,-0.387753457,0.432298243,0.601389587,-0.387843877,0.427831709,0.600395024,-0.387876093,0.485750496,0.624748528,-0.264175951,0.421788126,0.611143172,-0.259345919,0.457362413,0.660500228,-0.363217056,0.434159428,0.657911777,-0.36239022,0.511965334,0.721728444,-0.221442074,0.392699629,0.731300771,-0.183460087,0.550767064,0.603889763,-0.32737273,0.357979774,0.550938725,-0.246674255,0.51338625,0.492070973,-0.314192921,0.4422144,0.466925442,-0.174044982,0.508990884,0.460628986,-0.324707508,0.469646454,0.459064782,-0.204071239,0.511692822,0.457905322,-0.309604943,0.476624072,0.462565094,-0.145826459,0.508715868,0.472149789,-0.308711767,0.470139205,0.469433546,-0.159920141,0.499710023,0.979350507,-0.027668428,0.41756925,0.98595649,0.027822116,0.511225641,1.18784821,0.043034039,0.411372364,1.181697726,0.03658811,0.50432837,1.350501895,0.29240787,0.425776422,1.358995199,0.205414698,0.501780927,1.379619837,0.308266878,0.428461552,1.392589331,0.210009053,0.506040692,1.428431153,0.177220494,0.42657119,1.426582217,0.087373525
D,0.445938766,0.626944542,-0.262284368,0.458821356,0.605727077,-0.23598066,0.465322882,0.607224882,-0.235892966,0.47171402,0.609450758,-0.235817552,0.43858394,0.602642894,-0.235816076,0.432556808,0.601380348,-0.235860705,0.428020895,0.600384176,-0.236025617,0.485941559,0.624762654,-0.109767303,0.42220217,0.611255527,-0.102412805,0.45807448,0.66081214,-0.217955992,0.43463707,0.658153474,-0.217337802,0.512313008,0.724819362,-0.085689791,0.390938252,0.732008636,-0.050827004,0.556206107,0.598830879,-0.167628095,0.357248485,0.550598741,-0.097144276,0.537265897,0.422197849,-0.125557601,0.447488934,0.460164547,0.020691063,0.532229304,0.409399152,-0.137251109,0.475003302,0.450659066,0.003229252,0.524035096,0.416731596,-0.114090517,0.483553082,0.452370197,0.061101533,0.523855329,0.41674009,-0.120316185,0.477989584,0.457535714,0.037001107,0.499211878,1.00765264,-0.027883073,0.417982161,1.01336658,0.028281186,0.505146086,1.216878533,-0.005024202,0.414591014,1.213534117,0.011721253,0.50329113,1.393042803,0.183866575,0.42471537,1.399519205,0.123637475,0.500545382,1.416742802,0.194820344,0.425760835,1.429945707,0.129170313,0.492426068,1.478286862,0.034175266,0.430172265,1.471440077,-0.040342219
D,0.446641445,0.628521979,-0.475236803,0.458864748,0.60695982,-0.440363705,0.465321541,0.608076632,-0.440319479,0.471648037,0.609808683,-0.440228075,0.438870192,0.604287744,-0.446160793,0.432859093,0.603106081,-0.446282774,0.428204119,0.602093041,-0.44649139,0.485624939,0.625070512,-0.17115736,0.422845989,0.612900496,-0.271549493,0.458646834,0.661676764,-0.410477251,0.435910374,0.660156786,-0.417799562,0.513118863,0.72673744,-0.189273536,0.390341818,0.737615466,-0.223597765,0.552493095,0.569544733,-0.334990352,0.35574463,0.556800485,-0.326680452,0.538441241,0.387905091,-0.372983843,0.446461737,0.458987892,-0.271056354,0.536660969,0.377475709,-0.407322943,0.473091215,0.449072301,-0.3040196,0.529065728,0.385432482,-0.386015892,0.481013238,0.450155795,-0.261878014,0.528271198,0.387659669,-0.37032184,0.476229846,0.456875265,-0.26016283,0.502652049,1.021059394,-0.026537826,0.422863334,1.032757878,0.026918182,0.503213048,1.220975876,-0.020220857,0.423847437,1.219084978,-0.002516423,0.505324244,1.419751525,0.205645487,0.428714752,1.432333708,0.142482996,0.507571042,1.447063923,0.220604256,0.428899854,1.464289665,0.151646554,0.49368453,1.500950933,0.044569246,0.437425792,1.505274415,-0.035578154
D,0.44695431,0.628889561,-0.486599833,0.45882225,0.606967688,-0.455341488,0.465099812,0.6080603,-0.455277115,0.471096128,0.609659731,-0.455082417,0.43913126,0.604700089,-0.45832935,0.433312982,0.603845656,-0.458434641,0.428571165,0.603185236,-0.458658367,0.484680235,0.625314176,-0.260008425,0.42358321,0.614976287,-0.281725645,0.458804905,0.661503911,-0.426124334,0.436731249,0.660607636,-0.429765135,0.514795601,0.72888267,-0.229551867,0.389940888,0.745033801,-0.244573474,0.550347984,0.558829725,-0.3748658,0.353810996,0.557233095,-0.352573544,0.538328767,0.366224885,-0.434306443,0.448313564,0.461285412,-0.310574114,0.540215015,0.349490106,-0.477261931,0.477192253,0.451340616,-0.350319952,0.533172965,0.36016345,-0.462162495,0.484749228,0.453009069,-0.312240571,0.531962037,0.361604393,-0.436476231,0.4791933,0.459916949,-0.302624017,0.510133982,1.045604467,-0.026567051,0.426151365,1.059518576,0.027128289,0.511194587,1.283144355,0.014025512,0.432473123,1.291501164,0.030166969,0.514175355,1.496675611,0.217715666,0.436301947,1.510020256,0.14989765,0.51804322,1.526572824,0.228200287,0.435419619,1.541366696,0.155954748,0.500793815,1.578985095,0.028204102,0.451226532,1.586919785,-0.051468991
D,0.447091579,0.628960788,-0.481669039,0.458781481,0.606991351,-0.443142414,0.464946687,0.608060181,-0.443115145,0.470752567,0.609641194,-0.442802429,0.439522356,0.60492748,-0.451502979,0.433979899,0.604231834,-0.451577663,0.429257214,0.603704274,-0.452160209,0.484000206,0.625640392,-0.269115359,0.4247199,0.615880668,-0.274919569,0.458923638,0.661315978,-0.414369404,0.437370211,0.660417616,-0.424079478,0.516497493,0.72915107,-0.224193737,0.389679968,0.749538779,-0.241787225,0.546614289,0.556294918,-0.36489445,0.353338003,0.557368875,-0.380175292,0.538110018,0.357909232,-0.426175296,0.448047817,0.464228392,-0.374165505,0.54279989,0.333983064,-0.470183939,0.477935851,0.452179164,-0.419986308,0.537476182,0.340346932,-0.460763037,0.485120773,0.452431828,-0.381758004,0.534331203,0.347549975,-0.43086046,0.480060905,0.459400266,-0.3664141,0.514151454,1.062176466,-0.025988918,0.427383512,1.074172258,0.0268298,0.516019404,1.311195254,0.010891771,0.433597147,1.316568494,0.01706581,0.51730001,1.533228755,0.205405623,0.435752451,1.546574235,0.117063306,0.520784914,1.563907862,0.212596774,0.434851736,1.579822659,0.119980358,0.504026294,1.618053198,0.011532986,0.450531244,1.625266314,-0.09155912
D,0.44722876,0.628839195,-0.400522947,0.458760262,0.606972814,-0.369306952,0.464843452,0.608003378,-0.369204968,0.470537752,0.609452605,-0.368989468,0.440116346,0.604908943,-0.372268289,0.434899628,0.604199231,-0.372282147,0.430186898,0.603655934,-0.37258935,0.483399212,0.625385642,-0.207967803,0.42590031,0.615705132,-0.209682971,0.459070385,0.661242068,-0.3422212,0.437737167,0.66019696,-0.344902337,0.517306983,0.728996933,-0.169541687,0.38952595,0.750229061,-0.19413957,0.544198632,0.55364424,-0.288474977,0.353409261,0.558519483,-0.333278358,0.538485527,0.349176377,-0.347695857,0.447904736,0.465470731,-0.328526229,0.542518616,0.332514167,-0.408242941,0.478017181,0.452620387,-0.373740643,0.539325953,0.336107135,-0.434712976,0.484754145,0.45126906,-0.334098041,0.536249638,0.340956151,-0.360474646,0.47966966,0.45831278,-0.320800602,0.519236326,1.074705839,-0.025713388,0.427684247,1.085285902,0.026347052,0.522033095,1.327223778,0.000591297,0.43330735,1.332243204,0.026805442,0.521909893,1.556382895,0.176917166,0.434210867,1.567254424,0.135619491,0.525080442,1.587279439,0.181744248,0.434205204,1.601280212,0.1403431,0.507959962,1.648996592,-0.030276075,0.44975701,1.651728868,-0.076081879
