Class,1x,1y,1z,2x,2y,2z,3x,3y,3z,4x,4y,4z,5x,5y,5z,6x,6y,6z,7x,7y,7z,8x,8y,8z,9x,9y,9z,10x,10y,10z,11x,11y,11z,12x,12y,12z,13x,13y,13z,14x,14y,14z,15x,15y,15z,16x,16y,16z,17x,17y,17z,18x,18y,18z,19x,19y,19z,20x,20y,20z,21x,21y,21z,22x,22y,22z,23x,23y,23z,24x,24y,24z,25x,25y,25z,26x,26y,26z,27x,27y,27z,28x,28y,28z,29x,29y,29z,30x,30y,30z,31x,31y,31z,32x,32y,32z,33x,33y,33z
D_sharp,0.511689067,0.430119991,-0.164139375,0.516537905,0.41257149,-0.142351553,0.520199716,0.41192928,-0.142352223,0.523914695,0.411554158,-0.14253138,0.506377399,0.413463295,-0.138693199,0.502941608,0.413121164,-0.138698041,0.499597549,0.412748426,-0.138809726,0.52743113,0.420021594,-0.034823459,0.494241953,0.417268664,-0.01405942,0.517444432,0.446021438,-0.124146774,0.505065799,0.44547224,-0.118686453,0.556313097,0.49256748,-0.038057003,0.473337471,0.488839716,-0.009397595,0.580546916,0.377011716,-0.11389742,0.456833214,0.375107646,-0.152948648,0.582138956,0.231912479,-0.099451534,0.517320395,0.339808434,-0.217507362,0.587508321,0.187746704,-0.125949174,0.532319725,0.310260832,-0.256657213,0.585147858,0.183351651,-0.126043856,0.531002522,0.329047352,-0.235174015,0.579822421,0.197538018,-0.103432283,0.531660676,0.327449769,-0.217901319,0.509382904,0.787594378,-0.019014582,0.452594191,0.754830837,0.019148499,0.48966676,0.984927177,-0.148303166,0.340678394,0.916859031,-0.040243186,0.467966139,1.051865816,0.262058407,0.267340958,1.018079519,0.097382225,0.465689242,1.044303894,0.302048296,0.265083909,1.042222261,0.109084271,0.463905394,1.107206941,0.267915517,0.223173618,1.064548373,0.01734109
D_sharp,0.511768579,0.430040091,-0.122814134,0.5166682,0.41196093,-0.100228883,0.520462751,0.411294818,-0.100225702,0.524341106,0.410801113,-0.100390933,0.506378174,0.412968397,-0.095683075,0.502928972,0.412784159,-0.095685534,0.499541283,0.412591815,-0.095797211,0.52846694,0.419133365,0.001180481,0.494201511,0.41743952,0.025746802,0.517926574,0.446110368,-0.086504325,0.50510174,0.445676386,-0.079838209,0.556466281,0.492830783,-0.01434998,0.474391848,0.491667926,0.009543744,0.580511928,0.377824366,-0.109374009,0.459458351,0.375195265,-0.149695337,0.582045019,0.234300822,-0.098086558,0.521037459,0.320749581,-0.213729575,0.587062538,0.189603493,-0.125917524,0.541040957,0.273582816,-0.255338281,0.58300066,0.184694037,-0.12296059,0.539939821,0.267122954,-0.232459337,0.578614593,0.197980225,-0.100987099,0.535386443,0.295836776,-0.214539737,0.509370029,0.788401008,-0.018960178,0.452484936,0.754859328,0.019099979,0.489749193,0.985286117,-0.127076715,0.339929998,0.919751883,-0.04095798,0.471012175,1.071764708,0.258016884,0.267449439,1.038112521,0.066098943,0.469243824,1.069773078,0.294288367,0.265200555,1.062319994,0.073139101,0.470312744,1.131280065,0.242538527,0.225689366,1.09234786,-0.037351836
D_sharp,0.511541247,0.430129826,-0.124537908,0.516353488,0.411921442,-0.102445826,0.520287693,0.411182076,-0.102433622,0.524273872,0.410538048,-0.102597952,0.505763471,0.412993789,-0.096532337,0.502235174,0.412896842,-0.096537814,0.498783261,0.412907153,-0.096656628,0.528591275,0.418707073,-0.002307407,0.4936575,0.418812811,0.028553775,0.51793021,0.446371675,-0.088669322,0.504974186,0.44629848,-0.080219559,0.556474507,0.492717355,-0.017413083,0.47557205,0.493868083,0.014410059,0.579401672,0.37772125,-0.105358541,0.461220443,0.375415891,-0.143384218,0.582044482,0.234097943,-0.085978076,0.524855852,0.322150618,-0.203262776,0.587011874,0.18923904,-0.115191951,0.541254044,0.281107932,-0.246205539,0.582492292,0.184464961,-0.111187518,0.542258918,0.277302623,-0.22011736,0.578333378,0.196482196,-0.088680193,0.5390836,0.288433105,-0.203237459,0.509403586,0.789272308,-0.019538213,0.452473789,0.754944444,0.019696135,0.490087807,0.986014545,-0.131643385,0.339280516,0.922064722,-0.043669153,0.470907688,1.074873924,0.25822106,0.274329752,1.042608738,0.073940054,0.469119132,1.071881056,0.295053691,0.273369282,1.065599918,0.082789324,0.470008552,1.134852648,0.243886381,0.237592071,1.100887418,-0.019530188
D_sharp,0.51153785,0.430262506,-0.133605242,0.516243219,0.411927879,-0.111499511,0.520182192,0.411172867,-0.111494973,0.524191976,0.410467833,-0.111666843,0.505649507,0.413092047,-0.106445655,0.502099454,0.413060635,-0.106447473,0.498608261,0.41319257,-0.10656146,0.528586745,0.418301553,-0.007873319,0.493298143,0.419538677,0.020002579,0.517998815,0.446495473,-0.096178234,0.504976034,0.446663231,-0.08877787,0.556504071,0.492367625,-0.020571865,0.475960553,0.493940651,0.004011896,0.578984082,0.376205176,-0.104621887,0.461933464,0.37505731,-0.168942243,0.581841409,0.232840732,-0.080586173,0.524324715,0.323404044,-0.238324493,0.586449206,0.188232809,-0.109411798,0.541561544,0.283476114,-0.282690883,0.581498981,0.183500454,-0.104875311,0.543206215,0.278829247,-0.256186575,0.577536821,0.193975657,-0.083079308,0.540482163,0.285121173,-0.238119364,0.509542227,0.789324105,-0.018856782,0.452523291,0.754798889,0.019031715,0.490478456,0.986013949,-0.118871532,0.339969754,0.922034562,-0.043606538,0.473119825,1.082995772,0.250486493,0.274929702,1.045060635,0.070900902,0.471247047,1.083592772,0.284013361,0.273468524,1.068070292,0.078985088,0.473953635,1.145030975,0.222193167,0.238252923,1.102806091,-0.032228738
D_sharp,0.511532784,0.430268943,-0.144094452,0.516231358,0.411686659,-0.123844244,0.520184398,0.410808653,-0.123809613,0.524234235,0.409947336,-0.123962127,0.505504847,0.413072407,-0.118082166,0.501881242,0.41306594,-0.118121848,0.498309523,0.413270652,-0.118243374,0.52883786,0.417508543,-0.022651915,0.492784023,0.420069814,0.007272117,0.518168151,0.446620435,-0.107399717,0.504967332,0.447066754,-0.09920378,0.556753159,0.49189344,-0.027363217,0.476315975,0.493955433,-0.003559194,0.578751743,0.374086797,-0.10711956,0.461688697,0.371941894,-0.171377212,0.581459165,0.231232896,-0.075569525,0.524109721,0.324057728,-0.234204337,0.584416628,0.188052714,-0.103030503,0.541883528,0.284005016,-0.276957273,0.578592002,0.183105931,-0.096427158,0.543961644,0.278643459,-0.25073868,0.575524569,0.192270771,-0.077099815,0.539972663,0.285764575,-0.233719632,0.509768307,0.789993644,-0.01893279,0.452593088,0.754852474,0.019110506,0.491014302,0.986992061,-0.117561616,0.340116024,0.921965897,-0.04205472,0.473885149,1.095472813,0.229069561,0.274773628,1.048543692,0.073238656,0.471768796,1.099737763,0.259707093,0.273314506,1.072464347,0.081306525,0.475856602,1.157810926,0.190954,0.236586362,1.104894042,-0.030937895
D_sharp,0.511778057,0.430299342,-0.172656804,0.516615331,0.41166991,-0.151913375,0.520688832,0.41079247,-0.151865184,0.524845719,0.4099316,-0.152015418,0.505675912,0.413069487,-0.147563651,0.5019871,0.413068742,-0.147604927,0.498366833,0.413296074,-0.14772211,0.529564798,0.417555749,-0.046224978,0.492797375,0.420416892,-0.022654148,0.518576384,0.446982056,-0.133685082,0.505071938,0.447458684,-0.127321571,0.557061672,0.492094845,-0.044601269,0.476384223,0.494044125,-0.022137748,0.578787148,0.374098212,-0.112023376,0.46083656,0.370333612,-0.171965852,0.581252098,0.229885012,-0.076378621,0.524020553,0.324579746,-0.222289726,0.58325243,0.187943771,-0.1027347,0.54218781,0.284973323,-0.261712581,0.577194512,0.182862118,-0.097211972,0.544345737,0.280608684,-0.233039454,0.574503183,0.191886082,-0.078179017,0.539644003,0.288605899,-0.219893456,0.509877801,0.791209996,-0.018935252,0.452591002,0.755407095,0.019112296,0.491200745,0.988132536,-0.120980822,0.339197397,0.922158659,-0.037835076,0.473856449,1.092796087,0.244768232,0.270656466,1.046543002,0.069591165,0.472143888,1.097076297,0.278154433,0.268480718,1.070398211,0.076897018,0.474861801,1.154370427,0.223697096,0.232423663,1.101634026,-0.031159064
D_sharp,0.512004614,0.430207103,-0.169205308,0.517041147,0.41138646,-0.148298055,0.521184623,0.410552382,-0.148262724,0.525418639,0.409736365,-0.148410052,0.505965471,0.412790209,-0.144058794,0.50223887,0.412853211,-0.144088849,0.498568714,0.413144678,-0.144208938,0.530266762,0.417553067,-0.042274546,0.493019819,0.420401603,-0.018926505,0.518855453,0.446989328,-0.130088121,0.505216479,0.447474241,-0.1238565,0.557355762,0.492756963,-0.042766578,0.476377875,0.494104266,-0.021063959,0.578906894,0.374115616,-0.108673647,0.461238444,0.370296448,-0.147237852,0.581230521,0.229156047,-0.074965052,0.523888767,0.323434532,-0.187430173,0.583098531,0.187206462,-0.100981534,0.54121244,0.261768222,-0.226189449,0.576982796,0.182163835,-0.096220993,0.544011354,0.276588708,-0.204231858,0.574307024,0.1908333,-0.077046961,0.539505243,0.281087369,-0.188182086,0.509904087,0.791878939,-0.018891614,0.452592671,0.755577147,0.019067189,0.49127984,0.990133643,-0.121738836,0.338378876,0.922143817,-0.037487753,0.473708212,1.089676976,0.251827776,0.265446067,1.045682669,0.072184727,0.472009718,1.092966437,0.286364824,0.262924939,1.069538832,0.080184236,0.474254847,1.150948048,0.233424813,0.224181607,1.100126386,-0.026680076
D_sharp,0.513117492,0.430105031,-0.168499231,0.51849252,0.411278486,-0.147988468,0.522652745,0.410488456,-0.147963613,0.526906252,0.409714013,-0.148120522,0.50723803,0.412575305,-0.143586621,0.50348419,0.412625194,-0.143615887,0.499758571,0.412884593,-0.143740147,0.531689525,0.417636693,-0.047247741,0.494297743,0.420064032,-0.023337059,0.519887567,0.446993589,-0.131139487,0.506221175,0.447431356,-0.124653637,0.55780077,0.493469328,-0.05435418,0.476888895,0.494082779,-0.024995914,0.579312444,0.374507904,-0.133779183,0.461565018,0.369689018,-0.150832593,0.581374109,0.229050234,-0.106224954,0.523891687,0.323628902,-0.194566756,0.583130002,0.186542362,-0.133916929,0.542258382,0.267614186,-0.233150393,0.577140689,0.181843549,-0.127010331,0.541788936,0.269179016,-0.21151951,0.574422836,0.190681815,-0.107679941,0.540690541,0.280269921,-0.195360273,0.510033429,0.791951001,-0.019632973,0.452620029,0.755598545,0.019798452,0.491569936,0.99009186,-0.118016824,0.338285059,0.92079711,-0.033160266,0.476927459,1.086454272,0.234780282,0.261841238,1.042162657,0.073714189,0.474800676,1.0883708,0.266347945,0.258958727,1.068378091,0.08178816,0.479972512,1.146222949,0.209860176,0.212836102,1.027223468,-0.024081931
D_sharp,0.513420045,0.42933324,-0.167315751,0.51884222,0.410260677,-0.146411389,0.523047328,0.409561336,-0.146392792,0.527356982,0.408871233,-0.146561503,0.507495761,0.411515206,-0.141967401,0.503724813,0.411648721,-0.141985029,0.499990165,0.412002683,-0.142100558,0.532350183,0.417013705,-0.044590242,0.494603306,0.419551879,-0.020250192,0.520320535,0.446655303,-0.129630357,0.506574988,0.446976781,-0.122982107,0.558194637,0.493937254,-0.050238483,0.477234066,0.494163334,-0.021694871,0.580639303,0.374528259,-0.127359942,0.462125123,0.369138181,-0.126621529,0.582047701,0.228551716,-0.09736485,0.525376856,0.314007193,-0.143515393,0.583772182,0.185748965,-0.121110678,0.537133217,0.25806123,-0.178479865,0.57807374,0.181179762,-0.115909614,0.53981632,0.263213813,-0.159575209,0.575294912,0.190064013,-0.099062726,0.540768564,0.279981554,-0.14490287,0.5100137,0.792812169,-0.019430872,0.452593952,0.755623221,0.01958763,0.491657913,0.991396487,-0.119649194,0.337842554,0.918914795,-0.032610051,0.474836349,1.055908918,0.274609566,0.259089112,1.018813848,0.106198274,0.473535299,1.047190189,0.314529508,0.25660041,1.040853739,0.118776515,0.473016888,1.108861685,0.284777671,0.20966199,1.007524848,0.029852968
D_sharp,0.513953567,0.429015219,-0.150434941,0.51962316,0.409997165,-0.126425773,0.523805439,0.409390718,-0.126419336,0.528093219,0.408789217,-0.126610771,0.508242667,0.411008954,-0.123254023,0.504434705,0.411072105,-0.123260871,0.500663936,0.411334097,-0.12333934,0.532889485,0.417033136,-0.015685562,0.495159715,0.418769062,0.003063386,0.520647168,0.446596235,-0.110044681,0.506881356,0.446704775,-0.104948342,0.558428168,0.495002747,-0.017606799,0.477231801,0.494128048,-0.002109071,0.582029819,0.375617445,-0.074530914,0.462587208,0.36796838,-0.095309839,0.583368242,0.228872508,-0.044101812,0.526523292,0.310933918,-0.105093382,0.585595965,0.185950533,-0.067071475,0.53358829,0.254189372,-0.14022705,0.580194235,0.181418374,-0.064276978,0.537113428,0.260947704,-0.12222892,0.577280164,0.190235496,-0.046763573,0.540855706,0.282255292,-0.106550135,0.509880364,0.794461906,-0.016256077,0.452159971,0.756485522,0.016410079,0.492158473,0.996630549,-0.112309597,0.332950115,0.920111775,-0.03310407,0.473394156,1.042378426,0.32369405,0.260181606,1.012675166,0.149692535,0.472983837,1.027237773,0.368968993,0.259803295,1.029469132,0.168432429,0.467835367,1.093143225,0.355213583,0.213744923,1.015316963,0.093515828
