Class,1x,1y,1z,2x,2y,2z,3x,3y,3z,4x,4y,4z,5x,5y,5z,6x,6y,6z,7x,7y,7z,8x,8y,8z,9x,9y,9z,10x,10y,10z,11x,11y,11z,12x,12y,12z,13x,13y,13z,14x,14y,14z,15x,15y,15z,16x,16y,16z,17x,17y,17z,18x,18y,18z,19x,19y,19z,20x,20y,20z,21x,21y,21z,22x,22y,22z,23x,23y,23z,24x,24y,24z,25x,25y,25z,26x,26y,26z,27x,27y,27z,28x,28y,28z,29x,29y,29z,30x,30y,30z,31x,31y,31z,32x,32y,32z,33x,33y,33z
F_sharp,0.527637839,0.345800698,-0.303269058,0.536435366,0.330076069,-0.299345434,0.540534735,0.3299357,-0.29931429,0.544602871,0.329988271,-0.299397737,0.52767241,0.330502629,-0.286211908,0.525917292,0.330642968,-0.286334485,0.524194181,0.330789119,-0.286367267,0.55502665,0.338493794,-0.238913685,0.52973038,0.337325394,-0.176016882,0.538158774,0.363901228,-0.278388232,0.527328551,0.363438189,-0.25995338,0.598273337,0.428658754,-0.172588587,0.500117123,0.413430989,-0.116899751,0.679180801,0.401255459,-0.20997417,0.437319189,0.36244452,-0.17973347,0.73807174,0.366713464,-0.269398302,0.448676527,0.245455205,-0.304710954,0.75628823,0.362679452,-0.29414615,0.448314428,0.209113508,-0.340614527,0.756894827,0.356607854,-0.31660977,0.455400705,0.208222687,-0.333770126,0.750768781,0.357239842,-0.285404444,0.457578719,0.222571611,-0.309871912,0.530690432,0.708628476,-0.03105798,0.475236177,0.661304593,0.031088505,0.507351398,0.913904846,-0.03691471,0.378966391,0.775081098,-0.054737903,0.488958508,1.094644666,0.091728605,0.280234933,0.897673488,-0.004036813,0.481171757,1.114696145,0.096340701,0.273859739,0.930680275,-0.004270662,0.492296457,1.155158401,-0.018312393,0.229364678,0.90500015,-0.110259749
F_sharp,0.535229266,0.336557686,-0.239216536,0.539768815,0.319979668,-0.224179223,0.543165088,0.319857568,-0.224204689,0.546608329,0.319989741,-0.224280804,0.531025589,0.321161121,-0.218370229,0.52846396,0.321887493,-0.21844849,0.525839329,0.322814941,-0.218457177,0.55506742,0.329361796,-0.132449314,0.528661728,0.331693619,-0.102736965,0.543080091,0.353647143,-0.204984218,0.531788111,0.353993148,-0.196119472,0.598191381,0.426188737,-0.061517071,0.49928236,0.413332194,-0.05423405,0.67297399,0.403091609,-0.072873287,0.437418878,0.362609774,-0.085232303,0.732998729,0.366807759,-0.142023012,0.448680103,0.245940655,-0.184629589,0.753215194,0.362746179,-0.163577184,0.448318392,0.209667712,-0.217481405,0.753465295,0.356611729,-0.190527916,0.455128819,0.208182737,-0.219714835,0.746365309,0.357274026,-0.160078183,0.456965625,0.2219816,-0.192397565,0.530570149,0.706458628,-0.014310619,0.4751423,0.660081089,0.014453432,0.508385181,0.908096254,-0.029269373,0.378972232,0.77767086,-0.094382301,0.48804158,1.087805629,0.099116169,0.279699981,0.901236832,-0.040516376,0.479217619,1.106025696,0.103477798,0.273531646,0.931686223,-0.040847894,0.492115587,1.150241017,-0.017799491,0.231483057,0.915990889,-0.168744087
F_sharp,0.539413214,0.335411817,-0.217283651,0.541728377,0.318675876,-0.202764362,0.544771612,0.318397939,-0.202800304,0.54786694,0.318371236,-0.202875257,0.533179939,0.320213228,-0.196859181,0.53039676,0.3210603,-0.196922436,0.527477264,0.322168618,-0.196934909,0.554965615,0.326860368,-0.114965513,0.528073668,0.331442982,-0.083640054,0.546176016,0.351653665,-0.184237689,0.535077751,0.352431625,-0.175018191,0.598202288,0.425300866,-0.047974437,0.498832613,0.413366735,-0.035862021,0.670579433,0.405803293,-0.063848346,0.437491566,0.362652957,-0.063804761,0.731018901,0.373061299,-0.139387369,0.448831618,0.246764734,-0.158359289,0.752569556,0.370761335,-0.161354691,0.448468745,0.210427776,-0.189886719,0.752717018,0.365386635,-0.189147383,0.455130279,0.208185509,-0.192681998,0.745414078,0.365878344,-0.157840937,0.456903517,0.221963421,-0.166219443,0.530597568,0.706265032,-0.012890716,0.475035489,0.660086811,0.013048062,0.508788943,0.90832144,-0.023542704,0.379065603,0.779348671,-0.088696875,0.487791777,1.085252762,0.110644676,0.279277503,0.903612852,-0.046868466,0.4787561,1.102073073,0.115619779,0.273265928,0.934404492,-0.048702061,0.491392791,1.149780393,-0.006506604,0.231525943,0.916448057,-0.174972922
F_sharp,0.538109124,0.337293297,-0.242170721,0.540210426,0.318849236,-0.231301755,0.543207526,0.318644077,-0.231328443,0.54622519,0.318841279,-0.231412247,0.531619966,0.320918858,-0.222879261,0.528675497,0.321874857,-0.222958595,0.525570571,0.323116183,-0.222970575,0.553633809,0.327667892,-0.15067251,0.526380599,0.331513435,-0.10840039,0.544734836,0.352128446,-0.210887402,0.534296393,0.353336573,-0.198490053,0.597691417,0.425333202,-0.076879218,0.497806966,0.414483696,-0.055199195,0.670776367,0.409179509,-0.092069663,0.437507004,0.362719387,-0.078689083,0.731559277,0.383944392,-0.16620031,0.448832035,0.247285843,-0.169150129,0.752692282,0.385206103,-0.188194081,0.448483765,0.211556628,-0.199804991,0.75283289,0.381666601,-0.215861648,0.455066442,0.208389491,-0.202952415,0.745715737,0.38162449,-0.184382156,0.45667544,0.22196959,-0.177057579,0.530488193,0.706283331,-0.013753749,0.475022942,0.661082149,0.013908079,0.508967459,0.909098625,-0.023256268,0.37907052,0.781491756,-0.083554164,0.488387525,1.085757613,0.108947411,0.279405892,0.904531121,-0.036148749,0.479531944,1.103000641,0.113876656,0.273265094,0.935138285,-0.037122611,0.492240191,1.149683595,-0.006878218,0.232564405,0.911712587,-0.15793547
F_sharp,0.537132859,0.337511748,-0.248855472,0.540209532,0.319545418,-0.236119077,0.543284953,0.319315523,-0.236146733,0.546352744,0.319466919,-0.236231729,0.531538606,0.321460038,-0.229074031,0.528645337,0.322328746,-0.229152232,0.525569558,0.323461413,-0.229161546,0.553532481,0.328186691,-0.149137735,0.525566459,0.331628561,-0.114012502,0.544289649,0.352893859,-0.216079742,0.533766925,0.353939682,-0.205389529,0.59728384,0.426668584,-0.074724413,0.496701866,0.415477067,-0.058937013,0.669317126,0.420576096,-0.085142165,0.436328888,0.362706155,-0.085396476,0.731598258,0.400663078,-0.159281805,0.448826015,0.247457489,-0.177749038,0.752488554,0.403584331,-0.181428179,0.448578656,0.211589649,-0.2097193,0.75266403,0.398655772,-0.209367961,0.455090672,0.208393916,-0.211246639,0.745838583,0.398326099,-0.177704781,0.456672281,0.22195147,-0.184994236,0.530165017,0.706438899,-0.013742549,0.474646866,0.662138939,0.013891448,0.508959949,0.913978219,-0.027941793,0.379071921,0.78342241,-0.086194262,0.487687349,1.090984464,0.084943347,0.280321121,0.907239795,-0.038155459,0.47859484,1.10900557,0.087632045,0.27397123,0.937527359,-0.039027028,0.490786612,1.154075503,-0.036623232,0.234655142,0.911976933,-0.15997085
F_sharp,0.531389296,0.342089057,-0.225333408,0.535394907,0.322675318,-0.219298452,0.538634241,0.321968287,-0.21932447,0.541781783,0.321548432,-0.219406396,0.527219713,0.324829936,-0.207691401,0.524840057,0.325568795,-0.207766846,0.522312164,0.326449603,-0.207782388,0.550460398,0.32827881,-0.155414894,0.524638295,0.332447588,-0.099970236,0.540754616,0.356260926,-0.200334951,0.531120062,0.358135611,-0.183652237,0.59719348,0.427897304,-0.0836135,0.496531397,0.416614711,-0.05431167,0.668414056,0.426294416,-0.100379899,0.435871303,0.362649798,-0.089563623,0.730934918,0.412311941,-0.165318653,0.448642313,0.249264881,-0.188864321,0.752206683,0.417034745,-0.185309023,0.448580682,0.212315023,-0.219480678,0.752703607,0.412948579,-0.212615043,0.455028057,0.208941221,-0.220574766,0.745982409,0.411752224,-0.182966858,0.456490904,0.222918451,-0.196117252,0.529939651,0.706348062,-0.014916805,0.474644184,0.662289202,0.015053337,0.509095371,0.910663188,-0.028017718,0.379148543,0.784417212,-0.085384533,0.487349123,1.090612173,0.085748509,0.281514406,0.90732497,-0.039492793,0.478384912,1.108555913,0.088859946,0.274605572,0.937979639,-0.041185647,0.489494324,1.153833747,-0.031378556,0.237752557,0.908765316,-0.158022389
F_sharp,0.53081131,0.343492717,-0.228594467,0.535206199,0.323254824,-0.220367864,0.538515687,0.322439969,-0.220398858,0.541706145,0.32190603,-0.220481187,0.526854217,0.325602651,-0.210225821,0.524458587,0.326381505,-0.210302472,0.521939158,0.327250063,-0.210314751,0.550174057,0.328383595,-0.151978418,0.52438271,0.332783997,-0.102154613,0.540227056,0.357279956,-0.201971248,0.530472994,0.359334737,-0.18724753,0.597084582,0.428832114,-0.082682401,0.496030986,0.418151528,-0.05612278,0.667846024,0.42838189,-0.102000199,0.435864598,0.362527043,-0.08836174,0.730723262,0.414382219,-0.172211573,0.448534161,0.249390095,-0.181793854,0.752159476,0.420954645,-0.193575606,0.448250145,0.21246554,-0.212801725,0.752727866,0.416439593,-0.220998928,0.454514205,0.208920583,-0.215173647,0.746061206,0.414497882,-0.190064713,0.456109703,0.222681731,-0.189595178,0.529935956,0.706077456,-0.014296065,0.474644274,0.662283778,0.014433642,0.509411573,0.91068089,-0.02556102,0.379824281,0.784653246,-0.091147467,0.487493366,1.088724971,0.095845819,0.282049417,0.907284439,-0.05260434,0.478640467,1.106492758,0.099991307,0.274836779,0.937859237,-0.054165363,0.48955068,1.151630163,-0.017382275,0.24005577,0.910266876,-0.172653973
F_sharp,0.528679729,0.34497264,-0.209179327,0.532885849,0.324561477,-0.204070419,0.536210895,0.323547989,-0.204102948,0.539344192,0.322748005,-0.204182461,0.524751544,0.326957852,-0.19069621,0.522625387,0.327677697,-0.190768644,0.520414531,0.328443676,-0.190784633,0.548062623,0.328600258,-0.147824496,0.523970783,0.333160818,-0.083046935,0.538892388,0.358481437,-0.186622769,0.529606998,0.360842943,-0.167565197,0.596808255,0.42885679,-0.080837652,0.495601505,0.419139773,-0.039185118,0.666349292,0.429301798,-0.101944625,0.434843868,0.362651289,-0.063955709,0.730559111,0.413809806,-0.171895295,0.447935283,0.250203401,-0.154769793,0.752072036,0.418939412,-0.192942441,0.448102087,0.21291171,-0.183000475,0.752747118,0.414341688,-0.219975948,0.454290926,0.209124401,-0.185771272,0.746069789,0.413008273,-0.18946597,0.455827236,0.2226841,-0.162329763,0.529959023,0.705964267,-0.015467818,0.474622339,0.662470818,0.015616065,0.509571254,0.910712659,-0.04552038,0.38006264,0.785101771,-0.075781427,0.487461865,1.092050195,0.06660185,0.283464491,0.907141805,-0.030316228,0.478666365,1.110285401,0.069810532,0.276774853,0.937653005,-0.030815613,0.488666624,1.155133247,-0.052133746,0.239760518,0.915609121,-0.149175793
F_sharp,0.528663397,0.347449183,-0.222312003,0.53300029,0.326896697,-0.215420336,0.536368668,0.325785965,-0.215449885,0.539559484,0.324864686,-0.215531081,0.524687171,0.329342306,-0.20411706,0.522507787,0.330027372,-0.204194039,0.520264506,0.330734789,-0.204209805,0.547893643,0.329813123,-0.151048735,0.523506463,0.334693521,-0.095150232,0.538817108,0.360637188,-0.196519911,0.529413521,0.362987518,-0.180209577,0.596721292,0.428912431,-0.080336504,0.495287716,0.420352042,-0.047008913,0.666211963,0.427924603,-0.100242957,0.433943689,0.362933129,-0.073959187,0.730452418,0.411833793,-0.173718005,0.447859198,0.250431389,-0.164837152,0.751905203,0.416954756,-0.195100218,0.448041975,0.212918743,-0.194372386,0.752476573,0.412675381,-0.222302347,0.454204887,0.209134609,-0.196334139,0.745860159,0.411492884,-0.191368014,0.455781847,0.222636729,-0.171931162,0.529964566,0.70632118,-0.015741704,0.474548966,0.663469255,0.015885241,0.50958699,0.91149199,-0.045367971,0.380068243,0.785948694,-0.078458436,0.487934768,1.095719337,0.070644975,0.283553094,0.907086432,-0.030635932,0.479610145,1.114014745,0.07418754,0.277135551,0.937460184,-0.030991996,0.488573879,1.159060121,-0.048590362,0.240158826,0.92185539,-0.149758637
F_sharp,0.526809752,0.347989798,-0.212264925,0.532034636,0.327596724,-0.206243962,0.535501599,0.326493055,-0.20627442,0.538836122,0.325581372,-0.206354424,0.523684382,0.330112636,-0.194122359,0.521550655,0.330837578,-0.1941953,0.519359171,0.33155942,-0.194210112,0.547848105,0.330672711,-0.1472186,0.523330331,0.335381627,-0.087485619,0.537551045,0.361879259,-0.188647583,0.528208077,0.364451677,-0.171171516,0.596694946,0.428958625,-0.080377243,0.495218277,0.421357185,-0.044258907,0.666515946,0.426983595,-0.1030007,0.433623165,0.363149166,-0.075112179,0.730830967,0.409954607,-0.171950862,0.447834551,0.250728101,-0.166697219,0.752550304,0.415029943,-0.192339867,0.448016405,0.212956816,-0.195570514,0.753385842,0.41139254,-0.21902056,0.454186022,0.209166318,-0.197297424,0.746576905,0.41016078,-0.189371988,0.455771387,0.222574472,-0.173808306,0.530092776,0.706327975,-0.016252274,0.474547952,0.664030433,0.016381994,0.509776413,0.907925487,-0.043825082,0.380067289,0.786767304,-0.067285612,0.488190591,1.095567942,0.07022813,0.283572316,0.90700233,-0.026700253,0.479980797,1.113898635,0.07357695,0.277425617,0.937207699,-0.027583305,0.488575935,1.158885837,-0.047477495,0.239796042,0.921933293,-0.143774062
