Class,1x,1y,1z,2x,2y,2z,3x,3y,3z,4x,4y,4z,5x,5y,5z,6x,6y,6z,7x,7y,7z,8x,8y,8z,9x,9y,9z,10x,10y,10z,11x,11y,11z,12x,12y,12z,13x,13y,13z,14x,14y,14z,15x,15y,15z,16x,16y,16z,17x,17y,17z,18x,18y,18z,19x,19y,19z,20x,20y,20z,21x,21y,21z,22x,22y,22z,23x,23y,23z,24x,24y,24z,25x,25y,25z,26x,26y,26z,27x,27y,27z,28x,28y,28z,29x,29y,29z,30x,30y,30z,31x,31y,31z,32x,32y,32z,33x,33y,33z
G,0.54184705,0.445823461,-0.473450571,0.55400759,0.420444012,-0.431166977,0.560015678,0.423612893,-0.430960834,0.566035628,0.427345306,-0.430752367,0.532499731,0.417735755,-0.440291464,0.524281919,0.418100059,-0.440313637,0.516878366,0.418138236,-0.440476716,0.571816385,0.450610846,-0.228577495,0.507683396,0.435511351,-0.261684835,0.551779449,0.487665653,-0.40447849,0.525384188,0.481118679,-0.415034831,0.610762179,0.602693915,-0.16825211,0.454960495,0.562750399,-0.24305746,0.708067536,0.485407084,-0.318027109,0.442654908,0.359237701,-0.449583918,0.635286152,0.343268752,-0.355093628,0.498211056,0.187012315,-0.461540043,0.620263636,0.312419713,-0.395634294,0.520014703,0.151785553,-0.515235007,0.606438398,0.305807769,-0.351350278,0.529090345,0.16035831,-0.475855887,0.605438411,0.321613193,-0.345705718,0.521789968,0.178069249,-0.457591236,0.583852887,0.996255338,0.002171512,0.478434622,0.990345538,-0.000998238,0.576953828,1.359588146,0.05024017,0.477976471,1.341019154,-0.017443446,0.565940499,1.648205757,0.289864779,0.46516186,1.631281376,0.121908821,0.567311049,1.687596321,0.300124913,0.459808528,1.672164798,0.126807883,0.548654199,1.744646668,0.062302046,0.476065785,1.72630477,-0.138410941
G,0.540591657,0.445715427,-0.40558964,0.553120911,0.420378923,-0.357560098,0.559520662,0.423120588,-0.357438743,0.5657956,0.425813854,-0.357292593,0.531371772,0.417733639,-0.365008384,0.523683429,0.418078691,-0.36508581,0.516658187,0.418071777,-0.365333915,0.571817994,0.445255548,-0.143840343,0.507898092,0.4339104,-0.16683346,0.551441073,0.487333298,-0.332779109,0.525324225,0.480503589,-0.340602994,0.612453341,0.602571428,-0.060819633,0.45853132,0.561434984,-0.15302369,0.711399198,0.485142767,-0.210086018,0.44288367,0.34329021,-0.319769859,0.635794997,0.342469543,-0.210152358,0.503206313,0.178285539,-0.245534301,0.619561791,0.311036736,-0.238844514,0.525401235,0.146216184,-0.286539346,0.60602808,0.306123167,-0.181323916,0.534555078,0.157268599,-0.243772358,0.605398118,0.323005199,-0.194041103,0.52886188,0.175127149,-0.23833926,0.585517526,0.996794879,0.002109336,0.479838997,0.990355015,-0.000971554,0.576948524,1.369922757,-0.018200617,0.470920146,1.351864934,-0.059892904,0.566861272,1.672528267,0.160087287,0.458670914,1.663339376,0.01501957,0.56778276,1.71502316,0.163648576,0.454797924,1.710778832,0.011766916,0.551007867,1.775132298,-0.081969723,0.471641928,1.756447673,-0.254981101
G,0.539966702,0.445120841,-0.424858987,0.552740276,0.420044661,-0.379842699,0.559391379,0.42228356,-0.379674733,0.565783083,0.424128473,-0.379504383,0.530747175,0.417562306,-0.386424392,0.523373902,0.4178707,-0.38646853,0.516577542,0.41781354,-0.386679143,0.572334826,0.441361874,-0.171710521,0.508474886,0.432979256,-0.190331757,0.55142951,0.487009078,-0.353797168,0.525323689,0.480019599,-0.360449374,0.615098119,0.60261488,-0.097319916,0.461128771,0.561286688,-0.175396398,0.712546349,0.485142082,-0.253527641,0.444473833,0.329542577,-0.364634603,0.636103511,0.341845185,-0.273294032,0.507645488,0.173092529,-0.321354061,0.619218111,0.310193032,-0.307829529,0.530552328,0.143785864,-0.36644733,0.606003165,0.306558192,-0.254180521,0.539215684,0.15607059,-0.322231233,0.605434,0.324010074,-0.259757489,0.533587098,0.17332159,-0.3143664,0.586602092,0.999584556,0.000549502,0.480389029,0.990879059,0.000539511,0.576900125,1.379191637,-0.004089043,0.465162843,1.364999175,-0.042277452,0.566729248,1.685593367,0.196798459,0.452620268,1.677091479,0.055796362,0.567539215,1.72784996,0.203144789,0.44896549,1.722826481,0.05544883,0.550979078,1.790611744,-0.038584553,0.46652174,1.773768783,-0.209369257
G,0.539966822,0.444738418,-0.433936417,0.552736223,0.41968438,-0.389070272,0.559400201,0.421589017,-0.388882399,0.565846324,0.422961175,-0.388702899,0.530739307,0.417219639,-0.395901501,0.523378849,0.417439222,-0.395933628,0.516645133,0.417309701,-0.396135271,0.572648644,0.439298511,-0.177844435,0.509490967,0.431833059,-0.19722347,0.551525831,0.486851662,-0.362293422,0.525560498,0.479697198,-0.369250536,0.616054595,0.602781355,-0.097013377,0.462623209,0.56127429,-0.184997648,0.713310421,0.485479474,-0.257813483,0.445663512,0.327535599,-0.383321345,0.636366963,0.341528714,-0.282776833,0.51035583,0.170398653,-0.357159436,0.619112074,0.309870631,-0.318987012,0.533450305,0.14218919,-0.405230671,0.606012642,0.306803107,-0.264642179,0.541708112,0.154456586,-0.362822682,0.605557799,0.32444492,-0.26902023,0.536431789,0.171588242,-0.350912184,0.587877452,1.001732945,0.000805912,0.480602562,0.991907775,0.000274864,0.577222824,1.383853197,0.007647029,0.464528143,1.369726539,-0.031548221,0.566849053,1.689841032,0.221310899,0.453004926,1.678146839,0.064358152,0.567601085,1.731566072,0.228870362,0.449015915,1.7226547,0.067871936,0.551500261,1.793921351,-0.013279138,0.467011064,1.774671555,-0.193421036
G,0.539639652,0.444434136,-0.374053657,0.552590787,0.419445127,-0.326587915,0.55933392,0.421183556,-0.326500803,0.565838456,0.422367513,-0.32638365,0.530537486,0.417008251,-0.333251745,0.52327168,0.417159408,-0.333325028,0.51662153,0.416957378,-0.333590597,0.572923541,0.438718408,-0.116334572,0.509754598,0.430767834,-0.135502547,0.551487327,0.486694336,-0.302313894,0.525513053,0.479129672,-0.309209049,0.616585135,0.603242934,-0.036025956,0.463386446,0.560724616,-0.123786047,0.713660121,0.486752182,-0.17655167,0.445995003,0.325623304,-0.279437602,0.637833238,0.341434211,-0.164607808,0.511943102,0.168977574,-0.194496244,0.619631171,0.309855342,-0.191596866,0.535411477,0.141077965,-0.233100802,0.606685758,0.307357252,-0.136319965,0.543462396,0.153376326,-0.191141278,0.606310487,0.324828684,-0.149066061,0.538221002,0.170660496,-0.187139422,0.588012099,1.003026485,0.000862424,0.480906665,0.992320418,0.000171533,0.577140033,1.384603977,-0.025427718,0.463810593,1.368683696,-0.061834782,0.567333162,1.69120872,0.144737065,0.452564329,1.680886388,0.006558012,0.567781329,1.734002709,0.147611976,0.448842525,1.728398323,0.003226215,0.552710652,1.795494437,-0.095306285,0.467038065,1.774463773,-0.259948254
G,0.539848208,0.443823338,-0.397674203,0.552664578,0.418866992,-0.352814257,0.559423566,0.420463651,-0.352687448,0.56592828,0.421528161,-0.352564156,0.530577779,0.416349202,-0.360605717,0.523319244,0.416403651,-0.360696405,0.516670287,0.416148961,-0.360943705,0.572923362,0.437660545,-0.14498654,0.509776235,0.42968908,-0.170303732,0.551615536,0.48657617,-0.325950593,0.525705695,0.478769273,-0.334676951,0.616490483,0.603008926,-0.06486322,0.463270575,0.558787227,-0.157470822,0.714070678,0.487847358,-0.210527748,0.446550846,0.319221705,-0.301738203,0.638379157,0.341423541,-0.213282987,0.513309419,0.166834891,-0.280015826,0.619651556,0.309845895,-0.243043751,0.536740422,0.139374688,-0.332084477,0.606723547,0.308328569,-0.188572168,0.544715166,0.152450249,-0.296598136,0.606433392,0.325534761,-0.19835791,0.539529741,0.169371545,-0.27945739,0.588525116,1.00459969,0.002068681,0.481061757,0.99483937,-0.001224589,0.57710582,1.385923982,-0.010932114,0.463498592,1.371210933,-0.055279542,0.56732285,1.695050001,0.175104409,0.452408731,1.684186935,0.030567657,0.567594409,1.737608314,0.180239409,0.448619127,1.731030822,0.029381264,0.552802026,1.799625635,-0.055895258,0.466692269,1.77664876,-0.229934648
G,0.5410918,0.443794161,-0.364547789,0.553037763,0.418848932,-0.317990422,0.559719026,0.420405239,-0.31788227,0.566138864,0.421443343,-0.317764699,0.530911803,0.416309357,-0.328773439,0.523555279,0.416342169,-0.328899384,0.516818047,0.416082203,-0.329173625,0.572787166,0.437530816,-0.105227076,0.509732306,0.429447681,-0.144802883,0.552246392,0.486572772,-0.290824533,0.526631713,0.478776395,-0.303512067,0.616455436,0.603020132,-0.019715784,0.463113844,0.558665693,-0.148661643,0.714158773,0.489227414,-0.161312073,0.44654426,0.321250588,-0.341581136,0.638613701,0.341481119,-0.166132808,0.512638509,0.167154476,-0.31905368,0.619672239,0.309886158,-0.193773657,0.535943389,0.139191106,-0.366479933,0.606758714,0.309034884,-0.136391461,0.544089377,0.152141839,-0.325855196,0.606472313,0.326104701,-0.150126472,0.53863132,0.168955132,-0.314805686,0.588493764,1.006124735,0.00934858,0.481067002,0.996637404,-0.008706793,0.576192915,1.385879755,-0.015930552,0.462248653,1.370647788,-0.068659984,0.567165017,1.696239591,0.15278168,0.451292336,1.686890364,0.007505984,0.567146182,1.738604069,0.156072229,0.447554022,1.734917045,0.004638669,0.552778065,1.800835133,-0.079348907,0.465125144,1.777201653,-0.254103631
G,0.542211533,0.443685144,-0.349173844,0.553568244,0.418763906,-0.30292204,0.560155928,0.420274109,-0.302812994,0.566447198,0.421294957,-0.302697718,0.531552792,0.416166037,-0.315666884,0.52414161,0.416156292,-0.315784872,0.517297685,0.415866941,-0.316067874,0.572633803,0.437369764,-0.09217032,0.509729266,0.429003447,-0.140584797,0.552821279,0.486574352,-0.276263982,0.527504086,0.478752524,-0.291585982,0.615971327,0.60309124,-0.007512589,0.462992042,0.558137119,-0.148037344,0.714133382,0.48932147,-0.134257853,0.446575791,0.322157621,-0.356066883,0.638330221,0.341666311,-0.133088514,0.512172222,0.167036742,-0.306227416,0.619580984,0.309881359,-0.159606129,0.535614014,0.139260903,-0.34452939,0.606721282,0.309258401,-0.103764199,0.543747187,0.15203698,-0.30200392,0.606410146,0.326644599,-0.117851295,0.538108051,0.168663874,-0.298438728,0.587442636,1.007315516,0.013471186,0.479485184,0.996885419,-0.01282645,0.572165728,1.386178493,-0.020777028,0.457174063,1.370163441,-0.078070782,0.562402368,1.700246215,0.144346863,0.444815546,1.689990044,-0.003650149,0.56141156,1.742316723,0.147419304,0.440370649,1.738284469,-0.006480129,0.549102724,1.806400895,-0.08766818,0.459047407,1.780869722,-0.269370377
G,0.541970253,0.443139046,-0.372161239,0.553408742,0.418219686,-0.325235873,0.559960008,0.419564933,-0.324998111,0.566242397,0.420453221,-0.324825615,0.531463325,0.415810168,-0.337934792,0.524080873,0.415776402,-0.33804208,0.517258406,0.415449113,-0.338373899,0.572416604,0.43638733,-0.100733832,0.509666383,0.42836991,-0.14420101,0.552774906,0.486163974,-0.290491641,0.527453899,0.478374302,-0.30703935,0.615936995,0.603021801,-0.037291773,0.462816805,0.558097184,-0.169236496,0.713933825,0.489346474,-0.16398713,0.446424544,0.322653443,-0.442309141,0.638147771,0.341804683,-0.170561492,0.511878133,0.167326719,-0.456068665,0.619602859,0.310471147,-0.20491448,0.535212576,0.139295071,-0.505076528,0.606870472,0.310669929,-0.155938402,0.543384492,0.152119562,-0.455459297,0.606461406,0.327386647,-0.158718228,0.537687302,0.16870226,-0.447452962,0.587520957,1.007629514,0.013101662,0.478970528,0.996904492,-0.012372261,0.573087513,1.387000322,-0.01573972,0.458183616,1.372607112,-0.075275935,0.563532174,1.700226307,0.166049525,0.445325911,1.690003157,0.015326654,0.563103557,1.741838098,0.170910805,0.441194206,1.736875057,0.014509493,0.549939275,1.805972457,-0.065789364,0.459546506,1.782061219,-0.248559624
G,0.541910708,0.443028629,-0.357872397,0.553307593,0.418098629,-0.308560789,0.55981648,0.419389516,-0.30841276,0.566068113,0.420240194,-0.30828321,0.531404436,0.415715665,-0.321064085,0.524010658,0.415670007,-0.321184754,0.517196417,0.415328801,-0.321479201,0.571976483,0.436276913,-0.085386701,0.509342194,0.428232908,-0.130938858,0.552766681,0.485987008,-0.279986441,0.527418017,0.478285968,-0.294969738,0.615788579,0.603022456,0.004558356,0.462295592,0.558824658,-0.145229921,0.713867545,0.489725888,-0.110804237,0.446359783,0.322743237,-0.39223814,0.638161957,0.341767102,-0.091010533,0.511726916,0.167548433,-0.353004366,0.61975044,0.31046921,-0.111774579,0.534962773,0.139416784,-0.392630517,0.607043207,0.310813844,-0.057187814,0.543153465,0.152726293,-0.343137592,0.606529951,0.327479392,-0.075935118,0.537581027,0.170532957,-0.342811316,0.58724618,1.00884831,0.014709058,0.478832155,0.996913493,-0.013994726,0.573190331,1.387614965,-0.031263717,0.458845198,1.373624921,-0.082581669,0.565166116,1.702710986,0.12933287,0.445571184,1.694900155,-0.017510209,0.564813495,1.744792819,0.131359905,0.441549778,1.742552876,-0.021651523,0.551710486,1.808173656,-0.111754514,0.460384369,1.787221909,-0.287709773
