Class,1x,1y,1z,2x,2y,2z,3x,3y,3z,4x,4y,4z,5x,5y,5z,6x,6y,6z,7x,7y,7z,8x,8y,8z,9x,9y,9z,10x,10y,10z,11x,11y,11z,12x,12y,12z,13x,13y,13z,14x,14y,14z,15x,15y,15z,16x,16y,16z,17x,17y,17z,18x,18y,18z,19x,19y,19z,20x,20y,20z,21x,21y,21z,22x,22y,22z,23x,23y,23z,24x,24y,24z,25x,25y,25z,26x,26y,26z,27x,27y,27z,28x,28y,28z,29x,29y,29z,30x,30y,30z,31x,31y,31z,32x,32y,32z,33x,33y,33z
A,0.530394375,0.450464517,-0.358033657,0.534326971,0.451270163,-0.361289978,0.534831762,0.454327464,-0.361265749,0.535319984,0.457330167,-0.361308306,0.533288717,0.442186236,-0.363678247,0.532978654,0.439170361,-0.36377266,0.532672942,0.436116278,-0.363801688,0.538056195,0.466117859,-0.312391043,0.533859611,0.433825612,-0.322813034,0.531781733,0.460094988,-0.332230836,0.530039907,0.449829221,-0.335551649,0.543523073,0.497485012,-0.20658043,0.539109349,0.421805263,-0.226174995,0.559003413,0.48333016,-0.09778057,0.551054597,0.399836302,-0.122303233,0.560494006,0.450964659,-0.050674628,0.541317284,0.39935711,-0.065529957,0.562623501,0.449225485,-0.053371318,0.539371967,0.390331298,-0.067913093,0.562201381,0.441656947,-0.066693187,0.53796947,0.398454458,-0.076215141,0.56088984,0.440273613,-0.053837977,0.539187431,0.404737175,-0.065887511,0.566481531,0.468575597,-0.004617045,0.565039277,0.434586585,0.004787369,0.559759736,0.492355734,0.131015152,0.55261153,0.434374034,0.146457568,0.577119172,0.49707821,0.332673609,0.563177109,0.427087158,0.346037924,0.582235932,0.497330934,0.354300529,0.565702319,0.424222767,0.367682427,0.571689188,0.500646055,0.350241244,0.560193002,0.431152076,0.365594208
A,0.523563087,0.44385618,-0.322399646,0.522261798,0.445801467,-0.329737246,0.52153641,0.446388662,-0.329710066,0.520812392,0.446854472,-0.329756618,0.524003565,0.442097425,-0.330110013,0.524549663,0.439831555,-0.330193937,0.525076985,0.438629985,-0.33023721,0.520467103,0.450829148,-0.295669615,0.526208699,0.439674854,-0.29764393,0.524331391,0.445550829,-0.301636279,0.525793314,0.443620712,-0.302388638,0.521997809,0.466150314,-0.20496425,0.539166749,0.431241304,-0.211156771,0.532591701,0.447156698,-0.097477853,0.566105843,0.424574435,-0.114654444,0.530615926,0.444199115,-0.045396179,0.570510328,0.428314209,-0.065719455,0.531475902,0.446253657,-0.046884976,0.5736655,0.425813168,-0.068478286,0.532662034,0.441706032,-0.056594782,0.571424127,0.425787896,-0.081641659,0.533241391,0.440313727,-0.046537083,0.569750726,0.42700395,-0.068153821,0.5582214,0.440157622,-0.003180742,0.565011144,0.426603049,0.003385014,0.556995332,0.456025183,0.127128586,0.563117445,0.407020539,0.130352885,0.575719655,0.461164951,0.286084861,0.564634442,0.391241759,0.292842776,0.582047105,0.461444736,0.303445011,0.566207588,0.388248116,0.312019289,0.569237351,0.462602407,0.298856199,0.560458422,0.385867357,0.311936766
A,0.523943484,0.44247365,-0.315495968,0.518186152,0.440272301,-0.323673695,0.516844571,0.436568081,-0.323671639,0.515510917,0.432692349,-0.323768109,0.521027923,0.446470171,-0.323927671,0.521756351,0.449865252,-0.323998958,0.522486806,0.453748912,-0.324028552,0.511481166,0.429011017,-0.29414317,0.521695435,0.461803973,-0.295861751,0.524573743,0.436739683,-0.296266019,0.526481926,0.444383502,-0.296828181,0.512610018,0.414623976,-0.220805287,0.53742224,0.476757139,-0.211349577,0.530951977,0.36469844,-0.124067485,0.565701365,0.471189827,-0.09760116,0.542776883,0.36643219,-0.064426109,0.579833686,0.457691014,-0.029061034,0.545153856,0.36537087,-0.064012006,0.584884286,0.455149323,-0.025067065,0.545201898,0.370686263,-0.069315583,0.582739472,0.452740103,-0.03697855,0.5448488,0.373010606,-0.063833952,0.579825938,0.451363713,-0.031028191,0.551319301,0.409671247,-0.004046219,0.563236594,0.435987651,0.00425232,0.560981572,0.409050912,0.144648924,0.570852876,0.415804893,0.158851549,0.577013433,0.4122141,0.307980269,0.574220777,0.404755056,0.320697606,0.582276642,0.409725904,0.326602906,0.574757636,0.401918292,0.340929449,0.579751015,0.417883635,0.319959104,0.578121543,0.402406603,0.338399351
A,0.511466086,0.426956654,-0.384683549,0.513973832,0.427778572,-0.389542878,0.513905942,0.429667532,-0.389524877,0.513846099,0.431364864,-0.389593363,0.51409781,0.420705676,-0.389640927,0.51414144,0.41859597,-0.389712989,0.514172912,0.416464627,-0.389742792,0.514569819,0.437709481,-0.336607039,0.514656007,0.41541639,-0.336299956,0.5113796,0.433416903,-0.355966866,0.510869265,0.426415563,-0.356237292,0.518068314,0.44578582,-0.223987386,0.519358218,0.401172429,-0.231467158,0.516846776,0.445506245,-0.11472173,0.53995353,0.375185221,-0.107207283,0.509826422,0.447985202,-0.022629334,0.541878581,0.37967056,-0.045587495,0.509745479,0.456442475,-0.023404732,0.544232845,0.374108046,-0.046359979,0.511472583,0.446465045,-0.030970026,0.542978764,0.378074616,-0.057377737,0.511195421,0.440588415,-0.023132216,0.542145193,0.383303523,-0.047289528,0.555340648,0.429605395,-0.004056123,0.556252956,0.396165162,0.004260995,0.564337254,0.433526188,0.164575458,0.566229165,0.342830867,0.171000212,0.579313159,0.419213861,0.377194196,0.571037948,0.304766268,0.373635411,0.583418429,0.41565603,0.40156132,0.572352171,0.29980737,0.397805452,0.579501748,0.419589728,0.399263054,0.571323395,0.296420276,0.390386701
A,0.512791514,0.429642856,-0.469089329,0.502691507,0.430243254,-0.473221838,0.50034523,0.426248342,-0.473231494,0.498023272,0.421481311,-0.473329395,0.507375777,0.438074321,-0.470030636,0.508582056,0.44603619,-0.470108926,0.509788454,0.453080416,-0.47010535,0.491841137,0.414295405,-0.42175594,0.508902907,0.463233918,-0.409548521,0.513069391,0.417442113,-0.442366511,0.516763687,0.431607991,-0.438869476,0.499614805,0.373175144,-0.343348116,0.521939456,0.470045775,-0.293470204,0.5277583,0.297398597,-0.313211977,0.544517457,0.457487136,-0.151937678,0.557837725,0.240258023,-0.347911179,0.557329774,0.415252298,-0.056705195,0.560767353,0.218820006,-0.376724899,0.561123431,0.409829915,-0.054817759,0.565211952,0.234148026,-0.390746295,0.55636543,0.402243346,-0.070315778,0.565223515,0.246203005,-0.354839683,0.554134548,0.399161667,-0.059814554,0.537890792,0.372269154,-0.0106022,0.552713513,0.402124107,0.010875714,0.532924831,0.372487634,0.233519718,0.552988648,0.405820847,0.251856148,0.524856985,0.386317998,0.485145271,0.540678263,0.414494991,0.511732936,0.525422394,0.390155584,0.51111424,0.53852123,0.411386073,0.539705634,0.531163692,0.376625836,0.481961191,0.550703168,0.396153599,0.512412429
A,0.496777773,0.4228127,-0.548678875,0.484203488,0.422931135,-0.546678901,0.481695652,0.414544225,-0.54665345,0.47961536,0.403273106,-0.546769142,0.490552008,0.439992487,-0.546726584,0.492827326,0.449703604,-0.54677844,0.495187938,0.458466381,-0.546691179,0.476842403,0.393777221,-0.476801306,0.501318514,0.476919353,-0.477010965,0.503355384,0.397766888,-0.516122878,0.511012673,0.424271554,-0.516147494,0.495797396,0.342968464,-0.380347073,0.525880575,0.469268024,-0.340504825,0.523610473,0.258723378,-0.303019792,0.559963882,0.46653679,-0.166520968,0.555088699,0.190834001,-0.26692614,0.566518843,0.424559265,-0.017220272,0.557460189,0.167496964,-0.275344312,0.568210721,0.416157067,-0.000270823,0.559973776,0.182366386,-0.289717495,0.562833667,0.411072373,-0.011105487,0.559932232,0.194643214,-0.270971417,0.561192155,0.408837795,-0.015990425,0.545030355,0.338034809,-0.013586101,0.559871376,0.403178185,0.013730643,0.538511455,0.301377535,0.206946969,0.570217252,0.389437318,0.248512939,0.551724792,0.302917689,0.452799708,0.56015408,0.381995857,0.498630941,0.55348736,0.308013231,0.477479696,0.553175569,0.374683976,0.524976134,0.553671956,0.284780353,0.442553997,0.582560122,0.365620434,0.49726215
A,0.460389763,0.43085447,-0.381831765,0.473154157,0.401742846,-0.344481498,0.480778694,0.401840508,-0.344358444,0.487992346,0.402383089,-0.344272375,0.451348394,0.401622146,-0.34804818,0.444858611,0.40166375,-0.348062038,0.439024925,0.401953757,-0.348266959,0.499045432,0.420536369,-0.172241732,0.430416971,0.416456521,-0.178523526,0.474128097,0.46777451,-0.323348671,0.450666368,0.467393041,-0.326264441,0.530359387,0.570267558,-0.13637279,0.385641336,0.560302615,-0.142601743,0.591837347,0.376139998,-0.265855819,0.352482587,0.345582545,-0.212489992,0.53453958,0.203238845,-0.292286366,0.429977596,0.196947262,-0.094119765,0.517406762,0.141918004,-0.331635535,0.452072531,0.1543203,-0.135504514,0.509062648,0.140711248,-0.305285573,0.4620305,0.148609579,-0.088750117,0.509344816,0.161497712,-0.290028602,0.458030283,0.168476284,-0.085278891,0.498601735,0.961080194,-0.010589044,0.392921388,0.944547534,0.011708718,0.48360768,1.254134417,0.130264252,0.38309294,1.224769592,0.04650991,0.469878584,1.490423203,0.390252173,0.371629775,1.475133896,0.234024256,0.469636738,1.52509737,0.405189216,0.368994236,1.514354944,0.244450852,0.454376608,1.586115122,0.190239117,0.383048445,1.568390727,0.004533927
A,0.456015497,0.427963853,-0.3109622,0.46957922,0.398690045,-0.265812963,0.477133811,0.399095923,-0.265680879,0.483858287,0.399819791,-0.265458405,0.445332855,0.397929221,-0.271020353,0.437285483,0.398125231,-0.271023154,0.430090189,0.398478866,-0.271251291,0.491042703,0.419454575,-0.083921634,0.420016587,0.413755953,-0.095437035,0.468301624,0.466991305,-0.252580792,0.440366358,0.465269119,-0.256984144,0.52409786,0.57702601,-0.073367395,0.369479746,0.560454905,-0.09988305,0.579042375,0.38677156,-0.235953137,0.342322201,0.345979214,-0.210527509,0.52798605,0.204806432,-0.272130787,0.427433819,0.193588957,-0.094920591,0.511213422,0.143306896,-0.319984376,0.450400412,0.149467021,-0.139589205,0.502392411,0.143541843,-0.28823325,0.456790358,0.149171561,-0.092190668,0.504359126,0.169173002,-0.271239936,0.451827109,0.170044586,-0.086544201,0.488210917,0.992134333,-0.010422112,0.376698434,0.975841343,0.011558697,0.467024386,1.334041357,0.113842823,0.36076206,1.312728286,0.061052114,0.455592543,1.616090536,0.375249416,0.348008931,1.59960568,0.233413428,0.456963301,1.656540394,0.388722271,0.343508661,1.638831973,0.242584795,0.435958087,1.719274044,0.15701966,0.360898554,1.707866192,-0.013836509
A,0.449348152,0.424969435,-0.330054522,0.462162971,0.397072256,-0.292808592,0.469195426,0.397649944,-0.29267773,0.475753963,0.398443997,-0.292552829,0.437319994,0.395537645,-0.295770258,0.42871666,0.395525366,-0.295764744,0.420749754,0.395681173,-0.295948982,0.482025236,0.417923659,-0.111191608,0.410300672,0.409961104,-0.12494836,0.459613651,0.465285718,-0.275779992,0.432197869,0.462196648,-0.277570099,0.515631378,0.578300834,-0.085006252,0.358879447,0.559486151,-0.107861415,0.571461976,0.391467541,-0.242191106,0.336037099,0.345639259,-0.248560578,0.519346356,0.205280855,-0.307940096,0.420732826,0.192276999,-0.174128488,0.501565754,0.144111618,-0.364469975,0.4444682,0.148484871,-0.227432683,0.492494762,0.145571008,-0.334191024,0.448508412,0.151679456,-0.188657016,0.494992405,0.172842443,-0.308998644,0.443686426,0.174151957,-0.169917673,0.479307741,1.001559138,-0.008056563,0.365844846,0.986145556,0.00921745,0.460463613,1.351266742,0.093628943,0.352443397,1.33083725,0.038618714,0.449259937,1.643657207,0.347979635,0.340049773,1.626553059,0.194347978,0.451161772,1.683880806,0.359983683,0.334694743,1.666978478,0.201435834,0.428376198,1.748759151,0.121786334,0.355011493,1.732307315,-0.06990169
A,0.445705742,0.424447417,-0.245382786,0.457763255,0.396873474,-0.195650607,0.46472916,0.397454381,-0.195588455,0.471179068,0.398231834,-0.195298448,0.432650268,0.395217717,-0.201199487,0.423692137,0.395180881,-0.201256841,0.415566742,0.395303935,-0.201597646,0.47659421,0.417808414,-0.004171948,0.404933304,0.409660667,-0.019999346,0.455503941,0.465081751,-0.1845074,0.427511513,0.461920559,-0.190220594,0.510259628,0.579699516,0.009329927,0.354766428,0.5604195,-0.032279249,0.562747359,0.393818676,-0.1484171,0.329495996,0.346549302,-0.18005088,0.511454463,0.205343381,-0.198244914,0.415558398,0.191803694,-0.160738081,0.493833244,0.144435138,-0.242916375,0.441148669,0.147557303,-0.197993442,0.484619677,0.146502703,-0.211235493,0.444501877,0.152971566,-0.152874976,0.487119824,0.175111726,-0.197352514,0.438713223,0.176567286,-0.149180919,0.479280531,0.997815371,-0.008084431,0.367031038,0.986066282,0.009249496,0.461648375,1.354353547,-0.003319548,0.354042262,1.342369556,-0.037139654,0.451789141,1.658129692,0.173312932,0.342613041,1.654412031,0.022463407,0.452631772,1.700389981,0.176808789,0.337691098,1.699065804,0.0192998,0.432217598,1.766595125,-0.065285429,0.358778954,1.758291006,-0.247250795
