Class,1x,1y,1z,2x,2y,2z,3x,3y,3z,4x,4y,4z,5x,5y,5z,6x,6y,6z,7x,7y,7z,8x,8y,8z,9x,9y,9z,10x,10y,10z,11x,11y,11z,12x,12y,12z,13x,13y,13z,14x,14y,14z,15x,15y,15z,16x,16y,16z,17x,17y,17z,18x,18y,18z,19x,19y,19z,20x,20y,20z,21x,21y,21z,22x,22y,22z,23x,23y,23z,24x,24y,24z,25x,25y,25z,26x,26y,26z,27x,27y,27z,28x,28y,28z,29x,29y,29z,30x,30y,30z,31x,31y,31z,32x,32y,32z,33x,33y,33z
A_flat,0.427210182,0.301185727,-0.188489079,0.4333435,0.285211742,-0.163046792,0.437481344,0.284281939,-0.163039923,0.44116649,0.283501118,-0.163108453,0.420791149,0.287445217,-0.170562893,0.416686386,0.288144976,-0.170610756,0.412883669,0.288686216,-0.170672342,0.445407003,0.290852934,-0.042907804,0.40957731,0.295659214,-0.076384068,0.435340554,0.317992121,-0.144928128,0.42045784,0.321211249,-0.155087367,0.471479803,0.372568101,0.003993316,0.387525141,0.371485472,-0.084591933,0.501067519,0.279302329,-0.046576992,0.372536838,0.256465226,-0.17143254,0.456079096,0.186956391,-0.070803307,0.419492155,0.173278272,-0.096663699,0.448465675,0.14739126,-0.093781292,0.434479326,0.143720329,-0.118153892,0.444048226,0.150932133,-0.077379867,0.434631109,0.149006724,-0.09700834,0.443325222,0.166566193,-0.069026172,0.430726588,0.163577139,-0.092108652,0.472729623,0.651985526,0.024574103,0.415640295,0.673737109,-0.024521122,0.538819253,0.800718367,-0.045062888,0.433056206,0.897719562,-0.066525213,0.604603767,0.955604911,0.033201359,0.438147724,1.075261116,-0.012496999,0.609056592,0.987434447,0.03558984,0.444787443,1.096659422,-0.013903499,0.65568608,0.943588257,-0.073733389,0.440451145,1.14441216,-0.151282012
A_flat,0.427101552,0.301463991,-0.183656558,0.433347762,0.285307258,-0.158089191,0.437479347,0.284456223,-0.158103377,0.441158682,0.283801585,-0.158186615,0.420821339,0.2875323,-0.165193468,0.416739613,0.288252741,-0.165229619,0.412950665,0.28879714,-0.165284038,0.445460945,0.29154259,-0.036327865,0.409579337,0.295711398,-0.066941671,0.435132116,0.318014294,-0.139193341,0.420433819,0.321182519,-0.1485807,0.471359342,0.372252017,0.011142494,0.387651503,0.371444106,-0.079394177,0.501457453,0.279299945,-0.040158205,0.375519842,0.257228792,-0.171756372,0.457963079,0.187399417,-0.067512728,0.418658644,0.174782336,-0.126903519,0.448730379,0.147822648,-0.090077184,0.433149904,0.144341484,-0.155745953,0.44414407,0.151060715,-0.074802041,0.433266938,0.149136946,-0.139308929,0.443599135,0.166848376,-0.06614767,0.429604441,0.163723722,-0.125471875,0.472945362,0.651953697,0.023780733,0.415911824,0.6737113,-0.023702884,0.539732337,0.800767004,-0.021124383,0.433154434,0.897290707,-0.042493101,0.607839704,0.955550909,0.078419864,0.438133091,1.069935322,0.05925858,0.613985121,0.986595094,0.082813084,0.444855273,1.090644956,0.062485091,0.657922864,0.944041014,-0.032153714,0.438251913,1.139823675,-0.07672406
A_flat,0.42708087,0.301521093,-0.198919207,0.433359444,0.285311699,-0.174230829,0.437479436,0.284472704,-0.174240947,0.441154182,0.283838779,-0.174339384,0.420853466,0.287537038,-0.181246847,0.416779131,0.288260579,-0.181297839,0.412996531,0.288804114,-0.181344867,0.445481837,0.291624486,-0.052376598,0.409576476,0.295694768,-0.082652241,0.435065329,0.317985386,-0.154078752,0.420431763,0.321068496,-0.16339913,0.471336931,0.37196207,0.001118735,0.388022184,0.371441901,-0.087231144,0.501908422,0.279233456,-0.038437508,0.377786458,0.256482214,-0.170462847,0.459228665,0.188635141,-0.043711677,0.418636739,0.175064147,-0.099635735,0.449086338,0.148765594,-0.062299661,0.433111429,0.144464433,-0.124337956,0.444295019,0.151954323,-0.045554955,0.433275878,0.149139166,-0.108689427,0.443850517,0.168434456,-0.041252341,0.429610491,0.163745493,-0.09823709,0.473087937,0.651871562,0.02323075,0.416125119,0.673427284,-0.023147473,0.54060185,0.800768852,-0.015685543,0.43315798,0.894931734,-0.026139239,0.609067023,0.954641044,0.086896054,0.436826944,1.056569219,0.090332776,0.615471065,0.984583557,0.092046149,0.443781793,1.07643497,0.095550068,0.657920897,0.944312036,-0.022214282,0.434982836,1.125894427,-0.038796924
A_flat,0.427076519,0.30169183,-0.198796451,0.433400393,0.28535831,-0.174101248,0.437495053,0.284543991,-0.174094945,0.441158116,0.283937305,-0.174173087,0.420901358,0.287564039,-0.180511639,0.416832358,0.28828162,-0.180555999,0.413055599,0.288817763,-0.180601582,0.445531845,0.291755259,-0.050379686,0.409582913,0.295626223,-0.078295544,0.435057461,0.318048656,-0.153024688,0.420432568,0.321065426,-0.161556512,0.471337795,0.371822149,0.005948408,0.388227344,0.371244609,-0.086867094,0.502179682,0.279252857,-0.029876104,0.379060715,0.25647983,-0.174910337,0.460321814,0.188689068,-0.041286174,0.419520676,0.174338788,-0.123077415,0.450124353,0.148947835,-0.060859632,0.434166282,0.14416194,-0.151261628,0.445436776,0.152045295,-0.045856945,0.434482634,0.148534909,-0.132568896,0.445008129,0.168589965,-0.03977371,0.430608273,0.163113073,-0.12088871,0.47322315,0.651813805,0.023042673,0.41633454,0.673445046,-0.022956906,0.54102242,0.799692988,-0.007361577,0.433238447,0.894902468,-0.035283849,0.610143363,0.949623108,0.104868531,0.435890436,1.057926297,0.064579733,0.616669416,0.980380595,0.110671952,0.442782223,1.078151464,0.067879789,0.658233523,0.942652643,-0.001579832,0.433339983,1.12703371,-0.070200413
A_flat,0.427118361,0.301844537,-0.198277012,0.433638334,0.285523385,-0.173146039,0.437679708,0.284784347,-0.1731475,0.441296518,0.284272969,-0.173234478,0.421046972,0.287657052,-0.180126116,0.416939437,0.288361162,-0.180171952,0.413150132,0.288873553,-0.180219755,0.445688665,0.292187721,-0.04998818,0.409601629,0.295606166,-0.080422111,0.435080379,0.318094581,-0.15307489,0.420443118,0.321057796,-0.162413269,0.471347988,0.371897221,0.00592029,0.388390124,0.371240407,-0.089561529,0.502754927,0.279659152,-0.030923229,0.379563034,0.255777955,-0.174871519,0.461614519,0.18869777,-0.045259356,0.420380116,0.17434147,-0.118006073,0.451049149,0.149189144,-0.065423548,0.434717953,0.144157797,-0.143819228,0.446243852,0.152131841,-0.05027023,0.435027182,0.148473144,-0.124471113,0.445897728,0.168614089,-0.043791026,0.431230009,0.163077638,-0.114982501,0.473298222,0.651783526,0.023098575,0.41664964,0.673435152,-0.023014661,0.54132992,0.798187315,-0.006546007,0.433358014,0.894655347,-0.037286643,0.610304475,0.944628656,0.10549853,0.434750646,1.056704879,0.065367013,0.616566718,0.976858199,0.111433409,0.441516161,1.07702744,0.068985954,0.659129381,0.941084623,0.001501932,0.431919008,1.125262141,-0.068378225
A_flat,0.427184343,0.301871002,-0.1987537,0.433799505,0.28558892,-0.173138097,0.437789053,0.28489399,-0.173141018,0.441375256,0.284434289,-0.173231974,0.421290249,0.287669867,-0.180735156,0.41719237,0.288367152,-0.180781946,0.413431019,0.28887552,-0.180829674,0.445799172,0.292460471,-0.049586199,0.409759372,0.295556068,-0.082917206,0.435096592,0.318094105,-0.153606921,0.420516402,0.320945919,-0.16387485,0.471345097,0.372107089,0.00644723,0.388470978,0.371246964,-0.092501819,0.503244162,0.280093521,-0.024437359,0.379764467,0.254543602,-0.174964458,0.462948471,0.18874152,-0.03683386,0.421023756,0.174218178,-0.116623819,0.452100992,0.149336979,-0.056055654,0.435364962,0.143938005,-0.143246964,0.44721356,0.152146012,-0.041707799,0.435583889,0.148229182,-0.12291114,0.446922928,0.168610305,-0.035668485,0.431923777,0.16289559,-0.114535883,0.473328173,0.651701152,0.023149174,0.416832834,0.673406303,-0.023064855,0.54146409,0.797888935,-0.00292838,0.433445275,0.894252598,-0.040180646,0.610319316,0.941862345,0.110974409,0.434333086,1.057473063,0.056599088,0.6165663,0.973739564,0.117040731,0.441049635,1.077847123,0.059543461,0.659291387,0.940046966,0.007526129,0.431773186,1.126165509,-0.078708425
A_flat,0.427317709,0.301886439,-0.197777644,0.433996379,0.285690874,-0.17220661,0.437936157,0.285077572,-0.172209337,0.441498369,0.284716904,-0.172297731,0.421580225,0.287686557,-0.179754928,0.417489439,0.288377345,-0.179801539,0.413725764,0.288877994,-0.179851189,0.445983946,0.292857021,-0.049433742,0.409851164,0.295549452,-0.082361735,0.435155392,0.318094939,-0.152839705,0.420626789,0.320851028,-0.163094074,0.471378744,0.372358739,0.007064007,0.388489723,0.371215433,-0.09365575,0.503546834,0.280273318,-0.025759712,0.379748732,0.25338456,-0.181771889,0.463553667,0.188746646,-0.040261559,0.421385944,0.174109384,-0.122082233,0.452809989,0.149368152,-0.059981115,0.435639232,0.143791303,-0.149224997,0.447876215,0.152142853,-0.045302648,0.43588987,0.148033604,-0.129013881,0.447568357,0.168592393,-0.039049335,0.432230622,0.16274938,-0.119478747,0.47335133,0.651693106,0.02333477,0.416859329,0.673483849,-0.023251049,0.541513145,0.797629297,-0.008596781,0.433452457,0.894496083,-0.038838215,0.610208511,0.940537691,0.105321072,0.433591306,1.057475567,0.070492685,0.616356432,0.97291261,0.111592606,0.440324366,1.077807546,0.074749604,0.659448206,0.93873018,0.000582908,0.430655003,1.126270294,-0.063963085
A_flat,0.427358091,0.301752329,-0.191507503,0.434053957,0.285671562,-0.165266946,0.437978685,0.285073221,-0.165275306,0.441531569,0.284717709,-0.165368885,0.421673447,0.287610471,-0.17312403,0.417601049,0.288277179,-0.17316547,0.413854182,0.288727731,-0.173214927,0.44604212,0.292868495,-0.042516507,0.40992561,0.295289963,-0.07675609,0.435189426,0.317874819,-0.14689438,0.420689255,0.320396066,-0.157442361,0.471411616,0.372362316,0.009911122,0.388489813,0.370770395,-0.092673518,0.503896952,0.280597806,-0.025572801,0.37964955,0.252789468,-0.18136932,0.464342177,0.188883528,-0.038204003,0.421474397,0.173980653,-0.11939875,0.453556865,0.149608076,-0.057587795,0.436034828,0.143701643,-0.14589116,0.44868803,0.152206764,-0.041920092,0.43630138,0.147895008,-0.125954509,0.448486179,0.168633148,-0.036551174,0.432688653,0.162623003,-0.116621628,0.473507166,0.651703417,0.023393869,0.416965574,0.673498213,-0.023309695,0.54164207,0.797644734,-0.009811479,0.433482975,0.894504905,-0.029571503,0.61025697,0.941197455,0.104186967,0.433047205,1.054085612,0.09432514,0.616387367,0.9734025,0.110481098,0.439728737,1.074204326,0.10019163,0.659716189,0.938801348,-0.00096825,0.429973215,1.122891784,-0.034769572
A_flat,0.427281708,0.301695049,-0.191066042,0.433949053,0.285509884,-0.164751559,0.437831342,0.284915537,-0.164762154,0.441334814,0.284559727,-0.164852753,0.421632916,0.287455469,-0.172467202,0.417581737,0.288102984,-0.17250599,0.413844287,0.288520336,-0.172558576,0.445799768,0.292714745,-0.042567857,0.409927607,0.295045286,-0.07641609,0.435117096,0.317743599,-0.146785185,0.420688927,0.320278108,-0.157181457,0.47141552,0.372327179,0.005713935,0.388558567,0.370794922,-0.093593694,0.503891528,0.280178905,-0.044965349,0.379576713,0.252472252,-0.197798863,0.464215517,0.187962979,-0.069685727,0.421413571,0.172854751,-0.149273306,0.453530252,0.148895696,-0.091844514,0.436129242,0.142914608,-0.177734897,0.448658615,0.1518448,-0.075536937,0.436414093,0.147309884,-0.156731114,0.448434502,0.168226704,-0.067994528,0.432685465,0.162181303,-0.146308124,0.473570049,0.651719213,0.023598786,0.417064577,0.673547685,-0.023518799,0.541636348,0.797293544,-0.016507167,0.433498085,0.894445658,-0.029813284,0.610231042,0.941404462,0.099650368,0.432905436,1.053509831,0.086180583,0.616300702,0.973772585,0.106575921,0.439563096,1.07383287,0.090904504,0.659816802,0.938814104,-0.006739588,0.429556042,1.121846437,-0.043957479
A_flat,0.426957697,0.301365793,-0.195301324,0.433833599,0.285026133,-0.169132754,0.43773976,0.284502923,-0.169142321,0.441262186,0.284191012,-0.169224828,0.421461731,0.286783874,-0.176859975,0.417430401,0.287336379,-0.176897034,0.413689137,0.287641346,-0.176953971,0.445773125,0.292517811,-0.047161963,0.409804195,0.294189453,-0.080944359,0.434842646,0.317520082,-0.151097476,0.420453399,0.319814533,-0.16142939,0.471260071,0.372176915,-0.001266526,0.388519347,0.370654851,-0.10002251,0.503823638,0.28012535,-0.061381232,0.379482865,0.251583338,-0.208477542,0.46352759,0.188295051,-0.097509727,0.421402752,0.172845691,-0.160988867,0.452875048,0.148927271,-0.121717036,0.436126292,0.142720461,-0.190225765,0.447815806,0.151932552,-0.105107442,0.436390877,0.147273928,-0.170417637,0.447565854,0.168481275,-0.09602385,0.432627499,0.162179738,-0.158481762,0.473664522,0.651704252,0.023933288,0.417090565,0.673498094,-0.023863977,0.541631818,0.797290862,-0.017591137,0.433620125,0.894344509,-0.03109107,0.609003901,0.940611601,0.1041978,0.432749122,1.051797986,0.089046195,0.613961697,0.972561896,0.111615337,0.439333379,1.071599007,0.094534621,0.658264697,0.942341447,-0.000289492,0.429677069,1.121483564,-0.040819328
