Class,1x,1y,1z,2x,2y,2z,3x,3y,3z,4x,4y,4z,5x,5y,5z,6x,6y,6z,7x,7y,7z,8x,8y,8z,9x,9y,9z,10x,10y,10z,11x,11y,11z,12x,12y,12z,13x,13y,13z,14x,14y,14z,15x,15y,15z,16x,16y,16z,17x,17y,17z,18x,18y,18z,19x,19y,19z,20x,20y,20z,21x,21y,21z,22x,22y,22z,23x,23y,23z,24x,24y,24z,25x,25y,25z,26x,26y,26z,27x,27y,27z,28x,28y,28z,29x,29y,29z,30x,30y,30z,31x,31y,31z,32x,32y,32z,33x,33y,33z
C_sharp,0.545644164,0.299338073,-0.235841244,0.55510205,0.28627336,-0.203501493,0.558451056,0.28942591,-0.203499407,0.561320066,0.292243063,-0.203584313,0.542877793,0.276438236,-0.209092349,0.537812591,0.272828639,-0.209133148,0.532957017,0.269160062,-0.209134191,0.560803294,0.302485913,-0.049175348,0.525860071,0.270197481,-0.072527722,0.547208846,0.324928343,-0.179906622,0.531975687,0.31244725,-0.186669394,0.565131366,0.427837402,0.047637008,0.484704822,0.327983648,-0.100010559,0.621555448,0.502769828,-0.049322478,0.507344186,0.189704537,-0.258426487,0.686024427,0.452732265,-0.235927939,0.565366864,0.104864053,-0.321515799,0.705105782,0.438281387,-0.27673465,0.581746101,0.083975613,-0.366065502,0.705519676,0.424361706,-0.287135988,0.589339077,0.094853945,-0.353781939,0.696907997,0.430317223,-0.250329942,0.585425913,0.10274756,-0.324185371,0.484974772,0.678445697,0.02922008,0.427041709,0.621859789,-0.028914306,0.472797722,0.885349274,-0.025293434,0.332515985,0.774556398,-0.155561134,0.449725449,1.090643644,0.136607349,0.227130026,0.923389792,-0.074586265,0.440161884,1.111286283,0.1447258,0.218310028,0.938430846,-0.073474437,0.445934772,1.169397593,0.015146552,0.193995446,0.978985429,-0.244559243
C_sharp,0.545949221,0.30119592,-0.239144325,0.555196762,0.28741464,-0.207202107,0.558471859,0.290335923,-0.207205325,0.56131953,0.292994827,-0.207304761,0.543178678,0.277633488,-0.213557929,0.538258612,0.27383855,-0.213582635,0.533500791,0.269932121,-0.213592052,0.560804307,0.303098738,-0.052072354,0.525898814,0.2702066,-0.078722365,0.54729712,0.325450569,-0.18218112,0.532476902,0.313257486,-0.189855531,0.56491214,0.427900612,0.047642767,0.484724134,0.32749936,-0.10566213,0.621810675,0.502845705,-0.016410833,0.508864462,0.190029845,-0.264157891,0.687373996,0.452945828,-0.157834247,0.567554951,0.104618154,-0.328484207,0.706879854,0.438850224,-0.189580411,0.582421839,0.083840139,-0.371648759,0.707178175,0.424488187,-0.201282427,0.589640141,0.094043262,-0.360612661,0.69844085,0.430650532,-0.171206921,0.585594237,0.101836123,-0.331284136,0.484838068,0.678438723,0.02865977,0.426561683,0.62226522,-0.028372949,0.472823054,0.89072758,-0.023841765,0.332109362,0.773987174,-0.110726811,0.459666908,1.091512203,0.135984272,0.227330327,0.923361123,-0.010786237,0.449731112,1.112550974,0.143867761,0.219874576,0.938429952,-0.008352119,0.462158352,1.169704795,0.014773248,0.189499468,0.973482013,-0.168238193
C_sharp,0.54664427,0.302581817,-0.230883241,0.55548799,0.288282126,-0.199165225,0.558615804,0.291010618,-0.19917883,0.56136924,0.293539345,-0.199285105,0.543722153,0.278763324,-0.206768081,0.538856149,0.27491641,-0.206773192,0.53407985,0.270879209,-0.206783965,0.560818195,0.303613037,-0.046063654,0.52593708,0.270387501,-0.077701032,0.547610998,0.326024175,-0.174396694,0.533244252,0.314254761,-0.18360737,0.564577997,0.427920073,0.052206427,0.484990507,0.327439964,-0.105312787,0.621810436,0.50290978,-0.011178844,0.510353744,0.190697804,-0.263754159,0.688050389,0.454107106,-0.160609484,0.568447948,0.103835784,-0.325359881,0.708094537,0.440853149,-0.194013447,0.582426727,0.082748286,-0.367132127,0.70809567,0.425965369,-0.206524104,0.589621782,0.091818765,-0.35719505,0.699167848,0.432316512,-0.174715951,0.585593879,0.099502116,-0.328445643,0.484573603,0.678717315,0.028471809,0.426003993,0.623289466,-0.028191742,0.472852081,0.896434188,-0.021360105,0.329999566,0.774334311,-0.09367241,0.461597055,1.092119813,0.136668354,0.227330595,0.923517764,0.0053289,0.451417118,1.113178134,0.144492775,0.220692202,0.938897371,0.007479207,0.465341389,1.170268416,0.017005805,0.186219871,0.970669329,-0.150547817
C_sharp,0.547146082,0.303777009,-0.231200054,0.55571723,0.289284825,-0.199413091,0.558730066,0.291882128,-0.199422389,0.561412513,0.294311136,-0.199523643,0.544183552,0.279850274,-0.207411095,0.539383888,0.275897443,-0.207411885,0.53463459,0.271710187,-0.20742476,0.560822546,0.304141581,-0.046104766,0.526029348,0.270549268,-0.081387274,0.547811925,0.326523453,-0.174813032,0.533741951,0.314945579,-0.184509665,0.564200044,0.42808944,0.051971536,0.485248566,0.327245682,-0.11421901,0.621823311,0.502971768,-0.011349155,0.511261761,0.190844029,-0.274053365,0.688529611,0.454648674,-0.161589682,0.569160581,0.102382913,-0.329375088,0.709437668,0.441423714,-0.194212765,0.582401514,0.08078634,-0.371102095,0.709229946,0.4263632,-0.207637504,0.58956331,0.089185812,-0.360270441,0.700028658,0.43290332,-0.176040053,0.585588574,0.097004741,-0.332002282,0.484363079,0.678829849,0.029091477,0.425810009,0.623545051,-0.028820548,0.472846329,0.900680006,-0.017270168,0.329710305,0.774312615,-0.09791211,0.461303234,1.092828393,0.14242208,0.227347061,0.923573911,0.004341695,0.450933218,1.113893628,0.150567815,0.220733404,0.93887347,0.007039909,0.466165006,1.17111516,0.025839284,0.186359882,0.96902591,-0.151745453
C_sharp,0.54737848,0.304252923,-0.229481772,0.555817842,0.289678037,-0.19702363,0.558776617,0.292200953,-0.197041184,0.56142509,0.294572711,-0.197140694,0.544405162,0.280382335,-0.205115363,0.539687276,0.276460797,-0.205118701,0.53500545,0.272275537,-0.205122918,0.56082803,0.304359168,-0.041979983,0.526158154,0.270771265,-0.077859864,0.547934949,0.326718926,-0.172618851,0.534081161,0.315293878,-0.182460517,0.564200342,0.428201199,0.053084008,0.485317141,0.327286303,-0.113710724,0.621822596,0.502986312,-0.024927532,0.511317313,0.19180277,-0.273739874,0.688470006,0.456519604,-0.207087398,0.569103003,0.101132371,-0.335251987,0.709411025,0.443914533,-0.245191306,0.582139313,0.078863092,-0.378411382,0.709163308,0.42840302,-0.257999092,0.589446187,0.087580882,-0.366839468,0.700006485,0.435104996,-0.222165376,0.585470796,0.095650025,-0.337728083,0.48409906,0.678935289,0.029070342,0.425713867,0.623636067,-0.028798889,0.472825438,0.900538146,-0.017626023,0.329865545,0.773148179,-0.108371243,0.461125225,1.093708754,0.135947198,0.227452248,0.92355603,-0.011577239,0.450685322,1.114984512,0.143324271,0.220902607,0.938666463,-0.009429066,0.465616316,1.171318293,0.017450148,0.186580479,0.968569756,-0.170493484
C_sharp,0.547396779,0.304530859,-0.229443043,0.555827737,0.289796174,-0.196905434,0.558778703,0.292288154,-0.196924672,0.561420321,0.294638485,-0.197026327,0.544420242,0.280513525,-0.204785675,0.539702773,0.276570499,-0.204791695,0.535018384,0.272353739,-0.204794124,0.560792148,0.30440098,-0.041517455,0.526159644,0.270784736,-0.076418944,0.547940731,0.326828659,-0.172457367,0.534124017,0.315443665,-0.182062149,0.564164817,0.428202212,0.054309942,0.48530069,0.327303112,-0.112791374,0.621822238,0.502997696,-0.024882995,0.511274576,0.193373993,-0.272932708,0.688457608,0.457872093,-0.198339537,0.56864512,0.100607216,-0.335712045,0.709359169,0.445273459,-0.234753519,0.581115961,0.077985257,-0.37898308,0.709104419,0.429407239,-0.247195795,0.588123441,0.08649233,-0.367433816,0.699983001,0.436272204,-0.212929532,0.584150195,0.094679132,-0.338246882,0.484002352,0.679234505,0.029132292,0.42562905,0.623752236,-0.028860677,0.47277227,0.902418852,-0.017441165,0.329995751,0.772910058,-0.107714452,0.460663319,1.095012546,0.135576457,0.227442622,0.923595846,-0.010594973,0.450242132,1.116501927,0.142898291,0.220885038,0.938523412,-0.008282715,0.464976847,1.172135472,0.017341575,0.186035663,0.968630552,-0.167922467
C_sharp,0.547390461,0.304504901,-0.228926018,0.555826068,0.28973341,-0.196341842,0.558771789,0.292221218,-0.196365625,0.561404347,0.294567347,-0.196469337,0.544406414,0.280395329,-0.203926966,0.539684415,0.276425481,-0.203937963,0.534996808,0.272187978,-0.203941375,0.560775876,0.30431515,-0.040782169,0.526153624,0.270579547,-0.073736064,0.547941327,0.32677871,-0.171876252,0.534118712,0.315403908,-0.181112409,0.564183176,0.428103566,0.055389859,0.485200733,0.327325433,-0.110140145,0.621814251,0.503051817,-0.026108596,0.510061383,0.195144951,-0.272818267,0.68843329,0.458477795,-0.199123114,0.566059291,0.098663539,-0.342353612,0.70925945,0.445988536,-0.235690564,0.578358471,0.075435691,-0.38639003,0.709059,0.430002123,-0.247571394,0.584814906,0.082732603,-0.374291003,0.699939847,0.436882704,-0.213592976,0.581152439,0.090747811,-0.34484908,0.483921438,0.680022538,0.029115852,0.425409943,0.624572039,-0.028842216,0.4727723,0.902682424,-0.017753925,0.330260187,0.772601545,-0.112067863,0.460745811,1.09583652,0.135602862,0.227454931,0.923614085,-0.015182537,0.450276434,1.117485881,0.142957479,0.220982119,0.938462734,-0.012559457,0.465067387,1.172783017,0.017330034,0.186027631,0.968777776,-0.173064142
C_sharp,0.547392786,0.304334342,-0.234755233,0.555832982,0.289536506,-0.203363255,0.558774829,0.292050481,-0.203391701,0.561404645,0.29441756,-0.20350416,0.544404864,0.280058831,-0.210267693,0.539680779,0.276081055,-0.21028614,0.534992516,0.271861404,-0.210297912,0.560785174,0.304229259,-0.04988236,0.526172161,0.270378083,-0.079395086,0.54794848,0.326654583,-0.178081736,0.534116983,0.315293342,-0.186587259,0.564468265,0.428101122,0.046852656,0.485028118,0.327312946,-0.109831169,0.621998787,0.503105521,-0.03768314,0.508757114,0.195114136,-0.273858368,0.68896997,0.45840472,-0.208890408,0.564589202,0.097126476,-0.348124772,0.71041429,0.445906013,-0.245360166,0.576801181,0.073640004,-0.391727507,0.710169733,0.429984152,-0.254819691,0.58295697,0.080088913,-0.380545467,0.700821936,0.436791569,-0.222049236,0.579635501,0.088088229,-0.35094136,0.483915985,0.680231214,0.028662616,0.425364435,0.624675632,-0.028378502,0.472775608,0.902402997,-0.018742112,0.330304027,0.772519767,-0.111869857,0.460468143,1.09582448,0.135739133,0.227530167,0.923823059,-0.010789073,0.450047016,1.117451549,0.143217564,0.221184418,0.938596964,-0.008097803,0.464435816,1.172780037,0.017321834,0.186161608,0.968909264,-0.170393452
C_sharp,0.547395706,0.304311574,-0.241481259,0.555834115,0.289528221,-0.210282847,0.558773994,0.29204607,-0.210306555,0.561399162,0.294415146,-0.210419625,0.54440248,0.280045897,-0.216595098,0.539677978,0.276071191,-0.21661973,0.534988284,0.271855265,-0.216630608,0.560788393,0.304239541,-0.056784164,0.526171565,0.270396858,-0.083714336,0.547954738,0.326654315,-0.184821159,0.534118295,0.315297514,-0.192618683,0.564715743,0.428103417,0.040782541,0.485026985,0.32754153,-0.11035721,0.622210324,0.503387988,-0.039394222,0.508518755,0.195079491,-0.273881733,0.689233482,0.45831871,-0.208361775,0.564538598,0.097144552,-0.350021958,0.710725486,0.445839524,-0.244340152,0.576915503,0.073821001,-0.39383775,0.710422635,0.429939091,-0.253336847,0.583212018,0.080518089,-0.383368909,0.700988352,0.436657846,-0.221048385,0.579792738,0.088523179,-0.353158951,0.483926058,0.680238008,0.028154129,0.425362915,0.624746501,-0.02786549,0.472839028,0.899824798,-0.023496943,0.330472887,0.772494912,-0.112125635,0.460273445,1.095692277,0.134055644,0.228089496,0.92381829,-0.014092624,0.449866116,1.117331147,0.141819865,0.221873313,0.938595057,-0.011430854,0.463970572,1.172518611,0.014633101,0.18656683,0.969004154,-0.174087301
C_sharp,0.547406793,0.304190487,-0.237416223,0.55582267,0.28944701,-0.206791759,0.558760822,0.291950196,-0.206819817,0.561386049,0.294302255,-0.206933454,0.54434216,0.280003339,-0.213014513,0.539588809,0.276050448,-0.213029981,0.534886718,0.271850467,-0.213035941,0.560791612,0.304195255,-0.05570934,0.526117206,0.270497441,-0.082029141,0.548019171,0.326594979,-0.181455642,0.534130633,0.315288126,-0.189168602,0.565085769,0.428109527,0.041600406,0.485052019,0.327606112,-0.109934092,0.622625768,0.50373596,-0.040782101,0.508522213,0.194590256,-0.275448918,0.689552486,0.458290398,-0.213866785,0.564764738,0.097589597,-0.354738832,0.710979342,0.44583562,-0.250630945,0.577271819,0.075505652,-0.398387045,0.710584283,0.429906636,-0.259338439,0.583894074,0.083314523,-0.386823624,0.701125085,0.436636686,-0.226501912,0.580109477,0.090953156,-0.357328176,0.483925164,0.680274487,0.028046589,0.425331354,0.624865949,-0.02775603,0.472876877,0.898154974,-0.023909364,0.330424845,0.772742689,-0.107647024,0.46024543,1.094471693,0.134036928,0.228410035,0.923823059,-0.00929342,0.449782193,1.115887523,0.14186281,0.222315833,0.938631415,-0.007021217,0.464132309,1.171247244,0.014660211,0.18719618,0.969081938,-0.168384701
