Class,1x,1y,1z,2x,2y,2z,3x,3y,3z,4x,4y,4z,5x,5y,5z,6x,6y,6z,7x,7y,7z,8x,8y,8z,9x,9y,9z,10x,10y,10z,11x,11y,11z,12x,12y,12z,13x,13y,13z,14x,14y,14z,15x,15y,15z,16x,16y,16z,17x,17y,17z,18x,18y,18z,19x,19y,19z,20x,20y,20z,21x,21y,21z,22x,22y,22z,23x,23y,23z,24x,24y,24z,25x,25y,25z,26x,26y,26z,27x,27y,27z,28x,28y,28z,29x,29y,29z,30x,30y,30z,31x,31y,31z,32x,32y,32z,33x,33y,33z
E,0.478998601,0.54441309,-0.473404706,0.490848631,0.52311337,-0.422682464,0.497543752,0.524764836,-0.422639847,0.503451705,0.52616334,-0.422290891,0.469221056,0.52504164,-0.416140795,0.461389929,0.526859939,-0.415969551,0.453546584,0.528566062,-0.416155517,0.513325632,0.552664399,-0.189987198,0.437734544,0.553342283,-0.149802402,0.493190587,0.586065412,-0.400158107,0.462625921,0.587415516,-0.389765173,0.57369864,0.758927166,-0.139672264,0.371104211,0.755606949,-0.052941382,0.70986557,0.738419116,-0.401957422,0.227029949,0.69294101,-0.14047648,0.681617081,0.50639379,-0.657270789,0.27723068,0.474481612,-0.201904804,0.689019263,0.452000737,-0.722432554,0.278475702,0.412113369,-0.244238093,0.673212111,0.448043823,-0.685870767,0.295351386,0.411503434,-0.182908878,0.667360127,0.468926191,-0.656949759,0.299490213,0.432777584,-0.189912632,0.54819876,1.278825164,-0.041230336,0.39404884,1.280215144,0.043228991,0.539024353,1.701172948,0.087755032,0.399009436,1.695379853,0.144921675,0.544334888,2.054126501,0.448611319,0.406385124,2.052276373,0.424833477,0.548810601,2.10357523,0.467765331,0.401604325,2.094739914,0.444655716,0.530773699,2.171209812,0.167827263,0.434175193,2.181794643,0.11636889
E,0.47900635,0.544210494,-0.473184884,0.490815103,0.523139834,-0.422177136,0.497476429,0.524781108,-0.422120184,0.503420353,0.526166797,-0.421775043,0.469314873,0.525045156,-0.416172355,0.461674631,0.526861846,-0.416006863,0.453960747,0.528574347,-0.416199267,0.51323849,0.55246532,-0.188552946,0.437728822,0.553396106,-0.158134311,0.493165076,0.585267723,-0.399627268,0.462650299,0.586525142,-0.39026171,0.573633552,0.758628905,-0.124071255,0.370809376,0.755579531,-0.072067291,0.708832383,0.737972856,-0.362126082,0.227024883,0.69340241,-0.26260671,0.681850374,0.506795168,-0.602752507,0.275283962,0.481124371,-0.443238258,0.68862164,0.4519853,-0.665898085,0.277414531,0.417093813,-0.505358517,0.67304796,0.447528958,-0.630731106,0.293659985,0.415514767,-0.45061484,0.667357743,0.468287945,-0.602903545,0.297754526,0.437573016,-0.437304795,0.543008208,1.275489688,-0.038431976,0.392257273,1.276914358,0.04042355,0.534125924,1.693799853,0.031345844,0.394159049,1.685589314,0.092677072,0.535717785,2.049196959,0.34168303,0.397652805,2.04715991,0.310325295,0.539501011,2.098523617,0.355500668,0.393245608,2.092834711,0.323445499,0.52069813,2.168192625,0.052066654,0.422096342,2.171013594,-0.003246394
E,0.479294956,0.544152856,-0.474597871,0.490852684,0.523165047,-0.422599792,0.497481108,0.524798274,-0.422538698,0.503431439,0.526170969,-0.422199309,0.469685614,0.525024652,-0.418365777,0.462126553,0.526814878,-0.418229669,0.454557657,0.528512776,-0.418434322,0.513046503,0.552307367,-0.187698364,0.437705219,0.553344309,-0.16545561,0.493204445,0.584911287,-0.39998275,0.46273312,0.585986435,-0.393696815,0.57324636,0.757466435,-0.116419196,0.37050277,0.755752921,-0.073301286,0.708080709,0.737778068,-0.326468527,0.227026016,0.693711162,-0.24697201,0.682113767,0.506793439,-0.53610307,0.274629921,0.482810944,-0.416700989,0.688408256,0.451750308,-0.596062601,0.276690662,0.418825775,-0.477866232,0.672933459,0.446461231,-0.561577201,0.29248637,0.41653946,-0.423847526,0.667360425,0.466852784,-0.536111951,0.296768486,0.438734233,-0.411161482,0.542249978,1.271580815,-0.038185272,0.392530501,1.275268674,0.040200684,0.53418988,1.689822197,-0.003346059,0.39421308,1.682436943,0.068020329,0.535642684,2.047561169,0.299217492,0.398235589,2.046855927,0.269632757,0.539337277,2.09722352,0.31167987,0.393802553,2.093072414,0.280759156,0.520753026,2.167004585,0.002415989,0.422650903,2.168917656,-0.049840402
E,0.483117908,0.543870568,-0.478883594,0.492962539,0.522956669,-0.425834358,0.499129623,0.524542511,-0.425763696,0.504803896,0.52595371,-0.425434649,0.473535478,0.524386108,-0.424568892,0.465480477,0.526237011,-0.424472719,0.457876056,0.527993143,-0.424703896,0.513064146,0.552136183,-0.187740311,0.438265085,0.553022742,-0.176770717,0.49511233,0.584487975,-0.402404398,0.465327322,0.585576475,-0.400125802,0.573096633,0.75653863,-0.115183868,0.370294183,0.75570333,-0.084114313,0.707862496,0.737439156,-0.331829816,0.226690084,0.694169283,-0.270393819,0.682103992,0.505951345,-0.5622769,0.274084032,0.482746094,-0.45130524,0.688131392,0.451170653,-0.625531614,0.276332349,0.418880492,-0.514270782,0.672812223,0.445064127,-0.590802312,0.292153239,0.416586399,-0.458526433,0.667333663,0.464952886,-0.56273526,0.296560466,0.438716292,-0.444986433,0.542242408,1.270337105,-0.036698069,0.39256373,1.274715781,0.038691062,0.534264207,1.688839912,0.010054137,0.39435178,1.682198405,0.069591835,0.534631789,2.047558069,0.326454461,0.397848755,2.046897888,0.28588137,0.537890553,2.097218752,0.340549469,0.393446386,2.094155788,0.298718989,0.519860923,2.167056799,0.034696162,0.421395957,2.169099331,-0.033591986
E,0.48911491,0.541716576,-0.478751421,0.495954424,0.521801054,-0.425233066,0.501369953,0.523512423,-0.425144047,0.506653011,0.525140405,-0.424805015,0.478452921,0.522401869,-0.424978554,0.470565706,0.52436924,-0.424919218,0.462496698,0.52654469,-0.425157964,0.513195634,0.551552773,-0.178275362,0.439942658,0.552719355,-0.183500245,0.499425024,0.582349479,-0.400915772,0.471901745,0.584269702,-0.40092364,0.573353231,0.756357431,-0.097523928,0.370284915,0.755676925,-0.117174841,0.707823992,0.737034798,-0.320375323,0.226292178,0.694349051,-0.40844065,0.682090819,0.505187929,-0.563091695,0.274031013,0.482631177,-0.693774045,0.687405884,0.450474262,-0.622976959,0.276240647,0.418817341,-0.77179116,0.672408342,0.444186538,-0.586213708,0.292015553,0.41637218,-0.715814054,0.667195618,0.463917673,-0.562561154,0.296543658,0.438338429,-0.689794898,0.542475343,1.270443916,-0.030021403,0.393648982,1.275392294,0.031786043,0.534510255,1.689149022,0.008301816,0.39581722,1.682495117,0.010758577,0.534893095,2.048743725,0.309126318,0.398170412,2.052556515,0.20126608,0.537796557,2.09838438,0.32168299,0.393727809,2.104398727,0.211253881,0.52035135,2.16936779,0.021225182,0.421232611,2.169420004,-0.124381684
E,0.491056979,0.541736722,-0.471824229,0.497465909,0.522210717,-0.416387141,0.502721906,0.52394253,-0.416319847,0.508015454,0.525664926,-0.41599226,0.480409324,0.522418439,-0.42009297,0.472490638,0.524372935,-0.420085758,0.464215368,0.526533008,-0.420375586,0.513427317,0.551918268,-0.16894874,0.440822214,0.552753806,-0.180653229,0.500508189,0.582564771,-0.392113,0.473715127,0.584375143,-0.397747755,0.573367,0.756629407,-0.085897796,0.370115817,0.755686462,-0.112803832,0.707693458,0.736494899,-0.279910207,0.225643322,0.69425559,-0.383558184,0.682083845,0.504759192,-0.488336861,0.273700535,0.482522458,-0.640915036,0.686490238,0.449678302,-0.541526675,0.276180446,0.418756813,-0.715545535,0.671827734,0.443374753,-0.508266866,0.291944802,0.416336387,-0.659066975,0.667060912,0.46320343,-0.488128573,0.296471149,0.438313246,-0.635831118,0.541592717,1.269971967,-0.025703376,0.393630445,1.275414109,0.027374947,0.534554303,1.688255429,-0.008786495,0.396278203,1.682159781,-0.008026244,0.535041273,2.048790932,0.272543728,0.39836055,2.054379225,0.161135375,0.537726998,2.098432302,0.283301771,0.394153744,2.107770681,0.168835267,0.520663857,2.169822931,-0.015497674,0.421714455,2.169752598,-0.160455674
E,0.491812766,0.541739643,-0.469570547,0.497988284,0.522221982,-0.413739532,0.503175139,0.523956418,-0.413661003,0.508402467,0.525696933,-0.413326681,0.481013447,0.522305906,-0.417789042,0.473032296,0.524227619,-0.417808533,0.464682966,0.526385427,-0.418097407,0.513442755,0.552043438,-0.168235287,0.44119519,0.552768469,-0.178996444,0.501070738,0.582620978,-0.390359104,0.474548906,0.584406853,-0.396621913,0.573841453,0.756657183,-0.090600289,0.370114505,0.756020784,-0.111668371,0.707638383,0.735890985,-0.295949221,0.225299805,0.693924606,-0.389256805,0.682044685,0.504962206,-0.503417671,0.27344662,0.482442886,-0.656998992,0.685787141,0.449679404,-0.557903051,0.276145399,0.418778479,-0.733486652,0.671535134,0.443438381,-0.5226987,0.291873872,0.416322321,-0.674188375,0.667005897,0.463439554,-0.502501905,0.296385705,0.438239634,-0.651443481,0.541493893,1.268673539,-0.024303559,0.393931448,1.27483201,0.025925005,0.534542263,1.687350273,-0.010766102,0.396878064,1.681782365,-0.00826582,0.535084128,2.048829556,0.265556216,0.398799658,2.055446386,0.155760333,0.537667513,2.098551035,0.275918812,0.394901961,2.109092712,0.162712365,0.520935416,2.169865847,-0.021059634,0.422095299,2.169996738,-0.164794654
E,0.492667615,0.541602731,-0.466529191,0.498958498,0.522203088,-0.410415083,0.504030883,0.523950636,-0.410344034,0.509153426,0.525699198,-0.410016149,0.481915057,0.52196455,-0.415186793,0.473937213,0.523812056,-0.415222108,0.465393543,0.525985658,-0.415527165,0.513669431,0.552069128,-0.167209178,0.44155702,0.552754223,-0.180950865,0.501802504,0.582597136,-0.387992054,0.475398391,0.584252834,-0.395518333,0.573993385,0.756984115,-0.091008164,0.369895309,0.75600338,-0.117740497,0.707339048,0.735814095,-0.299864739,0.22467725,0.693533599,-0.397311866,0.681871355,0.505228579,-0.509032011,0.27278614,0.482379436,-0.66054529,0.685284972,0.449882537,-0.563408256,0.275822222,0.418795049,-0.736667037,0.67118144,0.443822265,-0.528711379,0.291723013,0.41634962,-0.680337667,0.666830242,0.4640266,-0.508512139,0.296233475,0.438196898,-0.655731916,0.5411461,1.269545913,-0.021608246,0.393946528,1.276564956,0.023249619,0.534544528,1.687771082,-0.029953066,0.396923661,1.682142496,-0.049720455,0.535096288,2.052968979,0.219844729,0.398674071,2.060901642,0.086410813,0.537546515,2.103302002,0.227348,0.39475441,2.116411209,0.090156995,0.521147847,2.175619602,-0.069053277,0.421694934,2.172687531,-0.235794097
E,0.49327597,0.541604638,-0.46758619,0.499766588,0.522290826,-0.41078037,0.504769325,0.524090827,-0.410695642,0.509844899,0.525927663,-0.410362065,0.482472122,0.521870553,-0.416493893,0.474434078,0.523616433,-0.416514963,0.465729147,0.525720954,-0.416813046,0.513839424,0.552186906,-0.168073282,0.441744417,0.552646875,-0.180545479,0.502095819,0.582683146,-0.388411701,0.475606769,0.584257364,-0.395966321,0.574148178,0.757097363,-0.093599059,0.369790077,0.75603652,-0.116153911,0.707186401,0.735682368,-0.310172796,0.223316029,0.693555593,-0.407446384,0.681763113,0.505961001,-0.523874521,0.272609502,0.48233664,-0.694059074,0.684957802,0.450832456,-0.580047548,0.275752962,0.418773115,-0.772184074,0.670905769,0.445164949,-0.548043847,0.291716427,0.416357666,-0.713576078,0.666680217,0.465089202,-0.524556696,0.296235979,0.438151389,-0.689067483,0.541011155,1.270282626,-0.022574048,0.393147647,1.277085304,0.024254857,0.534531295,1.687932849,-0.020544866,0.39669323,1.682522893,-0.017359553,0.535182774,2.052972078,0.252946645,0.39871347,2.060414553,0.157782525,0.5376724,2.103286505,0.264061064,0.394790351,2.115690947,0.165280253,0.521205425,2.175531626,-0.033749372,0.421759069,2.172351837,-0.157175377
E,0.493784726,0.541607618,-0.46126762,0.500308394,0.522492886,-0.405272394,0.505265832,0.524336934,-0.405191481,0.510280132,0.526246488,-0.404854923,0.482778132,0.521876752,-0.410267353,0.474676281,0.523614645,-0.410271347,0.465886652,0.525712669,-0.410583109,0.513895631,0.552429438,-0.162466496,0.441866338,0.552673876,-0.178954944,0.502494931,0.58269006,-0.382682025,0.476125658,0.584254682,-0.389683068,0.574296296,0.757143915,-0.085565656,0.369785607,0.75617379,-0.111644104,0.707014799,0.734654486,-0.278706163,0.22309792,0.693461716,-0.367162853,0.68144691,0.506311417,-0.480203301,0.272554576,0.480803072,-0.600126863,0.68440038,0.451350391,-0.532086611,0.275727332,0.418223649,-0.670143604,0.670503378,0.445964098,-0.498314798,0.291671991,0.415712684,-0.612234294,0.666425526,0.465714604,-0.47973308,0.296175927,0.437037736,-0.594048619,0.541037619,1.270344973,-0.022828232,0.393132269,1.277196288,0.024527242,0.534545541,1.688067436,-0.008539431,0.396832019,1.682659268,-0.007778672,0.535239041,2.052898884,0.27867049,0.398993433,2.060328245,0.171527773,0.537772536,2.103119135,0.290435255,0.39508751,2.11500144,0.180607885,0.521843791,2.175457001,-0.007234885,0.421859592,2.172358513,-0.147451445
