Class,1x,1y,1z,2x,2y,2z,3x,3y,3z,4x,4y,4z,5x,5y,5z,6x,6y,6z,7x,7y,7z,8x,8y,8z,9x,9y,9z,10x,10y,10z,11x,11y,11z,12x,12y,12z,13x,13y,13z,14x,14y,14z,15x,15y,15z,16x,16y,16z,17x,17y,17z,18x,18y,18z,19x,19y,19z,20x,20y,20z,21x,21y,21z,22x,22y,22z,23x,23y,23z,24x,24y,24z,25x,25y,25z,26x,26y,26z,27x,27y,27z,28x,28y,28z,29x,29y,29z,30x,30y,30z,31x,31y,31z,32x,32y,32z,33x,33y,33z
F,0.383123964,0.423607469,-0.622097075,0.397968173,0.396523356,-0.567794323,0.405571371,0.398712993,-0.567608774,0.413107485,0.401998699,-0.567216754,0.373418927,0.393959969,-0.561622679,0.364839166,0.394391388,-0.561526179,0.356514722,0.394984275,-0.561683297,0.424246073,0.430815279,-0.300916255,0.346280932,0.420920044,-0.257976741,0.398318976,0.469996393,-0.531626582,0.36475262,0.464378655,-0.520917892,0.496367067,0.637894213,-0.151127592,0.275947958,0.627348304,-0.194222033,0.661537409,0.648352027,-0.063589923,0.141351178,0.571034729,-0.430118859,0.81255579,0.602915108,-0.1185688,0.213434786,0.340850115,-0.638408244,0.861888111,0.604267061,-0.12643908,0.215599447,0.263077319,-0.701697886,0.864850402,0.598962247,-0.178143561,0.226233214,0.25843662,-0.65590179,0.848157406,0.600158095,-0.150642276,0.230492502,0.288448572,-0.636607766,0.463689148,1.201368093,-0.060627054,0.295428097,1.194117188,0.06249211,0.453482717,1.62573576,0.005066327,0.305171549,1.619574785,0.069334395,0.445895344,1.998838782,0.412172556,0.30397588,1.994217038,0.353404164,0.447999239,2.048175335,0.435147822,0.299424082,2.042708635,0.373914957,0.43810606,2.131566048,0.095475577,0.329174995,2.126172304,-0.006938922
F,0.382155091,0.426107436,-0.628128469,0.39750126,0.398312032,-0.572521985,0.405441195,0.399952412,-0.572386563,0.412984759,0.402619302,-0.57201612,0.372831345,0.397083312,-0.562334299,0.364325792,0.397677451,-0.562194467,0.355971098,0.398869067,-0.562339067,0.424728483,0.430795133,-0.308334261,0.346258998,0.423033237,-0.245791599,0.398256183,0.471252054,-0.541294098,0.364332557,0.467712432,-0.523297966,0.496440887,0.638660431,-0.178878918,0.277457088,0.630987167,-0.144434303,0.660408556,0.637847364,-0.115305588,0.141128749,0.571101069,-0.20522289,0.810195446,0.580049753,-0.172324508,0.212594911,0.341895789,-0.205307961,0.861086965,0.587728322,-0.18623963,0.215695187,0.264896244,-0.233444124,0.861534953,0.58462888,-0.236144856,0.22736533,0.262880445,-0.189994007,0.843228221,0.582570732,-0.205122992,0.231038183,0.291034162,-0.198438585,0.462280214,1.203495741,-0.076561183,0.29465723,1.196432948,0.078622244,0.450209767,1.632646799,-0.02815108,0.300539523,1.626098633,0.155861825,0.442256987,2.006005526,0.374696106,0.301473349,1.995643735,0.464772612,0.444225162,2.055256367,0.395848662,0.296611518,2.042955637,0.487342119,0.433798552,2.137484789,0.044860885,0.326320589,2.130544901,0.117556095
F,0.381854236,0.427066267,-0.64383024,0.397451967,0.398952693,-0.589209914,0.40544945,0.400336802,-0.589096189,0.412983835,0.402733237,-0.588731527,0.372656167,0.398332328,-0.575609446,0.364143014,0.398950785,-0.575369716,0.355761886,0.400313109,-0.575481176,0.425321251,0.430237025,-0.326221913,0.346254706,0.42346251,-0.246579498,0.398263365,0.47156477,-0.557570457,0.36420837,0.468532443,-0.535915196,0.496553242,0.639151692,-0.200322717,0.278432041,0.633317411,-0.143687487,0.659441411,0.631731331,-0.138074085,0.140977234,0.571225882,-0.222130984,0.810172915,0.569587886,-0.188767552,0.211957499,0.341875553,-0.256980509,0.861163616,0.581399322,-0.20509617,0.215855837,0.264935315,-0.290664732,0.861153781,0.58038938,-0.25512594,0.228503913,0.26431191,-0.247219056,0.842380345,0.57664454,-0.221574232,0.231602311,0.291730464,-0.251410186,0.46088323,1.204129338,-0.084590659,0.292575806,1.196668148,0.086787231,0.446860313,1.634195805,-0.038270097,0.295384169,1.626442313,0.180609703,0.43666625,2.007335663,0.359456986,0.295042336,1.994570017,0.493468612,0.438682646,2.056631804,0.379570305,0.289530128,2.040839911,0.516878128,0.426004469,2.139201403,0.02345838,0.319550574,2.130514622,0.14642036
F,0.381593496,0.428899586,-0.645632565,0.397299707,0.399972141,-0.589320004,0.40543431,0.40106228,-0.589182079,0.41296196,0.403096765,-0.588825107,0.37242493,0.399729192,-0.576151371,0.363935053,0.400333196,-0.575904071,0.355518639,0.401852131,-0.57601434,0.425623983,0.430047959,-0.322628021,0.346194208,0.424355924,-0.244547561,0.398257226,0.47263518,-0.557246387,0.364085674,0.470346451,-0.536362529,0.496762365,0.639618218,-0.191844657,0.279030383,0.634256721,-0.146103293,0.658944249,0.630634308,-0.126448035,0.140979066,0.571555376,-0.260569155,0.810030103,0.568468392,-0.159729198,0.211679623,0.342589498,-0.334534436,0.861153424,0.580179453,-0.170555592,0.215949938,0.266444206,-0.374111235,0.860815525,0.579104781,-0.219998986,0.229218453,0.266589761,-0.330416709,0.84199506,0.575033486,-0.192202404,0.232077688,0.293398887,-0.329449177,0.458136618,1.204703808,-0.082062878,0.289197415,1.196378946,0.084224895,0.440888643,1.635458231,-0.035592221,0.288955271,1.62609756,0.147793517,0.427945942,2.008428335,0.361855686,0.285406411,1.993290901,0.459196508,0.429102242,2.057978153,0.381918192,0.279655635,2.039417028,0.484936804,0.417362869,2.139764547,0.027121032,0.308932036,2.129697561,0.114711717
F,0.381056011,0.428991944,-0.643375456,0.396992117,0.400018394,-0.58734858,0.405381203,0.401071876,-0.587207198,0.412936985,0.40308708,-0.58684057,0.371815234,0.399925828,-0.57603997,0.363344193,0.400583744,-0.5757972,0.354896933,0.402209848,-0.575891078,0.425950199,0.429471165,-0.320842296,0.34610185,0.424583226,-0.242432386,0.398236573,0.472661465,-0.55462867,0.36363849,0.470543116,-0.536147177,0.497681469,0.639534771,-0.185428545,0.279465824,0.634305,-0.150868952,0.658949852,0.630493701,-0.113904133,0.141147822,0.572305679,-0.291747063,0.81021899,0.568371356,-0.15666458,0.211673215,0.343474329,-0.391663134,0.862044632,0.580887675,-0.166587502,0.216176793,0.26764676,-0.43579632,0.860854745,0.579011321,-0.216250271,0.230114669,0.26797387,-0.388977468,0.842020035,0.574571133,-0.188851148,0.232803777,0.294721574,-0.386113882,0.457667768,1.202190161,-0.080348894,0.288738102,1.190141678,0.082456268,0.440800339,1.634591699,-0.034844682,0.289127856,1.621091247,0.133587331,0.428299814,2.007938385,0.354130983,0.284512341,1.989603877,0.455334365,0.429807484,2.057453394,0.37403363,0.278382331,2.035919428,0.472371906,0.417132765,2.139255047,0.021419222,0.307653815,2.127002716,0.110415459
F,0.380772799,0.428979456,-0.616174102,0.396721661,0.400040746,-0.560409486,0.405329406,0.401072741,-0.560256004,0.412926137,0.40304938,-0.559921443,0.371330798,0.400102228,-0.548205197,0.362871349,0.40085721,-0.547964394,0.354436964,0.402611583,-0.548085213,0.426160425,0.429027647,-0.299515188,0.345967293,0.425110996,-0.224324852,0.398262769,0.472656667,-0.530266345,0.363478184,0.470586389,-0.510769248,0.498173296,0.639564157,-0.170065731,0.279966682,0.634328783,-0.146802276,0.658794999,0.630590081,-0.09860421,0.141244024,0.573002696,-0.307391137,0.810531914,0.570172548,-0.1410034,0.211556837,0.343501687,-0.422074974,0.862764955,0.581545234,-0.149581671,0.216168314,0.267636895,-0.469434559,0.860947132,0.579095542,-0.198161155,0.23043032,0.268077761,-0.424584776,0.842101097,0.57553637,-0.172825024,0.233099222,0.29504022,-0.417921364,0.457807958,1.201226115,-0.07940381,0.288982004,1.189084291,0.081480458,0.440909237,1.633838058,-0.031196561,0.289524138,1.619297624,0.130403474,0.429237992,2.006946802,0.361018211,0.285700709,1.987167478,0.432232082,0.430775017,2.056006432,0.381528497,0.279922307,2.032773733,0.451338112,0.418509185,2.138191462,0.031638395,0.309037507,2.125185728,0.080709763
F,0.380613446,0.428977996,-0.63906312,0.396559089,0.400034875,-0.583582819,0.405299753,0.401024878,-0.583459377,0.412921995,0.402911365,-0.583096147,0.371134162,0.400198579,-0.569165111,0.362697691,0.401024878,-0.568914354,0.354253799,0.40289095,-0.569034755,0.426391304,0.428615481,-0.317674786,0.34594202,0.425493747,-0.231514648,0.398276448,0.472653747,-0.551892519,0.363379091,0.470770508,-0.529507458,0.498960674,0.639583051,-0.182363912,0.280242324,0.635068953,-0.145752966,0.659045815,0.630759358,-0.118380941,0.141322941,0.57319659,-0.247658446,0.810521424,0.571267962,-0.17510435,0.21142745,0.343616247,-0.300216258,0.862478077,0.582058847,-0.19125846,0.216067046,0.267998874,-0.338529646,0.860269845,0.579627633,-0.241329819,0.230451345,0.268638313,-0.294580758,0.841693401,0.576208055,-0.207881659,0.233143717,0.295656919,-0.294892281,0.458490223,1.202987194,-0.079814963,0.289068878,1.191481471,0.081977993,0.441335201,1.63601923,-0.03436878,0.28986007,1.622589111,0.1459966,0.42984724,2.008891821,0.361239195,0.286611408,1.989080429,0.447320938,0.431413114,2.058512211,0.381428719,0.280943692,2.034709454,0.468729734,0.419537485,2.140528202,0.026692236,0.310267508,2.128010988,0.094560906
F,0.380307764,0.428806037,-0.614335418,0.396129578,0.39987433,-0.558634162,0.405092478,0.400784373,-0.558507144,0.4128564,0.402568847,-0.558159173,0.37073639,0.400188416,-0.544788539,0.362345904,0.401019365,-0.544524133,0.353961349,0.402884722,-0.544642091,0.426546246,0.428167343,-0.295504004,0.345912516,0.425514728,-0.214231208,0.398254573,0.472553283,-0.527936459,0.36309576,0.470762789,-0.50622654,0.499348223,0.639606118,-0.163084328,0.280270725,0.635658205,-0.141382143,0.659116149,0.630544066,-0.084498212,0.141306475,0.573222816,-0.280477941,0.810270131,0.57217443,-0.112785324,0.211282879,0.347007126,-0.428430557,0.862475038,0.582388163,-0.119330488,0.216063812,0.270710766,-0.477787316,0.860197067,0.57987076,-0.167957112,0.230654314,0.271713138,-0.434087813,0.841436982,0.576776564,-0.143800944,0.233382061,0.299533993,-0.425489128,0.458635896,1.203092217,-0.079150334,0.289275616,1.191511989,0.081300497,0.441803843,1.63602531,-0.032905303,0.290222853,1.622573972,0.142656401,0.430618107,2.008871794,0.363845557,0.28724888,1.989122152,0.435415983,0.432383209,2.058442116,0.384467334,0.281770527,2.034764528,0.456466377,0.421049446,2.140472174,0.031949561,0.311037838,2.128073454,0.081926793
F,0.380010247,0.428708822,-0.623047948,0.395926505,0.399782181,-0.568339825,0.405026913,0.400655359,-0.568159163,0.412848294,0.402367949,-0.567803144,0.370393604,0.400176734,-0.556031406,0.362013638,0.401013196,-0.555789888,0.353693187,0.402871996,-0.555922031,0.426683843,0.427859157,-0.302255213,0.345865488,0.425511599,-0.229682639,0.398170888,0.472533852,-0.535178304,0.362664312,0.470739841,-0.515673578,0.499344587,0.639370024,-0.163619921,0.280267417,0.635673821,-0.156800121,0.659122348,0.630694389,-0.08492066,0.141268134,0.573550224,-0.350476652,0.809617996,0.572810471,-0.117588423,0.210724324,0.349419206,-0.513389409,0.861472785,0.582969248,-0.124035969,0.215959951,0.272237301,-0.567736328,0.859498322,0.579896688,-0.170075208,0.230658323,0.272914261,-0.519455016,0.840913594,0.576828361,-0.147349671,0.233397752,0.300879955,-0.50874269,0.459354162,1.202339888,-0.074696884,0.289959043,1.191325307,0.07680434,0.443212032,1.634845495,-0.004090536,0.293183982,1.621384501,0.129656225,0.432693779,2.007561445,0.399342835,0.289579779,1.988410473,0.422252744,0.435151339,2.05656147,0.420527995,0.283681661,2.033750296,0.443663597,0.421719968,2.140016317,0.069155686,0.314467043,2.127697706,0.064800262
F,0.379802048,0.428679824,-0.628703356,0.39576596,0.399793118,-0.573236942,0.404939234,0.400656819,-0.573055625,0.412825406,0.402364105,-0.57268101,0.370229155,0.400186241,-0.560730696,0.361845016,0.401034027,-0.560474634,0.353565335,0.402876168,-0.560609698,0.426702738,0.427816182,-0.303802073,0.345837653,0.42551142,-0.230497837,0.398003072,0.47252667,-0.539293408,0.362327993,0.470669895,-0.519630671,0.498876035,0.639397025,-0.163525894,0.280231297,0.635767817,-0.160103008,0.658694804,0.630664945,-0.079494402,0.141285062,0.57362169,-0.375488669,0.808958232,0.573003888,-0.104036331,0.210688472,0.35137856,-0.554535747,0.860200763,0.583386064,-0.109001599,0.215950459,0.273749113,-0.610024333,0.858750165,0.580073893,-0.156691685,0.230654195,0.274254382,-0.563191235,0.840273023,0.576899946,-0.134381503,0.233397871,0.30243516,-0.55107379,0.459395319,1.202327251,-0.074585363,0.289918929,1.191212773,0.076698646,0.443454206,1.634778142,-0.001487101,0.293310344,1.620992184,0.129167497,0.432988465,2.007512331,0.403777212,0.289626747,1.988296628,0.420429707,0.43538779,2.056473017,0.424911439,0.283744097,2.033699274,0.441899389,0.422143072,2.13994813,0.072377697,0.314567506,2.127458096,0.06022466
