Class,1x,1y,1z,2x,2y,2z,3x,3y,3z,4x,4y,4z,5x,5y,5z,6x,6y,6z,7x,7y,7z,8x,8y,8z,9x,9y,9z,10x,10y,10z,11x,11y,11z,12x,12y,12z,13x,13y,13z,14x,14y,14z,15x,15y,15z,16x,16y,16z,17x,17y,17z,18x,18y,18z,19x,19y,19z,20x,20y,20z,21x,21y,21z,22x,22y,22z,23x,23y,23z,24x,24y,24z,25x,25y,25z,26x,26y,26z,27x,27y,27z,28x,28y,28z,29x,29y,29z,30x,30y,30z,31x,31y,31z,32x,32y,32z,33x,33y,33z
F_flat,0.507565498,0.294696897,-0.2846407,0.51197809,0.279753894,-0.260460556,0.514799237,0.279761791,-0.260441512,0.517386258,0.279927582,-0.260521024,0.50309211,0.28112179,-0.262558401,0.499895394,0.282004088,-0.262624741,0.49659723,0.283002168,-0.262629062,0.522074342,0.290082723,-0.134957507,0.493271172,0.293360919,-0.148740426,0.514615953,0.312364012,-0.239994675,0.503333211,0.3140966,-0.244154662,0.559327006,0.382076979,-0.046820022,0.462158114,0.381116033,-0.115779474,0.624726951,0.36421746,-0.029382601,0.399856627,0.343225241,-0.265326351,0.681134343,0.335185021,-0.139751688,0.414510399,0.245855495,-0.444754183,0.701434314,0.33476758,-0.163618073,0.416524589,0.213341221,-0.494468749,0.698961616,0.326847166,-0.19796972,0.424475729,0.214745656,-0.479769796,0.691779554,0.328186512,-0.159359142,0.425554276,0.226624176,-0.447019637,0.552138507,0.6285851,0.027380537,0.494939327,0.654477298,-0.027325129,0.617147148,0.755212545,0.085756131,0.511795819,0.858634114,-0.092642292,0.680528343,0.870541155,0.289291531,0.517606497,1.035918355,-0.030270427,0.683648348,0.906629622,0.303447306,0.524898291,1.052313089,-0.031264666,0.729650855,0.865395427,0.208759978,0.519181728,1.110095978,-0.176113218
F_flat,0.507587135,0.295408458,-0.282722294,0.511982501,0.280000359,-0.258757263,0.51479888,0.27998966,-0.258745581,0.517385304,0.280153543,-0.258821934,0.50321734,0.281442702,-0.261436164,0.500100374,0.28234303,-0.261511266,0.496989548,0.283355325,-0.261522353,0.521998107,0.290789366,-0.135048985,0.493544996,0.293759316,-0.150378615,0.514473319,0.312639743,-0.239147469,0.503367782,0.314341158,-0.243759677,0.558612585,0.383263826,-0.051384788,0.462127864,0.382459432,-0.118414961,0.621220767,0.366010785,-0.042670157,0.399807185,0.343390256,-0.261278689,0.680667162,0.33704868,-0.149421394,0.414518178,0.244223326,-0.419692367,0.700601876,0.334884703,-0.170261681,0.416441828,0.213007689,-0.463363588,0.698897421,0.32749781,-0.202354744,0.424412966,0.213961691,-0.44828862,0.691896558,0.329353094,-0.167877942,0.425545156,0.225065187,-0.42077741,0.552130818,0.628923297,0.026261991,0.495133817,0.655389071,-0.026225287,0.615681052,0.752919853,0.039835967,0.512268901,0.860523224,-0.088365205,0.680334926,0.87212193,0.174140319,0.522359312,1.037193537,-0.016742565,0.684508681,0.907603681,0.181065366,0.531431675,1.055688262,-0.017909903,0.729650795,0.864993989,0.079617515,0.520340681,1.106412649,-0.160197273
F_flat,0.507572889,0.295625418,-0.306870311,0.511978924,0.280075312,-0.284060389,0.514797986,0.280043393,-0.284044564,0.517388463,0.280205041,-0.284126639,0.503213048,0.281627774,-0.286969513,0.500092268,0.282602042,-0.287059367,0.496985137,0.283735454,-0.287070572,0.522155464,0.291002333,-0.161716998,0.493545055,0.294510156,-0.17770192,0.514453888,0.312746584,-0.262707621,0.503368318,0.314694732,-0.267557442,0.558614612,0.383349568,-0.072299786,0.462142944,0.383853197,-0.138018504,0.621281028,0.365360379,-0.060961179,0.399599373,0.343420953,-0.265742481,0.681239724,0.336905658,-0.164201468,0.413332999,0.244062975,-0.422689766,0.700699389,0.333994001,-0.183717206,0.414965689,0.213005856,-0.466242701,0.699713409,0.327391475,-0.215438202,0.422957331,0.213921607,-0.45233956,0.693572879,0.32934621,-0.182442576,0.424041331,0.22487925,-0.424271524,0.552284956,0.629480302,0.026101235,0.495522022,0.65609467,-0.026075954,0.615613163,0.753327191,0.049377065,0.512609422,0.862121761,-0.08721038,0.681026042,0.872998059,0.208434984,0.522740722,1.037844896,-0.007459156,0.68671459,0.907722235,0.217902035,0.531680703,1.056749344,-0.007820427,0.729742229,0.864940107,0.117275164,0.520624757,1.106276751,-0.151431292
F_flat,0.507528007,0.295805275,-0.309268087,0.511957407,0.280187786,-0.286385834,0.514780402,0.280142039,-0.286369532,0.517381191,0.280315042,-0.286451906,0.503205895,0.281826764,-0.289419949,0.500090599,0.28282997,-0.289508969,0.496992916,0.284000009,-0.289522678,0.522155583,0.291340411,-0.164761409,0.49355045,0.294925004,-0.181454971,0.514295936,0.312772214,-0.265344203,0.503300846,0.314800739,-0.270390034,0.558518767,0.3833884,-0.077300534,0.461977869,0.384822845,-0.144755334,0.621398032,0.363900721,-0.066620685,0.399344176,0.343487144,-0.275785923,0.681247532,0.334742397,-0.168085694,0.412721485,0.244120792,-0.425957143,0.700702429,0.332604825,-0.187652528,0.414360762,0.213493913,-0.472261429,0.699804366,0.326852739,-0.218925282,0.422212213,0.214178845,-0.458104789,0.693766534,0.328716874,-0.186105564,0.423292786,0.225021496,-0.427967489,0.55229795,0.629795611,0.02588371,0.49560833,0.656678915,-0.02587131,0.615121365,0.752831876,0.036364444,0.512888908,0.86237371,-0.086636066,0.680822074,0.873034775,0.189188123,0.522598088,1.037938356,-0.001106324,0.686614275,0.907787323,0.198092669,0.531388342,1.056923509,-0.000810822,0.729741395,0.864744842,0.096562602,0.520621777,1.105243206,-0.144386858
F_flat,0.507528245,0.29630959,-0.305115581,0.511944175,0.280457377,-0.281212509,0.514749169,0.280373991,-0.28119579,0.517331719,0.280532002,-0.281277597,0.503222108,0.282265007,-0.284083188,0.500129521,0.283341885,-0.284167171,0.497098356,0.2845833,-0.284176737,0.521666825,0.291682839,-0.159469739,0.493595064,0.295540899,-0.174437776,0.514106154,0.31289354,-0.260031521,0.503300786,0.314990371,-0.264924884,0.558242857,0.38338393,-0.079669744,0.461771101,0.385589391,-0.138802558,0.621113241,0.359314889,-0.071435422,0.399282873,0.343490988,-0.264830321,0.681101739,0.330999106,-0.168921381,0.412681043,0.244119033,-0.403091013,0.70034492,0.330058277,-0.188209504,0.414341301,0.213539019,-0.44395709,0.699533343,0.325445354,-0.219132468,0.422055095,0.21426107,-0.430575192,0.693615496,0.327126533,-0.186742514,0.423136055,0.225039646,-0.404718876,0.55234319,0.629756212,0.02255499,0.495873541,0.656709909,-0.022584137,0.615132451,0.752802968,0.025117803,0.513022482,0.861037612,-0.079582199,0.6808182,0.873557627,0.168727443,0.522423387,1.029927135,0.012113337,0.686561942,0.907979846,0.176870197,0.531187952,1.051688194,0.013134358,0.729737401,0.864740133,0.073882051,0.519479334,1.09755528,-0.125672311
F_flat,0.507638276,0.296289206,-0.302063107,0.5119735,0.280445486,-0.278649092,0.51475966,0.280351013,-0.278632998,0.517335951,0.280504197,-0.278711021,0.503339291,0.282270938,-0.281404912,0.500275791,0.283358246,-0.281487912,0.497309923,0.284614146,-0.281499803,0.52157867,0.291683346,-0.159224361,0.493601561,0.295637727,-0.174318761,0.51409328,0.312762469,-0.258028537,0.503366113,0.314914107,-0.262755364,0.558243632,0.383048743,-0.079038695,0.4617033,0.386000603,-0.140422389,0.621136308,0.357494384,-0.075785466,0.399140328,0.343691379,-0.270864636,0.680571437,0.330214351,-0.178170964,0.412406206,0.244470865,-0.410242498,0.699972034,0.329015672,-0.19760938,0.414052248,0.213855833,-0.456734747,0.699138761,0.324898481,-0.228065416,0.421572745,0.214449435,-0.442346573,0.693178058,0.326719701,-0.195871085,0.422680676,0.225168839,-0.412274837,0.552361548,0.629770637,0.022749571,0.495966613,0.65686059,-0.022769049,0.614335656,0.750294149,0.039377522,0.5134058,0.860360444,-0.08113014,0.680222631,0.873751163,0.186037451,0.522529781,1.030436873,0.004841634,0.686127841,0.90805918,0.193953022,0.531091094,1.051748633,0.006827413,0.72958529,0.864867985,0.09327513,0.520250678,1.095813513,-0.135766193
F_flat,0.507588208,0.296371937,-0.301570505,0.511816442,0.280447751,-0.278178543,0.514558911,0.280348599,-0.278155714,0.517084002,0.280493736,-0.278237522,0.503189087,0.282302827,-0.28035605,0.500119269,0.283403724,-0.280431926,0.497142732,0.284687012,-0.280441523,0.521068394,0.291673541,-0.15764603,0.493123949,0.295807034,-0.171851486,0.513947189,0.312765837,-0.257573694,0.503320932,0.315022141,-0.262196541,0.558220983,0.382936984,-0.076836333,0.461666763,0.386308581,-0.137964576,0.621186495,0.355366081,-0.070612751,0.399063975,0.344166189,-0.265982389,0.680234313,0.328503788,-0.163771018,0.412050575,0.244929507,-0.413200438,0.699749112,0.327516735,-0.182054907,0.413346529,0.215350285,-0.456940472,0.698826194,0.323995978,-0.212097615,0.420762926,0.215579674,-0.444331259,0.69280684,0.325838715,-0.180888921,0.42196393,0.225923926,-0.415245861,0.552389205,0.629765511,0.023304671,0.4961918,0.656858385,-0.023310559,0.613848925,0.747740269,0.029494118,0.51357311,0.860290706,-0.081180409,0.679792225,0.874403715,0.151690945,0.522453487,1.03069973,0.003438482,0.68566674,0.91086942,0.157280207,0.530952334,1.051677823,0.005235333,0.729480863,0.864849508,0.053750254,0.520413637,1.094249368,-0.137447342
F_flat,0.507407844,0.296401948,-0.319136322,0.511628211,0.280453265,-0.296896964,0.514366627,0.280350834,-0.296882004,0.516898751,0.280495912,-0.296964705,0.503032088,0.282333195,-0.299611181,0.49999696,0.283451855,-0.299695551,0.497054726,0.284770101,-0.299708545,0.521045148,0.291736841,-0.17613405,0.493126333,0.296010047,-0.191152677,0.513760209,0.312773407,-0.275096357,0.503174961,0.315038323,-0.279692322,0.558398783,0.38260588,-0.089893073,0.461664289,0.386766106,-0.150402486,0.621850908,0.353152782,-0.085639305,0.399062455,0.344212174,-0.278663218,0.680302739,0.325502694,-0.188120082,0.411930412,0.245137319,-0.427363932,0.69981575,0.326004207,-0.209025353,0.413126469,0.21597743,-0.469530284,0.69883126,0.322741836,-0.239583164,0.420470864,0.215935811,-0.458369911,0.692797542,0.324207932,-0.205928355,0.421649992,0.226133078,-0.42971009,0.55243504,0.629508734,0.022495694,0.49630022,0.656809509,-0.022500833,0.613641798,0.747074962,0.02930529,0.513680577,0.85989362,-0.081132777,0.679787517,0.875709116,0.158597589,0.522602499,1.030928254,0.000226287,0.685654283,0.913014233,0.164887682,0.531146646,1.051697612,0.002910847,0.728929818,0.865402818,0.059365787,0.520321608,1.094745636,-0.139411613
F_flat,0.507317245,0.296431154,-0.317743838,0.511508405,0.280454338,-0.29555887,0.514226437,0.280347019,-0.295541078,0.516730666,0.280488789,-0.295619547,0.502880454,0.282339543,-0.298462331,0.499837399,0.283461869,-0.298556328,0.49688226,0.284791738,-0.298578918,0.520917535,0.291727096,-0.174198359,0.492953628,0.296128541,-0.190165713,0.513634562,0.31276831,-0.273483962,0.5030545,0.315068275,-0.278338403,0.558404446,0.382456541,-0.084257528,0.461669058,0.386981189,-0.149645463,0.621901214,0.353406191,-0.075140223,0.399043173,0.344599694,-0.276848197,0.680167139,0.325286508,-0.18279922,0.411615074,0.246593133,-0.426694542,0.69972837,0.325627923,-0.207883835,0.41266495,0.217529148,-0.468690872,0.698755085,0.322322428,-0.238958508,0.419889122,0.216963932,-0.457746446,0.692680418,0.323799342,-0.200993061,0.421141535,0.226961687,-0.429089397,0.552598,0.629371703,0.022614369,0.496411324,0.656418204,-0.02261528,0.613669574,0.747178555,0.034402255,0.513703167,0.859890759,-0.087975331,0.679683745,0.876755118,0.165073708,0.522555768,1.036790371,-0.032410678,0.685530543,0.914222479,0.1714008,0.531058908,1.0582515,-0.035290781,0.728857875,0.865693331,0.06692069,0.519959629,1.09777379,-0.181954101
F_flat,0.507324159,0.296106279,-0.317268908,0.511511981,0.279897928,-0.29469642,0.514226794,0.27978301,-0.294677913,0.516730249,0.279927522,-0.294752896,0.502879083,0.281872809,-0.297866464,0.499827534,0.283030033,-0.297960579,0.496862411,0.284398943,-0.297981083,0.520873904,0.291411936,-0.173403919,0.492874056,0.296016783,-0.190735132,0.513627648,0.312504083,-0.273254216,0.503042102,0.314879805,-0.278495729,0.558398187,0.382377088,-0.085549138,0.461688697,0.387047738,-0.152965829,0.621948123,0.353279322,-0.077532493,0.399035931,0.344722539,-0.286127478,0.680166185,0.324775964,-0.179653913,0.411559194,0.247408867,-0.440648466,0.699732482,0.325154245,-0.201119423,0.412545353,0.218320549,-0.482862949,0.698791504,0.321985126,-0.232278198,0.419750988,0.21756959,-0.471426398,0.692686439,0.323493809,-0.197638854,0.421065569,0.227600187,-0.442871183,0.552726626,0.629346192,0.022717144,0.496500641,0.65618813,-0.022717351,0.613478303,0.747172892,0.023640556,0.513886452,0.859740138,-0.088727653,0.679677546,0.877977252,0.142614812,0.522498846,1.037336826,-0.034925826,0.685521662,0.915310681,0.148027197,0.530981183,1.058755875,-0.03821509,0.728858709,0.865888715,0.041885264,0.520137966,1.097908735,-0.183729336
