Class,1x,1y,1z,2x,2y,2z,3x,3y,3z,4x,4y,4z,5x,5y,5z,6x,6y,6z,7x,7y,7z,8x,8y,8z,9x,9y,9z,10x,10y,10z,11x,11y,11z,12x,12y,12z,13x,13y,13z,14x,14y,14z,15x,15y,15z,16x,16y,16z,17x,17y,17z,18x,18y,18z,19x,19y,19z,20x,20y,20z,21x,21y,21z,22x,22y,22z,23x,23y,23z,24x,24y,24z,25x,25y,25z,26x,26y,26z,27x,27y,27z,28x,28y,28z,29x,29y,29z,30x,30y,30z,31x,31y,31z,32x,32y,32z,33x,33y,33z
G_flat,0.490619123,0.511026502,-0.20483394,0.492422253,0.496049613,-0.181974292,0.494135916,0.498087049,-0.18200326,0.49580425,0.500241637,-0.182114124,0.485212713,0.492309034,-0.197867498,0.482173681,0.491712987,-0.197873458,0.479173511,0.491226405,-0.197905794,0.490572363,0.508643687,-0.070488051,0.47080484,0.49431473,-0.143047869,0.490109682,0.52950722,-0.163187608,0.482667744,0.526442528,-0.18452318,0.492363751,0.58771193,-0.027436072,0.429149389,0.543238282,-0.139280915,0.54974395,0.590678692,-0.126569569,0.426833004,0.422551692,-0.193343759,0.519730687,0.476570725,-0.230558559,0.474211931,0.365217686,-0.086200424,0.511286557,0.432491273,-0.261683404,0.489991575,0.359445184,-0.095672555,0.505029082,0.419310123,-0.238934845,0.494435221,0.369920462,-0.077867739,0.504050314,0.436807156,-0.226385325,0.489624172,0.378441989,-0.078624703,0.479115099,0.7981112,0.032404609,0.430571556,0.815662444,-0.032241527,0.555712998,0.911596954,-0.025088763,0.446578503,0.996261001,-0.035079159,0.613026798,1.006087303,0.053463209,0.453989416,1.115902901,0.1447853,0.618422091,1.063289404,0.059845548,0.45923382,1.123119593,0.16006285,0.658325493,1.066796303,-0.022091102,0.461996257,1.172733784,0.070392959
G_flat,0.486723959,0.507375896,-0.19992879,0.489443123,0.493131965,-0.176833183,0.491595685,0.495127827,-0.176817387,0.493640333,0.497135848,-0.176923692,0.481897533,0.489245236,-0.192140013,0.47892195,0.488419205,-0.19217068,0.476256788,0.487848014,-0.192190662,0.489192665,0.505307436,-0.063512504,0.468246877,0.491516411,-0.134517059,0.486626297,0.525163829,-0.158122286,0.47899884,0.522124887,-0.17920807,0.492362112,0.587184191,-0.01171595,0.426425517,0.54147923,-0.123695098,0.549620986,0.590785861,-0.059721638,0.426266849,0.417302251,-0.150777042,0.52055949,0.478342682,-0.116062321,0.474433988,0.365715027,-0.004479297,0.512420058,0.433204234,-0.136654049,0.491388708,0.359745443,-0.007485509,0.50630945,0.430119872,-0.118390642,0.495406002,0.371523321,0.014490848,0.505323172,0.445718855,-0.112034164,0.490269363,0.379616797,0.004887682,0.479310364,0.797222793,0.032002579,0.430612713,0.815508187,-0.031834885,0.555189371,0.901102364,-0.029278424,0.446702898,0.99439615,-0.053007632,0.620052934,1.001903415,0.014540027,0.454816639,1.110874057,0.117926911,0.627590835,1.050187469,0.017345369,0.459970146,1.116551995,0.132744521,0.660294652,1.014326453,-0.06936343,0.464595079,1.167631745,0.046655446
G_flat,0.482964575,0.505811453,-0.200274274,0.486784041,0.491481394,-0.177089632,0.489193976,0.493285418,-0.177092344,0.491497517,0.495065004,-0.177196681,0.4786838,0.487692177,-0.192675993,0.475559771,0.486767411,-0.192702621,0.472789377,0.486133158,-0.192724451,0.488024414,0.502668858,-0.064466752,0.464983791,0.489566922,-0.135494962,0.483421713,0.52275455,-0.158544004,0.475131422,0.519889295,-0.179508403,0.492288023,0.585499763,-0.013784625,0.424656242,0.538942397,-0.118792117,0.549405754,0.590887427,-0.05649253,0.426051557,0.414035469,-0.135002881,0.521404505,0.484009594,-0.099639788,0.475873232,0.368443906,0.020243336,0.514489591,0.445386589,-0.116146944,0.493724585,0.362729251,0.020813411,0.507180333,0.44153443,-0.09664616,0.497214794,0.375818372,0.044039745,0.506143808,0.453764379,-0.094246492,0.491562188,0.383250356,0.030396661,0.479379028,0.795673728,0.030913541,0.430843443,0.815497994,-0.030747358,0.554286003,0.891985416,-0.030505201,0.446926892,0.994904935,-0.057044357,0.624911606,1.001426816,-0.011484589,0.456744134,1.109365821,0.091874406,0.632239223,1.042126179,-0.010791993,0.461998045,1.114372373,0.104946479,0.66391027,1.004276991,-0.092429452,0.467981577,1.166411996,0.024572361
G_flat,0.482140005,0.504316926,-0.200533181,0.486111701,0.490098119,-0.177565962,0.488527775,0.491813928,-0.17753315,0.490825266,0.493496627,-0.177639812,0.477954149,0.486410826,-0.193024069,0.474842072,0.485489398,-0.193046719,0.472086668,0.484879315,-0.193069801,0.487767935,0.501086891,-0.067216337,0.464553654,0.488518178,-0.135780305,0.482757479,0.521058798,-0.158636719,0.474650085,0.518407583,-0.179751664,0.49225688,0.584087193,-0.012007033,0.424292475,0.536743522,-0.115845159,0.548868537,0.590900421,-0.013805631,0.425478846,0.411177784,-0.112543143,0.521509826,0.487580448,-0.014823884,0.477074087,0.369562268,0.068046607,0.515229583,0.45054999,-0.022555221,0.495263487,0.36390689,0.071823142,0.507299721,0.445881099,-0.006847705,0.498731196,0.377869129,0.094593264,0.506318152,0.456966609,-0.009517831,0.492835999,0.3847076,0.078370817,0.479128927,0.794234276,0.03053844,0.430905342,0.814780533,-0.030375585,0.554201484,0.889448643,-0.030203123,0.446924359,0.991090119,-0.053011734,0.625717163,0.996186495,0.002291785,0.459369898,1.108034253,0.107616879,0.633203924,1.032617927,0.004625353,0.464497268,1.112634897,0.121317528,0.661925912,1.000365734,-0.079550788,0.472391367,1.166181564,0.036656287
G_flat,0.480576754,0.504424512,-0.224912211,0.484385908,0.490061343,-0.204365328,0.486845016,0.491740763,-0.20432055,0.489235491,0.493376553,-0.204438478,0.476011604,0.486331612,-0.21818693,0.472868919,0.485367507,-0.218235701,0.470012903,0.484705806,-0.218254492,0.486695915,0.500298083,-0.092907533,0.462148488,0.487831533,-0.156432539,0.481438637,0.520966411,-0.182525933,0.473128736,0.518184006,-0.201751515,0.492346853,0.58279562,-0.030615082,0.422778368,0.536065459,-0.129311636,0.548697531,0.590974629,-0.053151023,0.424255282,0.410712719,-0.139196008,0.521503329,0.488163471,-0.107278645,0.47754842,0.370684862,0.015734734,0.515139103,0.449972689,-0.124964394,0.496827126,0.365653992,0.01500869,0.507390141,0.446625978,-0.105623148,0.499961227,0.379677117,0.03835988,0.506354451,0.457734853,-0.102196828,0.493616879,0.386018038,0.025883954,0.479231924,0.792986214,0.029699111,0.430763304,0.814376831,-0.0295537,0.554200768,0.887429059,-0.030045042,0.447019428,0.993307769,-0.051448733,0.626583517,0.995245278,0.012379108,0.458968401,1.10255003,0.126296833,0.6346156,1.025505781,0.015326063,0.464132309,1.105985045,0.144218609,0.66546005,0.998083591,-0.076152489,0.472279608,1.1588763,0.069827311
G_flat,0.480456501,0.505702257,-0.225994274,0.484236479,0.491063267,-0.204688355,0.486697257,0.492746234,-0.204634756,0.489091545,0.494317383,-0.204756066,0.475785017,0.486962348,-0.21945858,0.472577482,0.485796809,-0.219519734,0.469605297,0.484979957,-0.219536737,0.486475646,0.500538945,-0.091175206,0.461362123,0.4879556,-0.159614637,0.481171131,0.521222949,-0.183060721,0.47273913,0.518313587,-0.203648642,0.492351204,0.582599878,-0.030315569,0.421230733,0.534752369,-0.132483914,0.548702836,0.590295434,-0.031303018,0.423236549,0.409553409,-0.139940366,0.521412849,0.487598717,-0.03772866,0.477139235,0.371357471,0.021638924,0.515023172,0.449231088,-0.046420161,0.496703446,0.365603775,0.023239989,0.507432461,0.448147297,-0.028303077,0.499838203,0.380096704,0.047101356,0.506344736,0.459258914,-0.031906035,0.493129015,0.386640847,0.032193735,0.479233086,0.791589677,0.029704785,0.430443615,0.813531995,-0.02956013,0.553524733,0.883983195,-0.031297378,0.447019488,0.994199514,-0.065479435,0.62664026,0.993325949,0.016326804,0.458455801,1.093263507,0.126579657,0.634162009,1.022500157,0.020331578,0.463757515,1.095369816,0.144892544,0.666227281,0.995752096,-0.065787271,0.471203476,1.14690268,0.07345257
G_flat,0.477357209,0.505210519,-0.221843526,0.481776088,0.490500629,-0.200353786,0.484549344,0.492131501,-0.200317383,0.487298489,0.493713379,-0.20043996,0.472763687,0.486740023,-0.214638233,0.469466507,0.485725224,-0.214685872,0.466393411,0.485002249,-0.214705512,0.485554069,0.500201225,-0.088122204,0.458191454,0.488034666,-0.153775528,0.478791714,0.521038473,-0.17972903,0.469795138,0.518015146,-0.199505538,0.492429316,0.582037032,-0.03047576,0.420515209,0.534918487,-0.119496718,0.548639715,0.588524222,-0.058128279,0.419765234,0.410033554,-0.11838986,0.520727992,0.485613257,-0.066920005,0.473308027,0.371443808,0.045065291,0.513957977,0.437485158,-0.088360362,0.492098987,0.36525318,0.046915423,0.507274389,0.446873426,-0.078694873,0.496421754,0.379951477,0.071098648,0.506038427,0.459110081,-0.069364861,0.489747465,0.386499375,0.055558491,0.478861511,0.790258646,0.028691713,0.430282742,0.812141776,-0.028558603,0.553433597,0.885098338,-0.031570423,0.447020382,0.991906881,-0.060089089,0.62641722,0.993359149,0.011903914,0.458267748,1.095308304,0.116101518,0.633449674,1.027466178,0.015261455,0.463580132,1.098229051,0.131790623,0.666647136,1.001771808,-0.068119302,0.470415533,1.148532748,0.051661737
G_flat,0.476127952,0.505273283,-0.228445381,0.480110079,0.490430415,-0.206877023,0.482798964,0.491998971,-0.206841707,0.485493332,0.493544012,-0.206963018,0.470920235,0.486797065,-0.221013144,0.467385292,0.485753238,-0.221060991,0.464067608,0.485122889,-0.221071988,0.483030885,0.50021863,-0.092698522,0.455099881,0.488289565,-0.158320278,0.47758165,0.521180034,-0.185528815,0.468320191,0.518102705,-0.205127686,0.491379976,0.582032442,-0.032059945,0.418831348,0.535032094,-0.128931075,0.548393548,0.585961461,-0.077318534,0.418309838,0.410324574,-0.132708684,0.520055711,0.485022098,-0.135763943,0.469725192,0.370690763,0.027438592,0.513716817,0.43683666,-0.159070164,0.487056077,0.362901777,0.028038334,0.506911874,0.445772171,-0.13927494,0.492127836,0.377399832,0.050365336,0.50539583,0.458227456,-0.13223356,0.485912025,0.383880228,0.037427258,0.478903383,0.790340245,0.028748017,0.430442721,0.812166929,-0.028613264,0.553206921,0.885158181,-0.031379644,0.447031349,0.990751147,-0.058253549,0.626004457,0.993291974,0.023463625,0.458427727,1.097151875,0.116535828,0.632769227,1.030037522,0.02834316,0.464076936,1.100037098,0.1324424,0.666332066,1.00311625,-0.059275337,0.470090061,1.154712915,0.05306115
G_flat,0.473632097,0.50303036,-0.22527878,0.477782667,0.487614781,-0.203319937,0.480556488,0.489146799,-0.203293875,0.483348429,0.490770251,-0.203412175,0.468637466,0.484596342,-0.217374414,0.465249956,0.483903378,-0.217418075,0.462093353,0.483357966,-0.217432648,0.481299818,0.497944683,-0.08978717,0.453702599,0.487281799,-0.150456592,0.475393057,0.51986599,-0.182715774,0.465897143,0.516611159,-0.201990679,0.490966022,0.58127147,-0.031344347,0.418616712,0.535056531,-0.124786817,0.547210097,0.583362877,-0.097622856,0.416963905,0.411987603,-0.134962171,0.520006299,0.481932104,-0.176521808,0.465794474,0.370313317,-0.008678429,0.513361096,0.432389885,-0.20144935,0.483092785,0.362030029,-0.013428511,0.506756485,0.440061271,-0.17986916,0.48848182,0.375475407,0.008154362,0.505294383,0.453389525,-0.171748012,0.483064234,0.382604808,3.4592e-05,0.479137033,0.79037118,0.027990147,0.43054232,0.81213975,-0.027862912,0.553156257,0.885694444,-0.031917371,0.447187722,0.991985321,-0.062669463,0.626373589,0.993482709,0.012695907,0.458720863,1.10265708,0.108423218,0.633773088,1.031454086,0.01543847,0.464457363,1.106309772,0.123147272,0.666117966,1.003646731,-0.0740624,0.470178306,1.16074419,0.037616529
G_flat,0.472815335,0.50175631,-0.234865278,0.476984978,0.486153156,-0.212980717,0.479729712,0.487701297,-0.212948397,0.482498974,0.489406675,-0.21306327,0.467969954,0.483327836,-0.225976631,0.46462369,0.482746542,-0.226024181,0.461512953,0.482269078,-0.226033539,0.480549037,0.497055054,-0.096731879,0.45315665,0.486182362,-0.156184897,0.474552006,0.519231737,-0.191371292,0.464961946,0.515815914,-0.20945105,0.490909904,0.580997944,-0.035351519,0.417092383,0.534580708,-0.125655174,0.546527386,0.582920909,-0.10585703,0.415577471,0.413294673,-0.134464294,0.520111442,0.482105523,-0.196478039,0.463695616,0.369547307,0.016562197,0.513347924,0.432870656,-0.222771376,0.480913013,0.360900611,0.014651571,0.506748319,0.439578235,-0.202187747,0.486318409,0.372974932,0.035332572,0.505288482,0.453124374,-0.192327291,0.481223196,0.380276203,0.025493195,0.479657114,0.789892495,0.027445298,0.430516571,0.811929643,-0.027312959,0.553097725,0.88494277,-0.031802036,0.447238863,0.993017912,-0.060991466,0.627377152,0.993720651,0.023464486,0.459020555,1.102739334,0.119084619,0.636816859,1.031893969,0.028075401,0.464870512,1.106738329,0.135721564,0.666014075,1.003473878,-0.066711232,0.470845848,1.161410093,0.044658858
