Class,1x,1y,1z,2x,2y,2z,3x,3y,3z,4x,4y,4z,5x,5y,5z,6x,6y,6z,7x,7y,7z,8x,8y,8z,9x,9y,9z,10x,10y,10z,11x,11y,11z,12x,12y,12z,13x,13y,13z,14x,14y,14z,15x,15y,15z,16x,16y,16z,17x,17y,17z,18x,18y,18z,19x,19y,19z,20x,20y,20z,21x,21y,21z,22x,22y,22z,23x,23y,23z,24x,24y,24z,25x,25y,25z,26x,26y,26z,27x,27y,27z,28x,28y,28z,29x,29y,29z,30x,30y,30z,31x,31y,31z,32x,32y,32z,33x,33y,33z
G_sharp,0.519674063,0.442802697,-0.18704772,0.526573896,0.434205979,-0.152113989,0.530648172,0.437460542,-0.152088523,0.534649253,0.440737665,-0.152143434,0.515533566,0.429580212,-0.161394745,0.512194633,0.429574877,-0.161436647,0.509262145,0.429519117,-0.161485299,0.537056088,0.458169937,-0.008018004,0.504532754,0.439298511,-0.046607938,0.525573194,0.468578935,-0.137040302,0.512951553,0.460839242,-0.148625597,0.548078716,0.55256331,0.014540854,0.464928627,0.500448763,-0.094715632,0.603246033,0.503257036,-0.237412453,0.4658373,0.379038632,-0.354956686,0.573816001,0.39733988,-0.416565001,0.50583446,0.283115864,-0.446225256,0.570289671,0.366557449,-0.458430469,0.523961782,0.265802562,-0.491411269,0.564745724,0.36145404,-0.426498413,0.529168785,0.271924138,-0.459093243,0.563669026,0.372867048,-0.411693871,0.524946868,0.281126976,-0.439744413,0.467304617,0.817494392,0.030564854,0.418914229,0.772073805,-0.03074115,0.441432327,1.055257797,-0.038447425,0.323854327,0.914662421,-0.15406692,0.382606089,1.11057961,0.25006187,0.222011045,1.01099658,-0.075470082,0.371253192,1.10204649,0.275229305,0.211450577,1.050759077,-0.072518706,0.370124489,1.168193936,0.203528121,0.177567184,1.011934876,-0.201827437
G_sharp,0.520382583,0.457229078,-0.231001809,0.527061939,0.449049085,-0.200423762,0.530865788,0.451853931,-0.200409263,0.534690559,0.454318494,-0.200444192,0.51695466,0.443284601,-0.206396937,0.514006674,0.442634076,-0.206475139,0.511353374,0.441820174,-0.206539944,0.536596417,0.465717614,-0.066192366,0.507394791,0.448420942,-0.090616912,0.525539339,0.478553236,-0.183447659,0.51354754,0.472021937,-0.190591007,0.547377288,0.553506315,-0.057920933,0.468045294,0.504935503,-0.138728186,0.602947414,0.500007212,-0.296633363,0.472062826,0.380693167,-0.438098371,0.56766367,0.378350705,-0.445092857,0.510583997,0.289438516,-0.594281316,0.560583353,0.33683759,-0.491609097,0.529206634,0.276512742,-0.651428342,0.555338025,0.334158361,-0.466020167,0.533478081,0.282176554,-0.619140744,0.554428577,0.346648812,-0.442625612,0.529487491,0.292042732,-0.589632213,0.467001438,0.822731376,0.029809406,0.417664707,0.775789917,-0.029990658,0.442662895,1.032709718,0.004655621,0.320011586,0.914922357,-0.113831446,0.38445121,1.109297752,0.349408895,0.224335626,1.010764003,0.015155056,0.376053602,1.101062179,0.379581183,0.211755469,1.043258071,0.023179812,0.372469276,1.165971875,0.307196409,0.176859558,1.011970878,-0.115429208
G_sharp,0.522052109,0.463145196,-0.233236432,0.528798103,0.455721825,-0.202477381,0.532461226,0.458677888,-0.202439278,0.536116302,0.461254835,-0.20245795,0.518901825,0.44900465,-0.208648831,0.515884936,0.447880268,-0.208725721,0.513150275,0.446710616,-0.208775312,0.537551284,0.471877038,-0.068296179,0.50880599,0.452889472,-0.093800671,0.52619493,0.484784573,-0.185738444,0.514586806,0.477316022,-0.193290919,0.548065186,0.555901527,-0.059063524,0.467915446,0.50525409,-0.132070795,0.602958024,0.49663502,-0.277804881,0.473156691,0.381172806,-0.402218282,0.565235794,0.372094989,-0.379806936,0.513034701,0.291618794,-0.519973874,0.557270646,0.332648873,-0.419618547,0.531451404,0.27984786,-0.57017833,0.551686883,0.328150272,-0.399362415,0.535155475,0.284769535,-0.537827253,0.551431954,0.342101395,-0.378171355,0.531153023,0.294305712,-0.514258027,0.466923237,0.827635944,0.022867169,0.415490717,0.777963579,-0.02302881,0.425461829,1.042309165,0.017619668,0.317661583,0.914736509,-0.091079213,0.388077885,1.06427753,0.423377663,0.219777793,1.006855011,0.009556741,0.381926715,1.046867609,0.461666495,0.207799166,1.026267529,0.015248885,0.375392407,1.115418196,0.416856468,0.162698582,1.004948735,-0.115885317
G_sharp,0.522875428,0.470992655,-0.273507684,0.529928982,0.462574303,-0.244843796,0.533600807,0.465335757,-0.244808987,0.537255645,0.46772629,-0.244834259,0.519884646,0.455244154,-0.249817103,0.51678443,0.45362255,-0.249920532,0.513936639,0.452038705,-0.249989226,0.539276838,0.47606495,-0.108187877,0.509607136,0.45618698,-0.12820676,0.526682258,0.490647495,-0.223753542,0.515307963,0.482902706,-0.229710937,0.548514962,0.556417525,-0.089590594,0.46955514,0.505466282,-0.160915628,0.602945447,0.496620566,-0.316566855,0.473939508,0.381855637,-0.445723683,0.564772189,0.373665661,-0.446647018,0.515560329,0.293052495,-0.588582814,0.557302237,0.334254146,-0.488921463,0.534070373,0.282669127,-0.642253101,0.551849782,0.328389436,-0.465246588,0.537439883,0.287458539,-0.609059453,0.55135119,0.342433155,-0.443911642,0.533304811,0.296270549,-0.582948089,0.466915756,0.827619791,0.023067433,0.415522963,0.778218985,-0.023243854,0.43705669,1.023973346,0.009698251,0.318050146,0.907908022,-0.108799674,0.389746666,1.072968721,0.353458494,0.220548585,1.005901098,-0.010651192,0.383331358,1.056058288,0.383946776,0.207885459,1.028269649,-0.005389967,0.377767742,1.12627399,0.320292115,0.163888574,1.003135085,-0.140383214
G_sharp,0.523619294,0.467620343,-0.273207277,0.530931652,0.459412545,-0.244836122,0.534781098,0.462338686,-0.244807407,0.538578749,0.46497187,-0.244841337,0.520597816,0.452597648,-0.249081939,0.517445028,0.451323956,-0.249161988,0.514532149,0.450056493,-0.249209449,0.540893435,0.47474882,-0.109866366,0.509998202,0.455189556,-0.125983372,0.527619421,0.488525927,-0.224122837,0.515921652,0.480750412,-0.228981614,0.549326956,0.55695653,-0.103730477,0.469738781,0.504883885,-0.15777497,0.603540719,0.496777803,-0.356319755,0.474196821,0.383236647,-0.452005535,0.56314832,0.37476939,-0.510612428,0.516878724,0.294215739,-0.605232596,0.555409014,0.334058017,-0.557345688,0.535600781,0.284140468,-0.659408808,0.55067879,0.327670693,-0.531246543,0.538764834,0.288212955,-0.626041532,0.549663186,0.341945857,-0.507307708,0.534376621,0.296476483,-0.599566579,0.466893107,0.828368783,0.019327562,0.414987087,0.778100848,-0.019502429,0.440991729,1.021545053,0.002454261,0.318278909,0.903769493,-0.10417138,0.397289068,1.076296449,0.375566423,0.219638079,1.003688931,-0.013511012,0.392029583,1.061643004,0.410592973,0.205919936,1.027562499,-0.008817257,0.385155976,1.129625082,0.359759629,0.162881404,1.002694845,-0.142229825
G_sharp,0.523889244,0.465776533,-0.276214242,0.531027019,0.457625717,-0.247476503,0.534868896,0.460581124,-0.24746041,0.538676798,0.463310927,-0.247504473,0.520610213,0.451200306,-0.250871181,0.517402053,0.450162411,-0.250933856,0.514422417,0.449091345,-0.250980735,0.541108787,0.473834902,-0.114174739,0.509944558,0.4546085,-0.12579304,0.527959943,0.487200588,-0.228099138,0.516245961,0.479585856,-0.231649116,0.549716115,0.557932377,-0.116699137,0.470747292,0.504886389,-0.157143563,0.604084253,0.498012632,-0.385406107,0.474112034,0.385591596,-0.454157919,0.563094735,0.375558376,-0.542818129,0.518289924,0.294945449,-0.610161424,0.555724025,0.334230483,-0.591235518,0.537006795,0.28434509,-0.664536119,0.551139414,0.327815831,-0.561885595,0.540183663,0.288084388,-0.632910311,0.549881935,0.342043042,-0.538154125,0.535571694,0.296171188,-0.605610132,0.466894925,0.828725874,0.015095835,0.414741606,0.777907252,-0.015259778,0.442893445,1.018810391,-0.011524105,0.318407655,0.896185279,-0.110911548,0.397057861,1.070364833,0.367649585,0.219441965,0.998690367,-0.021619702,0.392002046,1.054427862,0.403848231,0.203791767,1.026300669,-0.017014261,0.383798897,1.121010303,0.354273498,0.162920848,1.001471996,-0.1490338
G_sharp,0.524059653,0.464749277,-0.265978485,0.531090379,0.456745058,-0.237030864,0.534934819,0.459370464,-0.237014964,0.538753867,0.461740971,-0.237056732,0.520612776,0.450984985,-0.239862636,0.517363667,0.450068653,-0.239906475,0.514339566,0.449008167,-0.239944622,0.541667342,0.471298039,-0.104903065,0.510104597,0.454446197,-0.113865316,0.528615892,0.484803945,-0.218546748,0.516518354,0.478963435,-0.221259356,0.55080086,0.557915628,-0.117530122,0.471244991,0.504732549,-0.147178173,0.604899406,0.499491513,-0.40321058,0.473938644,0.386492789,-0.445262492,0.563169062,0.376384944,-0.566933513,0.519710958,0.294653952,-0.603590369,0.555879414,0.334056705,-0.61741221,0.538920581,0.284243047,-0.657849669,0.551391959,0.327253014,-0.586900592,0.54184252,0.287897557,-0.625642896,0.549920738,0.34134385,-0.561883926,0.536977232,0.295769334,-0.598973155,0.467323869,0.82864219,0.00942925,0.414802969,0.777369618,-0.009563515,0.426848888,1.04481411,-0.021280263,0.317232549,0.893805206,-0.10365013,0.39689669,1.064116955,0.367239773,0.21276316,0.995889425,-0.024305182,0.392065018,1.047253966,0.404417455,0.197282031,1.024091959,-0.020489018,0.382985473,1.113817334,0.359431326,0.157018945,0.998327553,-0.152150974
G_sharp,0.524183691,0.464236438,-0.258234501,0.531055927,0.456135124,-0.229114816,0.534886301,0.458371997,-0.229112506,0.538701892,0.46039772,-0.229150251,0.520671964,0.450746059,-0.232131392,0.517454267,0.449814051,-0.232179642,0.514392138,0.448893666,-0.232228324,0.541701674,0.469358474,-0.099200092,0.510366142,0.453443915,-0.108122028,0.528817773,0.482520789,-0.211605355,0.516725719,0.47782594,-0.214495823,0.551560163,0.557391584,-0.111327901,0.472429812,0.504918456,-0.143242449,0.605374813,0.500382543,-0.394535631,0.474150181,0.388134509,-0.434124231,0.563352406,0.376108378,-0.553210378,0.519613445,0.295380175,-0.585418105,0.555976272,0.332708776,-0.603211462,0.539299607,0.285681218,-0.638811886,0.551607251,0.325926512,-0.572111309,0.542320192,0.288860738,-0.607972026,0.550086081,0.339983284,-0.547861695,0.537360311,0.296901077,-0.581163108,0.46732226,0.828510702,0.008113398,0.415408909,0.777214646,-0.008230219,0.431667268,1.022040248,-0.020599987,0.317242831,0.889486432,-0.110005736,0.385098249,1.064453006,0.332561821,0.210424259,0.9949736,-0.048020981,0.378961504,1.05439651,0.36264056,0.194050848,1.023920059,-0.046893097,0.37160629,1.117564678,0.296698958,0.154706419,0.996834159,-0.186640412
G_sharp,0.524061799,0.459187269,-0.256981075,0.530303836,0.45140487,-0.226038188,0.533722758,0.453261942,-0.226000264,0.537174463,0.454955518,-0.226056859,0.520629287,0.447211117,-0.228298068,0.517416775,0.446545362,-0.22831659,0.514340222,0.44578892,-0.228366882,0.540603936,0.464691758,-0.091023132,0.510468006,0.451211005,-0.098277189,0.528537989,0.476626813,-0.206635118,0.516712368,0.473772943,-0.212479323,0.551536918,0.557309449,-0.100784622,0.473193347,0.50570333,-0.131179899,0.605613589,0.501565039,-0.388421714,0.474030912,0.389095694,-0.427939266,0.563458502,0.374863863,-0.553230643,0.51918149,0.295942992,-0.571292937,0.556189895,0.329369366,-0.603520989,0.539475679,0.285439461,-0.62351191,0.551692367,0.322078437,-0.570883632,0.542871773,0.289555997,-0.591965199,0.550053656,0.33597073,-0.547488987,0.537783682,0.298146278,-0.56641382,0.467071116,0.828439355,0.009414667,0.415855557,0.777146161,-0.009542943,0.413134754,1.03473115,-0.000887108,0.317276955,0.886470854,-0.127160132,0.37480846,1.068691969,0.349692822,0.209173128,0.990936339,-0.069816113,0.368966401,1.057661057,0.380642742,0.193656906,1.016300678,-0.069177143,0.357275754,1.118385196,0.316108435,0.156227738,0.997262895,-0.210279897
G_sharp,0.524066806,0.453656226,-0.254224569,0.530290604,0.447598428,-0.223603606,0.533683419,0.44958064,-0.223583773,0.537110507,0.451367557,-0.223622009,0.520729899,0.443406463,-0.225733593,0.517639399,0.442804873,-0.225760773,0.514709055,0.442015111,-0.225807905,0.540582776,0.461802512,-0.091983035,0.510937095,0.448654503,-0.098135419,0.528521836,0.471915513,-0.206971601,0.51672852,0.468098819,-0.209961027,0.552308857,0.557101011,-0.109306432,0.473313659,0.505672455,-0.126942322,0.606820822,0.501801312,-0.392270267,0.474183559,0.38910988,-0.408801019,0.563591599,0.37496385,-0.547517419,0.51917392,0.295703769,-0.54243505,0.556458712,0.329674274,-0.595704079,0.540259361,0.285139859,-0.59410423,0.551912963,0.321652144,-0.564648986,0.543644905,0.289276391,-0.562180221,0.550237477,0.335255682,-0.541897655,0.538464844,0.297839314,-0.537458956,0.466823578,0.828880131,0.004651468,0.4156757,0.776804507,-0.004783737,0.427745908,1.025788188,0.00216571,0.315674424,0.880343437,-0.134369493,0.377212405,1.042405844,0.416318357,0.201257035,0.984495223,-0.093118034,0.369421065,1.024457932,0.455625921,0.1882153,1.011471868,-0.094213828,0.361163318,1.086811781,0.412253231,0.152169392,0.997239947,-0.230114505
